# source, target, certainty, references, evidence
228,166,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
228,180,3,"array([18, 19, 22], dtype=int16)","array([1, 4, 8], dtype=int16)"
229,51,3,"array([11, 18], dtype=int16)","array([1, 3], dtype=int16)"
229,689,3,"array([ 11, 174, 178], dtype=int16)","array([3], dtype=int16)"
229,690,3,"array([ 11, 174, 179], dtype=int16)","array([3], dtype=int16)"
230,0,2,"array([8], dtype=int16)","array([1, 9], dtype=int16)"
231,0,2,"array([ 2, 18, 30, 31], dtype=int16)","array([1, 9], dtype=int16)"
231,10,2,"array([ 3,  4, 30, 31], dtype=int16)","array([1, 9], dtype=int16)"
231,13,2,"array([ 3,  4, 30, 31], dtype=int16)","array([1, 9], dtype=int16)"
231,20,2,"array([ 3,  4, 30, 31], dtype=int16)","array([1, 9], dtype=int16)"
232,0,2,"array([ 1,  2, 11, 32], dtype=int16)","array([1, 9], dtype=int16)"
232,7,2,"array([ 1,  3,  4, 11, 32], dtype=int16)","array([1, 9], dtype=int16)"
232,8,2,"array([ 1,  3,  4, 11, 32], dtype=int16)","array([1, 9], dtype=int16)"
232,14,2,"array([ 1,  2,  3,  4, 11, 32], dtype=int16)","array([1, 9], dtype=int16)"
232,87,1,"array([ 1, 10, 18, 32], dtype=int16)","array([1], dtype=int16)"
232,242,3,"array([ 1,  6, 11, 31, 32, 35], dtype=int16)","array([1, 2, 7], dtype=int16)"
232,243,2,"array([ 1, 11, 32, 35], dtype=int16)","array([1, 7], dtype=int16)"
232,247,1,"array([ 1, 11, 32, 35], dtype=int16)","array([1], dtype=int16)"
233,8,2,"array([  3,   4, 192], dtype=int16)","array([1, 9], dtype=int16)"
233,11,2,"array([  3,   4, 192], dtype=int16)","array([1, 9], dtype=int16)"
233,12,3,"array([ 1,  7, 32], dtype=int16)","array([1, 3, 7], dtype=int16)"
233,21,1,"array([8], dtype=int16)","array([1], dtype=int16)"
233,22,1,"array([8], dtype=int16)","array([1], dtype=int16)"
233,23,1,"array([8], dtype=int16)","array([1], dtype=int16)"
233,24,1,"array([8], dtype=int16)","array([1], dtype=int16)"
233,25,2,"array([ 9, 10, 11, 12, 32], dtype=int16)","array([1, 9], dtype=int16)"
233,26,1,"array([ 22,  32, 191], dtype=int16)","array([1], dtype=int16)"
233,27,2,"array([11, 12, 15, 16, 32], dtype=int16)","array([1, 5], dtype=int16)"
233,29,3,"array([ 6, 10, 11, 32, 33], dtype=int16)","array([1, 3], dtype=int16)"
233,30,3,"array([10, 11, 32], dtype=int16)","array([1, 3], dtype=int16)"
233,243,2,"array([32, 35], dtype=int16)","array([1, 7], dtype=int16)"
234,0,2,"array([ 1,  2, 33], dtype=int16)","array([1, 9], dtype=int16)"
234,243,2,"array([33, 35], dtype=int16)","array([1, 7], dtype=int16)"
234,246,2,"array([11, 33], dtype=int16)","array([1, 7], dtype=int16)"
234,247,1,"array([16, 33, 35], dtype=int16)","array([1], dtype=int16)"
234,388,1,"array([ 1,  2, 33], dtype=int16)","array([1], dtype=int16)"
235,0,2,"array([ 1,  2, 16, 33], dtype=int16)","array([1, 9], dtype=int16)"
235,2,3,"array([ 1,  2, 16, 33], dtype=int16)","array([1, 7, 9], dtype=int16)"
235,4,2,"array([ 3,  4, 16, 33], dtype=int16)","array([1, 9], dtype=int16)"
235,7,2,"array([ 3,  4, 16, 33], dtype=int16)","array([1, 9], dtype=int16)"
235,25,2,"array([ 9, 10, 11, 12, 16, 33], dtype=int16)","array([1, 5], dtype=int16)"
235,27,2,"array([ 6, 11, 12, 15, 16, 33], dtype=int16)","array([1, 5], dtype=int16)"
235,29,3,"array([ 6, 10, 11, 16, 33], dtype=int16)","array([1, 3], dtype=int16)"
235,30,3,"array([11, 12, 16, 33], dtype=int16)","array([1, 3], dtype=int16)"
235,31,2,"array([12, 16, 33], dtype=int16)","array([1, 5], dtype=int16)"
235,34,2,"array([12, 16, 33], dtype=int16)","array([1, 5], dtype=int16)"
236,0,3,"array([ 1,  2, 16, 33], dtype=int16)","array([1, 5, 9], dtype=int16)"
236,2,3,"array([ 1,  2, 16, 33], dtype=int16)","array([1, 5, 7, 9], dtype=int16)"
236,4,3,"array([ 3,  4, 16, 33], dtype=int16)","array([1, 5, 9], dtype=int16)"
236,9,3,"array([ 1,  6,  7, 16, 33], dtype=int16)","array([1, 3, 5, 7], dtype=int16)"
236,15,3,"array([ 1,  7, 16, 33], dtype=int16)","array([1, 5, 9], dtype=int16)"
236,25,2,"array([ 9, 10, 12, 16, 33], dtype=int16)","array([1, 5], dtype=int16)"
236,30,3,"array([11, 12, 16, 33], dtype=int16)","array([1, 3, 5], dtype=int16)"
236,31,1,"array([12, 16, 33], dtype=int16)","array([5], dtype=int16)"
237,0,2,"array([ 1,  2, 11, 30], dtype=int16)","array([1, 9], dtype=int16)"
237,25,2,"array([ 1,  9, 10, 11, 12, 30], dtype=int16)","array([1, 5], dtype=int16)"
237,27,2,"array([ 1, 11, 12, 15, 16, 30], dtype=int16)","array([1, 5], dtype=int16)"
237,28,2,"array([11, 12, 22, 30], dtype=int16)","array([1, 5], dtype=int16)"
237,29,3,"array([ 1,  6, 10, 11, 30, 33], dtype=int16)","array([1, 3], dtype=int16)"
237,30,3,"array([ 1, 11, 12, 30], dtype=int16)","array([1, 3], dtype=int16)"
237,31,2,"array([ 1, 11, 12, 30, 33], dtype=int16)","array([1, 5], dtype=int16)"
237,32,2,"array([ 1, 11, 12, 30, 33], dtype=int16)","array([1, 5], dtype=int16)"
237,33,2,"array([11, 12, 30, 33], dtype=int16)","array([1, 5], dtype=int16)"
237,34,2,"array([11, 12, 30, 33], dtype=int16)","array([1, 5], dtype=int16)"
237,35,1,"array([11, 12, 30, 33], dtype=int16)","array([1], dtype=int16)"
238,33,2,"array([12, 30, 31], dtype=int16)","array([1, 5], dtype=int16)"
238,34,2,"array([12, 30, 31, 33], dtype=int16)","array([1, 5], dtype=int16)"
238,35,1,"array([ 6, 30, 31, 35], dtype=int16)","array([1], dtype=int16)"
238,242,3,"array([ 6, 30, 31, 35], dtype=int16)","array([1, 2, 7], dtype=int16)"
238,243,2,"array([30, 31, 35], dtype=int16)","array([1, 7], dtype=int16)"
238,244,2,"array([ 30,  31, 191], dtype=int16)","array([1, 2], dtype=int16)"
238,246,2,"array([11, 30, 31], dtype=int16)","array([1, 7], dtype=int16)"
239,0,2,"array([ 1,  2, 39, 34], dtype=int16)","array([1, 9], dtype=int16)"
239,1,2,"array([ 1,  2, 30, 34], dtype=int16)","array([1, 9], dtype=int16)"
240,27,2,"array([11, 12, 15, 16, 30], dtype=int16)","array([1, 5], dtype=int16)"
240,28,2,"array([12, 22, 30], dtype=int16)","array([1, 5], dtype=int16)"
240,31,2,"array([12, 30, 33], dtype=int16)","array([1, 5], dtype=int16)"
240,32,2,"array([12, 30, 33], dtype=int16)","array([1, 5], dtype=int16)"
240,82,1,"array([18, 30], dtype=int16)","array([1], dtype=int16)"
240,86,1,"array([12, 18, 30], dtype=int16)","array([1], dtype=int16)"
241,0,3,"array([ 1,  2, 35], dtype=int16)","array([1, 5, 9], dtype=int16)"
241,2,3,"array([ 1,  2, 35], dtype=int16)","array([1, 5, 7, 9], dtype=int16)"
241,9,3,"array([ 1,  6,  7, 30, 31, 35], dtype=int16)","array([1, 3, 5, 7], dtype=int16)"
241,12,3,"array([ 1,  4, 35], dtype=int16)","array([3, 5, 7], dtype=int16)"
241,19,3,"array([2, 3, 4], dtype=int16)","array([1, 5, 9], dtype=int16)"
242,0,3,"array([ 1,  2,  3,  6, 16, 31], dtype=int16)","array([1, 2, 7, 9], dtype=int16)"
242,16,3,"array([ 3,  4,  6, 31], dtype=int16)","array([1, 2, 7, 9], dtype=int16)"
242,25,3,"array([ 6,  9, 10, 11, 12, 30, 35], dtype=int16)","array([1, 2, 5, 7], dtype=int16)"
242,27,3,"array([ 6, 12, 15, 16, 31, 35], dtype=int16)","array([1, 2, 5, 7], dtype=int16)"
242,28,3,"array([ 6, 12, 22, 30, 35], dtype=int16)","array([1, 2, 5, 7], dtype=int16)"
242,29,3,"array([ 6, 10, 11, 30, 33, 35], dtype=int16)","array([1, 2, 3, 7], dtype=int16)"
242,30,3,"array([ 6, 11, 12, 35], dtype=int16)","array([1, 2, 3, 7], dtype=int16)"
243,0,3,"array([ 1,  2, 35], dtype=int16)","array([1, 7, 9], dtype=int16)"
243,16,3,"array([ 3,  4, 35], dtype=int16)","array([1, 7, 9], dtype=int16)"
243,25,2,"array([ 6,  9, 10, 11, 12], dtype=int16)","array([5, 7], dtype=int16)"
243,27,2,"array([10, 11, 12, 16, 35], dtype=int16)","array([5, 7], dtype=int16)"
243,28,2,"array([12, 22, 35], dtype=int16)","array([5, 7], dtype=int16)"
243,29,3,"array([ 6, 10, 11, 33, 35], dtype=int16)","array([1, 3, 7], dtype=int16)"
243,30,3,"array([11, 12, 35], dtype=int16)","array([1, 3, 7], dtype=int16)"
244,8,3,"array([  3,   4,  31, 191], dtype=int16)","array([1, 2, 9], dtype=int16)"
244,19,3,"array([  3,   4,  31, 191], dtype=int16)","array([1, 2, 9], dtype=int16)"
244,21,2,"array([  8,  31, 191], dtype=int16)","array([1, 2], dtype=int16)"
244,22,2,"array([  8,  31, 191], dtype=int16)","array([1, 2], dtype=int16)"
244,23,2,"array([  8,  31, 191], dtype=int16)","array([1, 2], dtype=int16)"
244,24,2,"array([  8,  31, 191], dtype=int16)","array([1, 2], dtype=int16)"
244,27,2,"array([ 12,  15,  16,  31, 191], dtype=int16)","array([2, 5], dtype=int16)"
244,28,2,"array([ 12,  22,  31, 191], dtype=int16)","array([2, 5], dtype=int16)"
244,29,3,"array([  6,  10,  11,  31,  33, 191], dtype=int16)","array([1, 2, 3], dtype=int16)"
245,8,3,"array([ 3,  4, 31], dtype=int16)","array([1, 2, 9], dtype=int16)"
245,25,2,"array([ 9, 10, 11, 12, 31], dtype=int16)","array([1, 2], dtype=int16)"
245,26,2,"array([ 22,  31, 191], dtype=int16)","array([1, 2], dtype=int16)"
245,29,3,"array([ 6, 10, 11, 31, 33], dtype=int16)","array([1, 2, 3], dtype=int16)"
245,30,2,"array([11, 12, 31], dtype=int16)","array([1, 2], dtype=int16)"
246,0,3,"array([ 1,  2, 11], dtype=int16)","array([1, 7, 9], dtype=int16)"
246,2,3,"array([ 2, 11], dtype=int16)","array([1, 7, 9], dtype=int16)"
246,3,3,"array([ 1, 31, 11], dtype=int16)","array([3, 7, 9], dtype=int16)"
246,9,3,"array([ 1,  5,  6,  7, 11], dtype=int16)","array([1, 3, 7], dtype=int16)"
246,12,3,"array([ 1,  7, 11], dtype=int16)","array([3, 7], dtype=int16)"
246,27,2,"array([11, 12, 15, 16], dtype=int16)","array([5, 7], dtype=int16)"
246,28,2,"array([11, 12, 22], dtype=int16)","array([5, 7], dtype=int16)"
246,29,3,"array([ 6, 10, 11, 33], dtype=int16)","array([1, 3, 7], dtype=int16)"
247,0,2,"array([  1,  35, 192], dtype=int16)","array([1, 9], dtype=int16)"
247,3,3,"array([ 1, 35], dtype=int16)","array([1, 3, 7, 9], dtype=int16)"
247,9,3,"array([ 1,  5,  6,  7, 35], dtype=int16)","array([1, 3, 7], dtype=int16)"
247,12,3,"array([ 1,  7, 35], dtype=int16)","array([1, 3, 7], dtype=int16)"
247,19,2,"array([ 3,  4, 35], dtype=int16)","array([1, 9], dtype=int16)"
247,29,3,"array([ 6, 10, 11, 33], dtype=int16)","array([1, 3], dtype=int16)"
247,34,2,"array([12, 33, 35], dtype=int16)","array([1, 5], dtype=int16)"
248,23,3,"array([ 31,  39,  40, 193], dtype=int16)","array([1, 2, 5], dtype=int16)"
248,27,3,"array([ 31,  38,  39,  40, 193], dtype=int16)","array([1, 2, 5], dtype=int16)"
248,29,3,"array([ 30,  31, 193], dtype=int16)","array([1, 2, 5], dtype=int16)"
248,31,3,"array([ 30,  31, 193], dtype=int16)","array([1, 2, 5], dtype=int16)"
249,0,2,"array([ 1,  2, 31, 36], dtype=int16)","array([1, 9], dtype=int16)"
249,8,2,"array([ 3,  4, 31, 36], dtype=int16)","array([1, 9], dtype=int16)"
249,16,2,"array([ 3,  4, 31, 36], dtype=int16)","array([1, 9], dtype=int16)"
249,19,2,"array([ 3,  4, 31, 36], dtype=int16)","array([1, 9], dtype=int16)"
249,25,2,"array([ 9, 10, 11, 12, 31, 33, 36], dtype=int16)","array([1, 5], dtype=int16)"
249,29,3,"array([ 6, 10, 11, 31, 33, 36], dtype=int16)","array([1, 3], dtype=int16)"
249,32,2,"array([12, 31, 33, 36], dtype=int16)","array([1, 5], dtype=int16)"
249,242,3,"array([ 6, 31, 35, 36], dtype=int16)","array([1, 2, 7], dtype=int16)"
249,278,1,"array([31, 36, 39], dtype=int16)","array([1], dtype=int16)"
250,251,2,"array([24], dtype=int16)","array([4, 5], dtype=int16)"
250,252,3,"array([31, 37, 38, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,254,3,"array([19, 37, 42], dtype=int16)","array([4, 5, 8], dtype=int16)"
250,255,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,258,3,"array([19, 37, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,277,3,"array([37, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,278,3,"array([37, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,280,3,"array([31, 37, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,281,3,"array([31, 39, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,282,3,"array([37, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,388,3,"array([37, 69], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,403,2,"array([19, 37], dtype=int16)","array([4, 5], dtype=int16)"
250,406,2,"array([19, 37], dtype=int16)","array([4, 5], dtype=int16)"
250,409,2,"array([19, 37], dtype=int16)","array([4, 5], dtype=int16)"
250,436,2,"array([37, 39], dtype=int16)","array([4, 5], dtype=int16)"
250,437,3,"array([37, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,438,3,"array([  6,  37, 191], dtype=int16)","array([3, 4, 5], dtype=int16)"
250,439,3,"array([37, 38, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,445,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,447,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,458,3,"array([37, 74], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,459,3,"array([37, 41, 39], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
250,460,3,"array([37, 41, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,461,3,"array([37, 41, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,462,3,"array([31, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,463,3,"array([37, 41, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,464,3,"array([37, 40], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
250,469,2,"array([19, 37], dtype=int16)","array([4, 5], dtype=int16)"
250,470,2,"array([19, 37], dtype=int16)","array([4, 5], dtype=int16)"
250,477,3,"array([19, 37, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,478,3,"array([37, 39, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,488,3,"array([37, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,491,3,"array([37, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,493,3,"array([37, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,494,3,"array([37, 39, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,495,3,"array([19, 37, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,496,3,"array([37, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,497,3,"array([37, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,498,3,"array([12, 37], dtype=int16)","array([1, 2, 4, 5], dtype=int16)"
250,499,3,"array([16, 41, 37], dtype=int16)","array([ 4,  5, 10], dtype=int16)"
250,500,3,"array([ 2,  4, 37, 41], dtype=int16)","array([ 4,  5,  9, 10], dtype=int16)"
250,525,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,531,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,536,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
250,537,3,"array([ 6, 37], dtype=int16)","array([1, 2, 3, 4, 5], dtype=int16)"
250,543,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,249,3,"array([31, 36, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,253,2,"array([ 2, 19, 37, 42], dtype=int16)","array([4, 5], dtype=int16)"
251,254,3,"array([19, 37, 42], dtype=int16)","array([4, 5, 8], dtype=int16)"
251,255,3,"array([18, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,256,3,"array([37, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,258,3,"array([19, 37, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,259,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,277,3,"array([37, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,283,3,"array([37, 51], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,284,3,"array([37, 41, 39, 77], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,286,3,"array([37, 41, 77], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,306,3,"array([19, 37], dtype=int16)","array([4, 5, 8], dtype=int16)"
251,435,3,"array([31, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,436,3,"array([37, 38], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,437,3,"array([37, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,438,3,"array([  6,  37, 191], dtype=int16)","array([3, 4, 5], dtype=int16)"
251,439,3,"array([37, 38, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,440,3,"array([ 6, 37], dtype=int16)","array([3, 4, 5], dtype=int16)"
251,455,3,"array([19, 37], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
251,459,3,"array([37, 38, 39], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
251,461,3,"array([37, 38, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,462,3,"array([31, 37], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
251,463,3,"array([37, 40, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,465,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,469,2,"array([17, 37], dtype=int16)","array([4, 5], dtype=int16)"
251,470,2,"array([19, 37], dtype=int16)","array([4, 5], dtype=int16)"
251,475,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,477,3,"array([37, 41, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,488,3,"array([37, 38], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,490,3,"array([37, 40, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,491,3,"array([37, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,492,3,"array([37, 39], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,493,3,"array([37, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,496,3,"array([37, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,497,3,"array([37, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,498,3,"array([12, 37], dtype=int16)","array([2, 4, 5], dtype=int16)"
251,519,3,"array([ 6, 18, 31, 37, 80], dtype=int16)","array([4, 5, 7, 8], dtype=int16)"
251,520,3,"array([19, 37], dtype=int16)","array([4, 5, 8], dtype=int16)"
251,535,2,"array([19, 37], dtype=int16)","array([4, 5], dtype=int16)"
251,540,2,"array([19, 38], dtype=int16)","array([4, 5], dtype=int16)"
251,543,3,"array([19, 37], dtype=int16)","array([1, 4, 5], dtype=int16)"
251,545,2,"array([19, 37], dtype=int16)","array([4, 5], dtype=int16)"
252,250,3,"array([31, 37, 38, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
252,251,3,"array([31, 37, 38, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
252,252,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,253,3,"array([31, 33, 37, 38, 39, 40, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
252,254,3,"array([31, 33, 38, 39, 40], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
252,255,3,"array([31, 33, 38, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
252,256,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,275,3,"array([19, 31, 38, 39, 40], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
252,283,1,"array([31, 38, 39, 40, 51], dtype=int16)","array([1], dtype=int16)"
252,288,1,"array([31, 38, 39, 40, 53], dtype=int16)","array([1], dtype=int16)"
252,294,1,"array([19, 31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,295,1,"array([31, 38, 39, 40, 57], dtype=int16)","array([1], dtype=int16)"
252,296,1,"array([31, 35, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,303,1,"array([31, 38, 39, 40, 41], dtype=int16)","array([1], dtype=int16)"
252,436,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,437,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,439,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,440,2,"array([31, 38, 39, 40], dtype=int16)","array([1, 2], dtype=int16)"
252,459,2,"array([31, 38, 39, 40, 41], dtype=int16)","array([1, 8], dtype=int16)"
252,460,1,"array([31, 38, 39, 40, 41], dtype=int16)","array([1], dtype=int16)"
252,461,1,"array([31, 38, 39, 40, 41, 48], dtype=int16)","array([1], dtype=int16)"
252,462,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,463,1,"array([31, 38, 39, 40, 41], dtype=int16)","array([1], dtype=int16)"
252,464,3,"array([31, 38, 39, 40], dtype=int16)","array([1, 4, 8], dtype=int16)"
252,469,3,"array([19, 31, 38, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
252,489,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,491,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,494,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,495,3,"array([19, 31, 38, 39, 40, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
252,497,1,"array([31, 38, 39, 40], dtype=int16)","array([1], dtype=int16)"
252,498,3,"array([12, 31, 38, 39, 40], dtype=int16)","array([1, 2, 5], dtype=int16)"
252,500,3,"array([ 2, 16, 31, 38, 39, 40, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
252,520,3,"array([19, 31, 38, 39, 40], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
252,536,3,"array([19, 31, 38, 39, 40], dtype=int16)","array([1, 4, 5], dtype=int16)"
252,537,3,"array([31, 38, 39, 40], dtype=int16)","array([1, 3, 4], dtype=int16)"
253,211,3,"array([19, 41, 42], dtype=int16)","array([1, 4, 5], dtype=int16)"
253,249,3,"array([31, 36, 41], dtype=int16)","array([1, 4, 5], dtype=int16)"
253,253,2,"array([41], dtype=int16)","array([4, 5], dtype=int16)"
253,254,3,"array([19, 41, 42], dtype=int16)","array([4, 5, 8], dtype=int16)"
253,255,2,"array([19, 41, 42], dtype=int16)","array([4, 5], dtype=int16)"
253,275,3,"array([19, 41, 42], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
253,280,3,"array([19, 31, 38, 41, 42], dtype=int16)","array([1, 4, 5], dtype=int16)"
253,283,3,"array([19, 31, 42, 51], dtype=int16)","array([1, 4, 5], dtype=int16)"
253,289,3,"array([ 19,  41,  42, 195], dtype=int16)","array([1, 4, 5], dtype=int16)"
