# index, name, nodeLabel, nodeLong, nodeLat, _pos
49,LEMD,LEMD,-3.560833,40.472221,"array([-1.98647003,  7.6161936 ])"
50,EPKT,EPKT,19.080001,50.474166,"array([-1.76235658,  7.56896585])"
51,LGIR,LGIR,25.180278,35.339722,"array([-2.14919438,  7.5301771 ])"
52,EGGW,EGGW,-0.368333,51.874723,"array([-1.87422084,  7.63936686])"
53,EDDV,EDDV,9.683612,52.460278,"array([-1.85309479,  7.43478235])"
54,LHBP,LHBP,19.261945,47.439445,"array([-1.95537469,  7.42224177])"
55,EDLW,EDLW,7.612222,51.518335,"array([-2.10021152,  7.47755095])"
56,LEPA,LEPA,2.738888,39.551668,"array([-1.9465056 ,  7.63410496])"
57,LFLL,LFLL,5.081112,45.725553,"array([-2.06045324,  7.51149211])"
58,LFML,LFML,5.215,43.436666,"array([-2.0923393 ,  7.54542207])"
59,LTBS,LTBS,28.791388,36.7125,"array([-2.14675861,  7.47185728])"
60,EGCC,EGCC,-2.275,53.35389,"array([-1.91077723,  7.62710969])"
61,LIPZ,LIPZ,12.351945,45.505278,"array([-1.8774033 ,  7.52349431])"
62,LFRS,LFRS,-1.607778,47.156946,"array([-2.2156346,  7.6236221])"
63,LOWW,LOWW,16.569721,48.110278,"array([-1.93228121,  7.37627268])"
64,LGTS,LGTS,22.970833,40.519722,"array([-2.07997124,  7.43666009])"
65,LSZH,LSZH,8.548055,47.458333,"array([-1.94140532,  7.45504927])"
66,EDDT,EDDT,13.287779,52.559721,"array([-1.96168395,  7.3843857 ])"
67,LFSB,LFSB,7.529167,47.589998,"array([-1.96382923,  7.32226994])"
68,EFTU,EFTU,22.261666,60.514722,"array([-1.54056664,  7.27627899])"
69,LJLJ,LJLJ,14.456112,46.224447,"array([-1.74819091,  7.22696297])"
70,EGLL,EGLL,-0.461388,51.477498,"array([-1.91772296,  7.50085079])"
71,LGKO,LGKO,27.091111,36.794722,"array([-2.08370534,  7.3800295 ])"
72,LTFH,LTFH,36.548612,41.265556,"array([-1.96109958,  7.10502477])"
73,LTDA,LTDA,36.298612,36.366667,"array([-2.01256177,  6.88883079])"
74,EPWR,EPWR,16.885834,51.102779,"array([-1.68299545,  7.61083141])"
75,LIRA,LIRA,12.597222,41.799447,"array([-1.89694688,  7.6741291 ])"
76,EFHK,EFHK,24.963334,60.31722,"array([-1.72644339,  7.34244477])"
77,EVRA,EVRA,23.971112,56.923612,"array([-1.70486973,  7.46940781])"
78,EYVI,EYVI,25.287779,54.636947,"array([-1.62289135,  7.49030537])"
79,LIML,LIML,9.278334,45.449447,"array([-1.82182112,  7.46638068])"
80,ESOW,ESOW,16.633612,59.589445,"array([-1.38291338,  7.83403047])"
81,EETN,EETN,24.832499,59.413334,"array([-1.59480806,  7.53913664])"
82,LIRF,LIRF,12.238889,41.800277,"array([-1.91037444,  7.46806543])"
83,LOWG,LOWG,15.439166,46.993054,"array([-2.09184466,  7.2605971 ])"
84,LGRP,LGRP,28.086112,36.405278,"array([-2.20368875,  7.47244237])"
85,LBWN,LBWN,27.825279,43.231946,"array([-1.83680627,  6.99019777])"
86,LGKR,LGKR,19.912221,39.601945,"array([-2.32892896,  7.35078267])"
87,LGSA,LGSA,24.151111,35.531388,"array([-2.23905499,  7.52008663])"
88,LATI,LATI,19.720555,41.414722,"array([-2.15671266,  7.27469015])"
89,LGKF,LGKF,20.500555,38.119999,"array([-2.60032788,  7.12273597])"
90,LGSR,LGSR,25.479167,36.399166,"array([-2.36733304,  7.25465476])"
91,LWSK,LWSK,21.621389,41.961666,"array([-2.15924348,  7.18249051])"
92,LGMT,LGMT,26.598612,39.05778,"array([-2.21440134,  7.24299061])"
93,LTCC,LTCC,40.201111,37.892501,"array([-1.91371688,  6.99078135])"
94,LFBD,LFBD,-0.715278,44.828613,"array([-2.11098378,  7.63588191])"
95,LEMG,LEMG,-4.499167,36.675,"array([-1.84548994,  7.61619086])"
96,ENTC,ENTC,18.917778,69.681388,"array([-0.97797909,  7.35015242])"
97,ENBO,ENBO,14.365278,67.269165,"array([-1.14097236,  7.29091436])"
98,LOWL,LOWL,14.188055,48.235278,"array([-1.91118124,  7.27229052])"
99,EDDE,EDDE,10.958055,50.97972,"array([-1.55062745,  7.36726098])"
100,LSGG,LSGG,6.109445,46.238334,"array([-2.03805024,  7.54918824])"
101,LGST,LGST,26.101111,35.216113,"array([-2.77185922,  7.18505119])"
102,LGZA,LGZA,20.884167,37.751111,"array([-2.12583629,  7.02805508])"
103,LGLM,LGLM,25.236389,39.91722,"array([-2.68116893,  7.15333574])"
104,LRCL,LRCL,23.686112,46.785002,"array([-2.22415523,  7.77566297])"
105,EFKE,EFKE,24.584721,65.779167,"array([-4.79354934,  8.17738769])"
106,LICC,LICC,15.063889,37.466667,"array([-1.87691378,  7.35017916])"
107,EIDW,EIDW,-6.27,53.421387,"array([-1.84264489,  7.65748115])"
108,LRTR,LRTR,21.337779,45.809721,"array([-2.17841546,  7.68690575])"
109,LGHI,LGHI,26.140556,38.343335,"array([-2.5095455 ,  7.19743848])"
110,LGSM,LGSM,26.912221,37.689168,"array([-2.46137003,  7.29366601])"
111,LBSF,LBSF,23.408333,42.694999,"array([-1.84665478,  7.38411776])"
112,EFKK,EFKK,23.139166,63.72028,"array([-0.0147467 ,  9.85498741])"
113,LZTT,LZTT,20.241111,49.073612,"array([-1.29646156,  7.68723814])"
114,LGML,LGML,24.476945,36.696944,"array([-2.59482337,  6.94419043])"
115,LKTB,LKTB,16.693888,49.151388,"array([-1.54152783,  7.46074024])"
116,LRTM,LRTM,24.4125,46.467778,"array([-2.26733726,  7.47012176])"
117,LFOB,LFOB,2.112778,49.454443,"array([-1.79863359,  7.77955818])"
118,EGCN,EGCN,-1.004445,53.474723,"array([-1.49651993,  7.59753639])"
119,LGAL,LGAL,25.956112,40.855835,"array([-2.55239406,  7.32226952])"
120,EGNV,EGNV,-1.429445,54.509167,"array([-2.48139675,  7.7139262 ])"
121,EDDS,EDDS,9.221945,48.689998,"array([-1.99220186,  7.40243182])"
122,LZKZ,LZKZ,21.241111,48.663053,"array([-2.05727506,  7.04776466])"
123,LTCG,LTCG,39.785278,40.995833,"array([-2.04703331,  6.97432177])"
124,LRIA,LRIA,27.619999,47.17889,"array([-1.79439321,  6.80784245])"
125,LRSB,LRSB,24.085555,45.785832,"array([-1.75370982,  6.99122383])"
126,LRSV,LRSV,26.353888,47.6875,"array([-1.98121601, 10.48566704])"
127,LTAT,LTAT,38.083057,38.432222,"array([-2.21905438,  7.13399982])"
128,LRBM,LRBM,23.466111,47.658333,"array([0.99082144, 8.49248889])"
129,LGPA,LGPA,25.128056,37.010278,"array([-2.71872547,  7.07276592])"
130,EDLP,EDLP,8.616388,51.614168,"array([-2.19648997,  7.56058876])"
131,EFPO,EFPO,21.797778,61.461389,"array([-2.65644468,  4.59764044])"
132,EFOU,EFOU,25.355554,64.929167,"array([-1.44795955,  7.08776883])"
133,ENSH,ENSH,14.669167,68.243335,"array([-0.86347706,  7.08121656])"
134,LEZG,LEZG,-1.041667,41.666113,"array([-1.83601974,  7.88315338])"
135,EFSI,EFSI,22.831946,62.693612,"array([0.99618371, 6.46285722])"
136,EFRO,EFRO,25.830833,66.561666,"array([-1.35187945,  7.33308964])"
137,EFJY,EFJY,25.672778,62.400834,"array([-1.45677084, 10.45959249])"
138,EBCI,EBCI,4.452778,50.460002,"array([-1.85120539,  7.6986896 ])"
139,EFVA,EFVA,21.764166,63.04528,"array([-1.53047886,  7.09194933])"
140,LROD,LROD,21.9025,47.025277,"array([-3.16205537,  4.78463687])"
141,EFVR,EFVR,27.868612,62.17111,"array([-0.94556472, 10.34435126])"
142,EFTP,EFTP,23.587779,61.415279,"array([-1.49198873,  7.66435082])"
143,EFKU,EFKU,27.794446,63.00861,"array([-1.36636462,  7.17963359])"
144,LTAN,LTAN,32.5625,37.980554,"array([-1.99319846,  6.80106902])"
145,EYKA,EYKA,24.084721,54.963888,"array([-1.56850005,  7.80763582])"
146,LPPR,LPPR,-8.678055,41.235555,"array([-1.98882247,  7.71023144])"
147,LFRN,LFRN,-1.732222,48.071944,"array([-1.90129898,  8.07088617])"
148,ENST,ENST,12.472222,65.959721,"array([-0.97677898,  7.47644777])"
149,LTAR,LTAR,36.902498,39.814168,"array([-2.15223728,  6.81923414])"
150,EFKI,EFKI,27.6875,64.284167,"array([-1.26637508,  7.04409376])"
151,ENVD,ENVD,29.844722,70.065275,"array([-0.74578032,  7.47613891])"
152,ENMH,ENMH,27.826666,71.02972,"array([-0.42276358,  7.43430342])"
153,LTAU,LTAU,35.49528,38.77028,"array([-2.11742603,  7.11534396])"
154,EDDC,EDDC,13.768055,51.134444,"array([-1.87274523,  7.23862592])"
155,ENMS,ENMS,13.215278,65.78361,"array([-0.9002397 ,  7.46242026])"
156,LTBY,LTBY,30.582778,39.782222,"array([-2.36280315,  7.17892858])"
157,ENNA,ENNA,24.973889,70.066667,"array([-0.75039557,  7.33491071])"
158,LTCE,LTCE,41.169165,39.955278,"array([-2.10875237,  6.95375087])"
159,LTFE,LTFE,27.681388,37.247221,"array([-1.98979558,  7.03598358])"
160,EGNJ,EGNJ,-0.350833,53.574447,"array([-1.39177778,  7.26044772])"
161,LTCN,LTCN,36.951945,37.538334,"array([-2.3173471 ,  6.72962764])"
162,ESGP,ESGP,11.870555,57.775553,"array([-1.78022935,  7.96973093])"
163,LYBE,LYBE,20.306946,44.819446,"array([-1.81721872,  7.33441607])"
164,LEMH,LEMH,4.218612,39.8625,"array([-2.0852871 ,  7.76015498])"
165,EDDL,EDDL,6.757221,51.280835,"array([-1.88258324,  7.45062879])"
166,ENSK,ENSK,15.026112,68.580835,"array([-0.81346543,  7.19807721])"
167,ENLK,ENLK,13.609445,68.152498,"array([-0.81538296,  6.98913009])"
168,LFPO,LFPO,2.379445,48.723332,"array([-2.11561851,  7.58336449])"
169,LKMT,LKMT,18.110834,49.69611,"array([-1.50129172,  6.9817803 ])"
170,ENKR,ENKR,29.887779,69.725,"array([-1.17963058,  7.47661979])"
171,EDNY,EDNY,9.511388,47.671387,"array([-1.67311482,  7.09710574])"
172,LPFR,LPFR,-7.965834,37.014445,"array([-1.77528796,  7.66448759])"
173,LTCO,LTCO,43.028613,39.647502,"array([-2.08318278,  6.7641345 ])"
174,EPPO,EPPO,16.826389,52.42111,"array([-1.98442605,  7.66606671])"
175,ESNQ,ESNQ,20.335555,67.821387,"array([-1.53899027,  6.87827065])"
176,ESPA,ESPA,22.123612,65.543335,"array([-1.59936366,  7.05624495])"
177,EFJO,EFJO,29.624445,62.658887,"array([-1.4310066 ,  6.90596698])"
178,LCRA,LCRA,32.990833,34.594999,"array([0.3865038 , 9.48781176])"
179,EGVN,EGVN,-1.583612,51.749723,"array([-4.41054554,  5.88869834])"
180,EDDH,EDDH,9.988333,53.630278,"array([-1.99076822,  7.44430678])"
181,LDPL,LDPL,13.922222,44.893612,"array([-2.50732714, 10.41879401])"
182,LDZD,LDZD,15.346666,44.108333,"array([-1.45267123,  7.86712954])"
183,LEBB,LEBB,-2.910555,43.301111,"array([-2.06816199,  7.63104552])"
184,LTCR,LTCR,40.640556,37.23278,"array([-2.2706079 ,  6.97053029])"
185,EYPA,EYPA,21.093888,55.973332,"array([-1.34104383,  7.59627092])"
186,ENBR,ENBR,5.218055,60.293612,"array([-1.48470607,  7.48957046])"
187,ENHD,ENHD,5.2125,59.343335,"array([-1.33753455,  7.42735479])"
188,ENAN,ENAN,16.144167,69.292497,"array([-0.89996858,  7.24195808])"
189,ENEV,ENEV,16.678334,68.488892,"array([-1.15932795,  7.37387798])"
190,LTCP,LTCP,38.468888,37.730835,"array([-2.06352125,  6.65995084])"
191,ELLX,ELLX,6.204445,49.623332,"array([-2.11482079,  7.69562826])"
192,LTAY,LTAY,29.705001,37.787777,"array([-2.40564172,  6.89907954])"
193,LOWS,LOWS,13.003334,47.794446,"array([-1.84105197,  7.29189316])"
194,LBBG,LBBG,27.515279,42.57028,"array([-1.79144002,  8.11645741])"
195,EDDW,EDDW,8.786667,53.047502,"array([-1.6652154 ,  7.53303726])"
196,EPLL,EPLL,19.398055,51.721944,"array([-2.13157398,  7.99396019])"
197,ENHK,ENHK,22.139722,70.48667,"array([-0.57098864,  7.26550866])"
198,LFMN,LFMN,7.215,43.665279,"array([-1.93759111,  7.58201767])"
199,ENAT,ENAT,23.371667,69.976115,"array([-1.05081782,  7.4070174 ])"
200,ENVA,ENVA,10.924167,63.457499,"array([-1.3172304 ,  7.51344504])"
201,ENZV,ENZV,5.637778,58.876668,"array([-1.538193  ,  7.52802438])"
202,LRBS,LRBS,26.103611,44.503613,"array([-2.02919765,  7.67227663])"
203,LOWK,LOWK,14.337221,46.642778,"array([-2.14279584,  7.34289078])"
204,LEAL,LEAL,-0.558055,38.282222,"array([-1.80810709,  7.66801265])"
205,LIEA,LIEA,8.288612,40.631112,"array([-1.56242587,  7.6405885 ])"
206,ENRY,ENRY,10.785555,59.37889,"array([-1.5792849 ,  7.68394349])"
207,LMML,LMML,14.4775,35.857499,"array([-1.74163645,  7.46294098])"
208,EGGP,EGGP,-2.849722,53.33361,"array([-1.8506267 ,  7.77794769])"
209,LEZL,LEZL,-5.898888,37.418054,"array([-1.96419759,  7.74763159])"
210,LEVC,LEVC,-0.481667,39.489445,"array([-1.94036387,  7.67740582])"
211,LTCS,LTCS,38.908333,37.456946,"array([-2.37682646,  6.79643405])"
212,EHEH,EHEH,5.374445,51.45,"array([-1.92474816,  7.72840384])"
213,ENHV,ENHV,25.983612,71.009725,"array([-0.29552012,  7.31532191])"
214,LPPT,LPPT,-9.134166,38.774166,"array([-1.99656555,  7.58037855])"
215,LICA,LICA,16.241667,38.908333,"array([-1.71933431,  7.51232605])"
216,ENKB,ENKB,7.826112,63.111947,"array([-1.24625271,  7.47170767])"
217,LTCA,LTCA,39.281388,38.598612,"array([-2.18953167,  6.9798869 ])"
218,LDZA,LDZA,16.068888,45.743054,"array([-1.90996035,  7.20648477])"
219,ENTO,ENTO,10.258612,59.186666,"array([-1.5680603 ,  7.59029011])"
220,LIBD,LIBD,16.765,41.138053,"array([-1.80603913,  7.576394  ])"
221,LTCI,LTCI,43.330835,38.468612,"array([-1.98305674,  6.96081405])"
222,ENBN,ENBN,12.2175,65.461112,"array([-1.09620927,  7.58002591])"
223,EDLV,EDLV,6.142222,51.602498,"array([-1.68747073,  7.72410756])"
224,LIRN,LIRN,14.290834,40.884444,"array([-2.02345179,  7.46617373])"
225,EBOS,EBOS,2.862222,51.198889,"array([-0.11664243,  5.0391082 ])"
226,LEGE,LEGE,2.760555,41.900834,"array([-1.7331265 ,  7.74692345])"
227,LOWI,LOWI,11.343888,47.260278,"array([-1.67050427,  7.32005468])"
228,LDSP,LDSP,16.298055,43.538888,"array([-2.08495454,  7.18773496])"
229,ENRA,ENRA,14.301389,66.363888,"array([-0.96107137,  7.56144676])"
230,ENRM,ENRM,11.146112,64.838334,"array([-0.94059416,  7.7073296 ])"
231,LTCF,LTCF,43.098889,40.55861,"array([-2.08769556,  6.86700638])"
232,ESSL,ESSL,15.679722,58.406388,"array([-2.16137767,  8.11200625])"
233,LIEE,LIEE,9.056112,39.247221,"array([-1.74117845,  7.6980737 ])"
234,ENCN,ENCN,8.085,58.20389,"array([-1.42528549,  7.55224944])"
235,EFSA,EFSA,28.944999,61.942778,"array([1.15770369, 7.15116377])"
236,LICR,LICR,15.653611,38.071944,"array([-1.54327184,  7.19161228])"
237,ESSP,ESSP,16.246389,58.586112,"array([-4.60084245,  8.7323832 ])"
238,LSZR,LSZR,9.561945,47.485002,"array([-2.40798672,  7.63120936])"
239,EDFH,EDFH,7.263889,49.948612,"array([-1.74287866,  7.79317359])"
240,LIEO,LIEO,9.517779,40.898612,"array([-2.16998898,  7.41633899])"
241,ENML,ENML,7.2625,62.744722,"array([-1.2381734 ,  7.55525199])"
242,EDDR,EDDR,7.109445,49.214445,"array([-2.40223324,  7.38875944])"
243,ESGG,ESGG,12.291111,57.660002,"array([-1.77946777,  7.34894341])"
244,EKYT,EKYT,9.849167,57.092778,"array([-1.48517283,  7.40352143])"
245,ENOV,ENOV,6.074167,62.180001,"array([-1.11067758,  7.21557891])"
246,ESMQ,ESMQ,16.2875,56.685555,"array([-1.51765739,  6.73516038])"
247,LGKP,LGKP,27.145833,35.42111,"array([-2.64335835,  7.44165304])"
248,LGKS,LGKS,26.91,35.421387,"array([-3.05211175,  7.44031308])"
249,EDSB,EDSB,8.080555,48.779443,"array([-2.0352915 ,  7.73023074])"
250,LERS,LERS,1.167222,41.147502,"array([-1.76011533,  7.84161088])"
251,EGKK,EGKK,-0.190278,51.148055,"array([-1.90365726,  7.59281054])"
252,LTAZ,LTAZ,34.526388,38.776388,"array([-2.23313118,  6.70608163])"
253,LDDU,LDDU,18.268333,42.561389,"array([-1.635618  ,  7.39404568])"
254,LICT,LICT,12.493333,37.911947,"array([-1.6767631 ,  7.78247248])"
255,LIRP,LIRP,10.395555,43.68278,"array([-1.75165408,  7.626217  ])"
256,ENNM,ENNM,11.578611,64.472221,"array([-0.87456399,  7.62855852])"
257,ENDU,ENDU,18.540279,69.055835,"array([-1.13172155,  7.12564751])"
258,XXXX,XXXX,0.0,0.0,"array([-2.58088914,  7.63462633])"
259,ESNS,ESNS,21.076945,64.624723,"array([-1.62166405,  6.70313126])"
260,ESKN,ESKN,16.903611,58.788611,"array([-1.65267299,  7.68106049])"
261,LEXJ,LEXJ,-3.82,43.426945,"array([-1.93742185,  7.85342989])"
262,LIMP,LIMP,10.295278,44.822221,"array([-1.48950238,  8.0886534 ])"
263,LQSA,LQSA,18.331667,43.824447,"array([-1.89123127,  7.11739913])"
264,LEST,LEST,-8.415278,42.896387,"array([-1.98537079,  7.81793198])"
265,ENSN,ENSN,9.567222,59.185002,"array([-1.05665559,  7.75376855])"
266,LIMJ,LIMJ,8.8375,44.413334,"array([-1.99329915,  7.54097721])"
267,LIBP,LIBP,14.187221,42.437223,"array([-1.69064663,  7.82579255])"
268,ENBL,ENBL,5.756945,61.391113,"array([-1.22732572,  7.3023075 ])"
269,LIPQ,LIPQ,13.472222,45.827498,"array([-1.72245517,  7.3962867 ])"
270,LPMA,LPMA,-16.778055,32.694167,"array([-2.26257407,  7.5839725 ])"
271,LTCD,LTCD,39.520557,39.713053,"array([-2.18738392,  6.89913143])"
272,ESNU,ESNU,20.280001,63.793054,"array([-1.62602184,  6.96463684])"
273,LEPP,LEPP,-1.646388,42.769999,"array([-2.37465225,  7.88438573])"
274,LEJR,LEJR,-6.06,36.744722,"array([-2.17151949,  7.78414703])"
275,LIPX,LIPX,10.887779,45.396387,"array([-1.73200575,  7.58987374])"
276,EFLP,EFLP,28.148612,61.045833,"array([-1.38615006,  7.75163643])"
277,LIMF,LIMF,7.649445,45.202498,"array([-1.71119133,  7.55949422])"
278,ESTA,ESTA,12.855,56.291113,"array([-1.57080482,  6.79899106])"
279,EKAH,EKAH,10.618888,56.3,"array([-1.48419271,  7.75210584])"
280,LELN,LELN,-5.656112,42.588611,"array([-2.42683456,  7.80409373])"
281,LFTH,LFTH,6.146112,43.097221,"array([-2.26612536,  7.66108265])"
282,LIRQ,LIRQ,11.202778,43.80861,"array([-2.01380071,  7.34921845])"
283,EGLC,EGLC,0.055278,51.505278,"array([-2.07310505,  7.67880451])"
284,ENHF,ENHF,23.668612,70.67972,"array([-0.59710008,  7.36773175])"
285,LIPY,LIPY,13.360278,43.616667,"array([-1.62546641,  7.76645949])"
286,LEAS,LEAS,-6.034722,43.563611,"array([-2.18748456,  7.83877313])"
287,EPSC,EPSC,14.902222,53.584721,"array([-1.47651324,  7.94973415])"
288,LICJ,LICJ,13.099445,38.181946,"array([-1.7699198 ,  7.41879896])"
289,LIRI,LIRI,14.9125,40.619999,"array([-1.84458635,  7.06402022])"
290,ENSG,ENSG,7.137778,61.156112,"array([-1.25086847,  7.22736391])"
291,ENSD,ENSD,6.105833,61.830001,"array([-1.21386253,  7.14431906])"
292,EGPK,EGPK,-4.594445,55.509444,"array([-1.71476219,  7.8720093 ])"
293,LIBR,LIBR,17.948055,40.660555,"array([-1.67405595,  7.42300435])"
294,ESNZ,ESNZ,14.500279,63.194446,"array([-1.65903967,  6.79621109])"
295,EKSB,EKSB,9.791667,54.964445,"array([-3.50483448, 10.001452  ])"
296,LRSM,LRSM,22.885555,47.703333,"array([-4.31243922,  9.23136438])"
297,LECO,LECO,-8.377222,43.301945,"array([-2.22483909,  7.71637832])"
298,LICG,LICG,11.960834,36.813053,"array([-0.59020584,  4.76884007])"
299,LFST,LFST,7.634445,48.541943,"array([-2.32401742,  7.52678969])"
300,ESNN,ESNN,17.442778,62.529443,"array([-1.71535058,  6.72489676])"
301,ESSB,ESSB,17.942222,59.354443,"array([-1.42057039,  7.48021019])"
302,LEAM,LEAM,-2.37,36.843888,"array([-2.0894892 ,  7.85712995])"
303,EDVE,EDVE,10.556112,52.319165,"array([-1.47657168,  7.28954128])"
304,EGGD,EGGD,-2.719167,51.38278,"array([-1.83106036,  7.74185532])"
305,EGPD,EGPD,-2.197778,57.201945,"array([-1.61757164,  7.71712738])"
306,LFBZ,LFBZ,-1.531112,43.468335,"array([-2.07578523,  7.9391743 ])"
307,EGPF,EGPF,-4.433055,55.871944,"array([-1.88879811,  7.86274761])"
308,EGFF,EGFF,-3.343333,51.396667,"array([-1.73851716,  7.91561601])"
309,EDJA,EDJA,10.239445,47.988888,"array([-1.65554554,  7.89593875])"
310,ENAL,ENAL,6.119721,62.562223,"array([-1.26211621,  7.38623467])"
311,EICK,EICK,-8.491112,51.84139,"array([-1.85498072,  7.81681554])"
312,LEGR,LEGR,-3.777222,37.188611,"array([-2.35052859,  7.7870164 ])"
313,LELC,LELC,-0.8125,37.775,"array([-1.79335882,  7.9096968 ])"
314,EKKA,EKKA,9.124721,56.297502,"array([-1.21525874,  7.64961694])"
315,EBAW,EBAW,4.460278,51.189445,"array([-2.57016205,  7.76574876])"
316,EKRN,EKRN,14.759445,55.063334,"array([-3.94097247,  9.65758947])"
317,EHRD,EHRD,4.437222,51.956946,"array([-2.13399947,  7.74598295])"
318,LFMT,LFMT,3.961388,43.583333,"array([-1.96777775,  8.0209548 ])"
319,LEVX,LEVX,-8.6275,42.229167,"array([-2.28179236,  7.71929178])"
320,LIBC,LIBC,17.079167,38.996667,"array([-1.59961552,  7.14241096])"
321,LGSO,LGSO,24.95,37.423055,"array([-2.72773425,  7.50053184])"
322,EDRZ,EDRZ,7.400555,49.209444,"array([-3.63454689,  5.06460883])"
323,LIRZ,LIRZ,12.510278,43.097221,"array([-1.40903349,  8.02156861])"
324,LSZA,LSZA,8.910278,46.003613,"array([-2.32275076,  7.08315638])"
325,LFKB,LFKB,9.484722,42.55,"array([-2.33355241,  7.43765369])"
326,ENNK,ENNK,17.386666,68.436947,"array([-0.92684635,  6.94127492])"
327,EGSH,EGSH,1.282778,52.675834,"array([-2.03798715,  7.98221985])"
328,LEVD,LEVD,-4.851945,41.706112,"array([-2.28450121,  7.82158586])"
329,LEMO,LEMO,-5.615834,37.175,"array([0.72613241, 9.03475345])"
330,EETU,EETU,26.686945,58.307499,"array([-1.20278077,  7.7462712 ])"
331,LGLE,LGLE,26.8,37.185002,"array([-2.64627113,  7.02300096])"
332,LFBE,LFBE,0.520555,44.824447,"array([-2.04352725,  8.05122369])"
333,EIKN,EIKN,-8.818612,53.910278,"array([-1.7208495 ,  7.98443038])"
334,LFTW,LFTW,4.416667,43.757499,"array([-1.6751822 ,  8.04479963])"
335,LGKV,LGKV,24.619722,40.913888,"array([-2.25759923,  7.04577931])"
