# index, organization, location, vid, name, gender, _pos
101,0,,5169,Terje Johannes Kolberg Andersen,1,"array([ 5.90861572, 10.21556727])"
102,0,,5668,Vibeke Hammer Madsen,2,"array([ 7.30850169, 12.37592837])"
103,991851526,0150 OSLO,22,AKER PHILADELPHIA SHIPYARD ASA,0,"array([3.81448499, 0.47580214])"
104,0,,1246,Elin Karfjell,2,"array([ 4.22371235, -5.49483229])"
105,0,,2797,Joseph Gary Mandel,1,"array([-0.0976751 ,  2.94932356])"
106,0,,3614,Marianne Heien Blystad,2,"array([ 6.12776308, -2.14987201])"
107,0,,4585,Robert Paul Curt,1,"array([4.96017088, 0.57839118])"
108,986392858,0250 OSLO,23,AKER SEAFOODS ASA,0,"array([15.81391385, 13.44261647])"
109,0,,692,Bjarne Borgersen,1,"array([17.65429543, 15.51216709])"
110,0,,1452,Eva Von Hirsch,2,"array([18.25857741,  9.4163963 ])"
111,0,,2658,John Olof Niclas Ljungblom,1,"array([16.45850027, 14.26414684])"
112,0,,3409,Leiv Grønnevet,1,"array([15.00143086, 14.12125784])"
113,0,,3463,Lisbeth Berg-Hansen,2,"array([19.43871815, 15.97836009])"
114,986529551,1364 FORNEBU,24,AKER SOLUTIONS ASA,0,"array([ 8.36523983, 13.76228331])"
115,0,,2051,Heidi Marie Petersen,2,"array([ 4.635675  , 10.95413709])"
116,0,,4794,Siri Fürst,2,"array([12.06068402, 14.61118585])"
117,960545397,0605 OSLO,25,AKTIV KAPITAL ASA,0,"array([24.08528379, 45.99461176])"
118,0,,940,Cecilie Astrup Fredriksen,2,"array([23.85309551, 47.38669995])"
119,0,,1232,Eldbjørg Sture,2,"array([23.24701821, 46.8097747 ])"
120,0,,3698,Martin Niclasen,1,"array([25.18142928, 45.47951331])"
121,0,,4277,Per-Erik Åsmyr,1,"array([25.21339919, 46.64528049])"
122,0,,5015,Svein Aaser,1,"array([22.71299279, 46.21865144])"
123,0,,5328,Tom Vidar Rygh,1,"array([24.10333004, 44.35017729])"
124,991009426,9008 TROMS&Oslash;,26,AKTIV LINK KAPITALFORVALTNING ASA,0,"array([-40.51016319,  29.45077737])"
125,0,,775,Bjørn Kaldhol,1,"array([-41.56940427,  29.43111228])"
126,0,,1670,Gisle Halvorsen,1,"array([-40.07158123,  28.4804394 ])"
127,0,,3725,May Britt Manin,2,"array([-40.0035666 ,  30.41627828])"
128,931693670,4340 BRYNE,27,AKVA GROUP ASA,0,"array([17.51498048, 18.02266245])"
129,0,,204,Anne Breiby,2,"array([16.76111292, 20.66066388])"
130,0,,386,Arne Økland,1,"array([18.472615 , 18.9163273])"
131,0,,4942,Steven Alan Morrell,1,"array([16.71815364, 18.83208369])"
132,0,,5272,Thore Michalsen,1,"array([17.68503133, 19.44115894])"
133,0,,5485,Torhild Widvey,2,"array([17.84933723, 14.69398909])"
134,989307606,0157 OSLO,28,ALADDIN OIL &amp; GAS COMPANY ASA,0,"array([-29.06915609,  33.44537823])"
135,0,,942,Cecilie Ditlev-Simonsen,2,"array([-27.60046261,  34.25763411])"
136,0,,1168,Einar Askvig,1,"array([-30.27089338,  33.96383798])"
137,0,,1274,Ellen Cathrine Rasmussen,2,"array([-30.22440168,  32.80342223])"
138,0,,1875,Hans-Axel Jahren,1,"array([-29.27652649,  34.60830279])"
139,0,,2245,Inger Flesland Strass,2,"array([-28.22071657,  32.65576542])"
140,0,,4582,Robert Müller Monsen,1,"array([-29.29549865,  32.15479578])"
141,990057036,0250 OSLO,29,ALBERTA OILCO ASA,0,"array([ 30.87482646, -20.55734783])"
142,0,,891,Carl Einar Ianssen,1,"array([ 30.64027313, -19.46198233])"
143,0,,1176,Einar Ianssen,1,"array([ 31.10218669, -21.64449524])"
144,0,,3609,Marianne Draugsvoll,2,"array([ 29.78306012, -20.78740587])"
145,0,,5528,Tov Ole-Jacob Westby,1,"array([ 31.96656913, -20.39812016])"
146,979380593,0884 OSLO,30,ALGETA ASA,0,"array([-20.83045266,   8.37900309])"
147,0,,2144,Hilde Hermansen Steineger,2,"array([-23.78277208,   9.43681089])"
148,0,,2201,Inga Margrethe Ulstein Loen,2,"array([-20.50375053,   9.47587873])"
149,0,,2268,Ingrid Beichmann Wiik,2,"array([-17.14843997,   8.23169063])"
150,0,,2557,Jens Petter Falck,1,"array([-21.57084525,   9.26539018])"
151,0,,2636,John Edward Berriman,1,"array([-21.45867435,   7.16595253])"
152,0,,2980,Kent Alan Gossett,1,"array([-20.49204975,   7.17787988])"
153,0,,4248,Patrick Pak-Tin Lee,1,"array([-22.29033767,   7.56671425])"
154,0,,4284,Per Anders Göte Samuelsson,1,"array([-19.84067217,   8.10667279])"
155,0,,4880,Stein Holst Annexstad,1,"array([-22.18995044,   8.48426534])"
156,980300609,7467 TRONDHEIM,31,ALLEGRO FINANS ASA,0,"array([12.93986608, 25.25192991])"
157,0,,269,Anne Strøm Nakstad,2,"array([12.09229058, 22.7724463 ])"
158,0,,3006,Kirsten Idebøen,2,"array([13.51689587, 26.78710636])"
159,0,,3119,Kjetil Reinsberg,1,"array([12.575836  , 26.73202493])"
160,0,,3439,Linda Iversen,2,"array([13.98471064, 25.04110786])"
161,0,,4706,Rune Rudolf Haglund,1,"array([14.11723918, 26.09752704])"
162,0,,5438,Tore Haarberg,1,"array([12.01937918, 25.89976594])"
163,845278822,4005 STAVANGER,32,ALTINEX ASA,0,"array([ 9.88032843, 13.32091464])"
164,0,,687,Birte Noer Borrevik,2,"array([10.57829321, 14.26512817])"
165,0,,3275,Lars Arne Takla,1,"array([ 8.3457344 , 12.77748657])"
166,0,,4727,Scott Irving Kerr,1,"array([11.01201121, 13.12896769])"
167,885642012,3262 LARVIK,33,AMBRA ASA,0,"array([-27.56428539, -13.98730387])"
168,0,,1984,Harald Off,1,"array([-28.6788892 , -14.82981853])"
169,0,,2228,Inge Sørum,1,"array([-28.91207809, -13.77934411])"
170,0,,3750,Mette Nora Sætre,2,"array([-25.94245026, -12.81845147])"
171,0,,4925,Steinar Sørlie,1,"array([-28.10194143, -12.98082726])"
172,0,,5022,Svein Arne Olsen,1,"array([-26.70995875, -14.77262815])"
173,0,,5561,Trine Theie Gustavsen,2,"array([-27.73530723, -15.32365186])"
174,988228397,0250 OSLO,34,AMERICAN SHIPPING COMPANY ASA,0,"array([-4.00828664,  5.44607582])"
175,0,,276,Annette Beate Wacknitz Malm Justad,2,"array([-8.11217844,  8.25320861])"
176,0,,2037,Hege Yli Melhus,2,"array([-2.85254667,  5.51117418])"
177,0,,4147,Ørjan Svanevik,1,"array([-4.23350254,  4.51333383])"
178,0,,4583,Robert Nicholas Caruso,1,"array([-3.09363381,  4.48120739])"
179,883742192,1396 BILLINGSTAD,35,APPTIX ASA,0,"array([13.21879184,  3.79739934])"
180,0,,143,Anette Willumsen,2,"array([13.71114844,  4.82903525])"
181,0,,912,Carol Barbara Armitage,2,"array([14.3760873 ,  3.80260074])"
182,0,,3373,Leif Claes Johan Lindqvist,1,"array([12.05092901,  3.36183878])"
183,0,,5195,Terje Rogne,1,"array([13.93682061,  2.85607623])"
184,0,,5694,Viktor Bela Sandland,1,"array([12.09536812,  4.264704  ])"
185,886582412,3222 SANDEFJORD,36,AQUA BIO TECHNOLOGY ASA,0,"array([16.07450934, 45.73935112])"
186,0,,267,Anne Sofie Utne,2,"array([14.98962193, 46.14116205])"
187,0,,657,Bernt Theodor Walther,1,"array([15.41554828, 44.74731756])"
188,0,,3048,Kjell Hans Bakke,1,"array([17.18826071, 46.10861242])"
189,0,,3108,Kjetil Dahl,1,"array([16.05864609, 46.92399739])"
190,0,,3783,Mona Elisabeth Møller,2,"array([16.76750321, 44.78002931])"
191,991125175,0161 OSLO,37,ARCTIC SECURITIES ASA,0,"array([-12.97516326,  -3.56006142])"
192,0,,358,Arne Hansteen,1,"array([-13.16121073,  -4.81895475])"
193,0,,623,Beret Luise Sundet,2,"array([-14.05803486,  -4.10578664])"
194,0,,1473,Finn Berg Jacobsen,1,"array([-11.97863565,  -2.10602411])"
195,910261525,4820 FROLAND,39,ARENDALS FOSSEKOMPANI ASA,0,"array([1.49594674, 9.23447226])"
196,0,,1357,Erik Must,1,"array([-0.91887269,  8.21715477])"
197,0,,3033,Kjell Christian Ulrichsen,1,"array([0.38877712, 8.35071936])"
198,0,,3611,Marianne Elisabeth Sigurdson Lyngvi,2,"array([1.7374512 , 8.08670099])"
199,0,,3621,Marianne Lie,2,"array([-1.27179859,  7.29817166])"
200,0,,3852,Morten Sigval Bergesen,1,"array([4.30138562, 9.71540742])"
201,0,,4186,Øyvin Anders Brøymer,1,"array([ 1.02165523, 11.61602727])"
202,988843016,1366 LYSAKER,40,ARROW SEISMIC ASA,0,"array([-4.95283381, 48.56662667])"
203,0,,1015,Christin Steen-Nilsen,2,"array([-4.52385268, 47.58913094])"
204,0,,1686,Gottfred Langseth,1,"array([-4.44677097, 49.48923735])"
205,0,,2699,Jon Erik Reinhardsen,1,"array([-5.99603726, 48.61473168])"
206,910301268,1396 BILLINGSTAD,41,ASKER OG B&AElig;RUMS BUDSTIKKE ASA,0,"array([-30.27383967,  13.20130022])"
207,0,,4,Aagot Irene Skjeldal,2,"array([-31.54615278,  13.95477715])"
208,0,,1708,Gro Lindberg,2,"array([-30.29614638,  12.10216328])"
209,0,,2260,Ingjerd Cecilie Hafsteen Blekeli Spiten,2,"array([-31.34003207,  12.17804509])"
210,0,,2823,Kaare Frydenberg,1,"array([-30.80486818,  14.56804435])"
211,0,,2898,Karin Cecilie Kullmann Five,2,"array([-27.82565802,  12.70146241])"
212,0,,2919,Karl Gunnar Opdal,1,"array([-29.80080467,  14.21598119])"
213,0,,4375,Per Onshuus Bjørnsen,1,"array([-31.74705474,  13.02849542])"
214,920237126,0667 OSLO,42,ATEA ASA,0,"array([43.29906906, 24.93938138])"
215,0,,924,Cathrine Foss Stene,2,"array([42.85711468, 23.9503879 ])"
216,0,,2180,Ib Kunøe,1,"array([42.57897325, 25.71043554])"
217,0,,5627,Turid Grotmoll,2,"array([44.33114095, 25.23456142])"
218,929975200,5392 STOREB&Oslash;,43,AUSTEVOLL SEAFOOD ASA,0,"array([-19.89659825,  -4.49359349])"
219,0,,2097,Helge Singelstad,1,"array([-21.0812324,  -4.1598418])"
220,0,,2158,Hilde Waage,2,"array([-20.518116  ,  -5.53843346])"
221,0,,2200,Inga Lise Lien Moldestad,2,"array([-19.38958298,  -5.51317157])"
222,0,,4020,Oddvar Skjegstad,1,"array([-20.24072172,  -3.37928131])"
223,0,,4129,Ole Rasmus Møgster,1,"array([-18.58728459,  -3.90890957])"
224,965242171,0278 OSLO,44,AXIR ASA,0,"array([24.49560193, 28.27937485])"
225,0,,1539,Fredrikke Aaeng Sellæg,2,"array([23.60120288, 27.71631161])"
226,0,,3762,Michael Vågen Sivertsen,1,"array([25.38970377, 27.73611992])"
227,0,,5424,Tore Andersen,1,"array([24.53300632, 29.32319659])"
228,937237502,0884 OSLO,45,AXIS-SHIELD ASA,0,"array([-15.9529158 ,   0.95015516])"
229,0,,2176,Ian David Gilham,1,"array([-16.69908131,   1.7267897 ])"
230,0,,2854,Karen Bibow,2,"array([-17.05836103,   0.47737103])"
231,0,,2891,Kari Stenersen,2,"array([-14.23878199,   1.80087016])"
232,0,,4489,Ralf Schmidt,1,"array([-16.49971291,  -0.38102091])"
233,987919175,0161 OSLO,46,B2 HOLDING ASA,0,"array([-18.2345206 ,   1.27084554])"
234,0,,2449,Jan Olav Steensland,1,"array([-18.5031488 ,  -0.03886169])"
235,0,,2709,Jon Harald Nordbrekken,1,"array([-14.16312604,   2.56415953])"
236,0,,4100,Ole Grøterud,1,"array([-19.03999142,   2.10428352])"
237,0,,4814,Siv Bakke Rivenes,2,"array([-21.66494804,   0.40377929])"
238,0,,5101,Sven Martin Jönsson,1,"array([-19.65573486,   1.24019113])"
239,0,,5698,Vivi Klinge-Osen,2,"array([-19.41492471,   0.29310424])"
240,985955107,4020 STAVANGER,47,BADGER EXPLORER ASA,0,"array([ 16.10666215, -12.41602731])"
241,0,,716,Bjørge Andre Gretland,1,"array([ 17.43195849, -12.87909463])"
242,0,,3130,Knut Åm,1,"array([ 14.55825941, -11.02116158])"
243,0,,3201,Kristijane Cook Bulukin,2,"array([ 16.71090471, -13.67753444])"
244,0,,3242,Kristine Holm,2,"array([ 17.13149399, -11.77378163])"
245,0,,4620,Rolf Einar Ahlqvist,1,"array([ 15.57970688, -13.48087784])"
246,988257133,0122 OSLO,48,BANK2 ASA,0,"array([-9.86833344,  3.52011238])"
247,0,,3091,Kjersti Enkerud Ringdal,2,"array([-12.72781322,   5.96307965])"
248,0,,3785,Mona Ingebrigtsen,2,"array([-10.88991456,   4.02879216])"
249,0,,4183,Øystein Stray Spetalen,1,"array([-4.15601717,  3.13573469])"
250,0,,4847,Solveig Torsvik,2,"array([-10.98716553,   2.8388924 ])"
251,0,,5717,Wenche Ødeskaug,2,"array([-9.68099149,  2.37360766])"
252,935590221,5067 BERGEN,49,BB FINANS ASA,0,"array([4.0073071 , 2.33454325])"
253,0,,396,Arne Thorolf Wiese Tønjum,1,"array([4.25541115, 3.3750623 ])"
254,0,,1252,Elisabeth Agnete Weme Bjerkestrand,2,"array([5.0344947 , 2.03813814])"
255,0,,3198,Kristian Martin Utkilen,1,"array([3.11587091, 2.1934749 ])"
256,0,,3827,Morten Garmann,1,"array([5.86167604, 3.36380478])"
257,0,,5342,Tone Bjørnov,2,"array([1.96867315, 1.18110647])"
258,989217259,5014 BERGEN,50,BB R&Aring;DGIVNING ASA,0,"array([ 10.50770135, -15.93057287])"
259,0,,1664,Gerry Johannessen,1,"array([ 11.8452822 , -16.26593388])"
260,0,,5500,Torill Tysnes Lund,2,"array([  8.74944316, -16.17802745])"
261,0,,5611,Truls Roll,1,"array([ 11.50090632, -15.26071926])"
262,930776793,0283 OSLO,51,BELSHIPS ASA,0,"array([-15.29549479,   8.65146674])"
263,0,,462,Asbjørn Fredrik Larsen,1,"array([-16.30572001,   8.5722724 ])"
264,0,,1006,Christian Rytter,1,"array([-18.9178411 ,   9.49420077])"
265,0,,2120,Henrik Gøsta Axel von Platen,1,"array([-13.25659272,  10.55878257])"
266,0,,3570,Margarita Paulina Ospina Duran Tidemand,2,"array([-16.19691602,   9.63116641])"
267,991279539,5392 STOREB&Oslash;,52,BERGEN GROUP ASA,0,"array([-15.61316159,  -8.40507294])"
268,0,,1241,Eli Sætersmoen,2,"array([-14.81156294, -10.75995449])"
269,0,,1639,Geirulv Lode,1,"array([-16.28186569,  -7.52436525])"
270,0,,3550,Magnus Stangeland,1,"array([-16.95760278,  -8.4087393 ])"
271,0,,3800,Monica Siv Salthella,2,"array([-14.67617552,  -7.89066273])"
272,0,,4021,Oddvar Stangeland,1,"array([-15.36929865,  -5.48042264])"
273,0,,4708,Rune Skarveland,1,"array([-15.76355595,  -9.64413043])"
274,0,,4757,Sigurd Geir Amland,1,"array([-16.73038879,  -9.39671547])"
275,0,,5525,Torunn Stangeland,2,"array([-14.65942084,  -9.13934655])"
276,959033560,9008 TROMS&Oslash;,53,BIOTEC PHARMACON ASA,0,"array([-16.91605619,   4.67440514])"
277,0,,357,Arne Handeland,1,"array([-17.3050547 ,   3.65673885])"
278,0,,2266,Ingrid Alfheim,2,"array([-19.46747537,   4.2782693 ])"
279,0,,2398,Jan Gunnar Hartvig,1,"array([-18.12656793,   4.4605977 ])"
280,0,,5020,Svein Arild Mathisen,1,"array([-17.79904419,   5.51921186])"
281,977037093,0164 OSLO,54,BIRDSTEP TECHNOLOGY ASA,0,"array([-27.02513434,   7.43978394])"
282,0,,2027,Hege Marie Finberg Selvig,2,"array([-24.8779471 ,   8.74655991])"
283,0,,3505,Loyd Aasen,1,"array([-28.25511601,   6.55898571])"
284,0,,3812,Morten Birkeland,1,"array([-27.92528912,   8.15718492])"
285,0,,5205,Terje Thon,1,"array([-26.40384157,   6.56846335])"
286,0,,5321,Tom Roland Nyman,1,"array([-27.40005039,   6.08135244])"
287,0,,5710,Wenche Holen,2,"array([-28.59697169,   7.46059712])"
288,929118200,4056 TANANGER,55,BJ&Oslash;RGE ASA,0,"array([17.07156205, 12.44531971])"
289,0,,1803,Haakon Berg,1,"array([16.78186999, 11.59762945])"
290,0,,2630,John Arild Ertvaag,1,"array([17.57820858, 10.29402725])"
291,0,,5070,Svein Sivertsen,1,"array([15.20895658, 11.91456982])"
292,0,,5534,Tove Helen Tyberø,2,"array([17.71976462, 13.27675447])"
293,910686909,0277 OSLO,56,BLOM ASA,0,"array([  1.19074933, -17.1423884 ])"
294,0,,847,Brita Eilertsen,2,"array([ -0.69103459, -15.62258788])"
295,0,,1119,Dirk Blaauw,1,"array([  0.17235049, -17.68565642])"
296,0,,1234,Elen Bente Loe,2,"array([  0.36257863, -20.34505365])"
297,0,,1755,Gunnar Hirsti,1,"array([  3.61855865, -14.76814656])"
298,0,,4357,Per Kyllingstad,1,"array([  1.29168152, -18.23842118])"
299,914864445,7011 TRONDHEIM,57,BNBANK ASA,0,"array([-35.37245267,  -4.76359267])"
300,0,,37,Alexander Kristjan Gudmundsson,1,"array([-35.85774967,  -5.94193791])"
301,0,,1515,Frank Ove Reite,1,"array([-34.0930054 ,  -4.94125179])"
302,0,,1694,Grete Komissar,2,"array([-34.72821064,  -5.84543803])"
303,0,,1727,Gudrun Gunnarsdottir,2,"array([-34.4218861 ,  -3.89528092])"
304,0,,2881,Kari Mette Ski,2,"array([-35.46188975,  -3.51713138])"
305,0,,3354,Larus Welding,1,"array([-36.46570774,  -4.04806583])"
306,0,,4563,Roar Nyhus,1,"array([-36.61025411,  -5.15554614])"
307,830357432,0152 OSLO,58,Bonheur ASA,0,"array([-14.88687928,  26.97437822])"
308,0,,141,Anette Sofie Olsen,2,"array([-14.2760891,  24.8528023])"
309,0,,182,Anna Synnøve Bye,2,"array([-15.35184827,  27.93884559])"
310,0,,916,Carsten Andreas Mellbye,1,"array([-15.07972743,  28.85188944])"
311,0,,2004,Håvar Poulsson,1,"array([-13.55613821,  27.28014457])"
312,0,,2633,John Cameron Wallace,1,"array([-15.80586461,  27.14532149])"
313,0,,5227,Thomas Fredrik Olsen,1,"array([-14.11829684,  28.15847924])"
314,920639674,3712 SKIEN,59,BORGESTAD ASA,0,"array([ 8.48448299, -6.82650042])"
315,0,,661,Bertel Otto Steen,1,"array([ 6.20881278, -5.05282101])"
316,0,,1717,Gudmund Joar Bratrud,1,"array([ 9.70068819, -8.05752744])"
317,0,,3499,Live Bertha Haukvik Aker,2,"array([10.42562755, -7.07852158])"
318,0,,3875,Niels Christian Møller,1,"array([ 8.75474133, -8.04855707])"
319,0,,4806,Sissel Grefsrud,2,"array([ 7.6688433 , -7.44561693])"
320,0,,5128,Sverre Stavseth,1,"array([ 9.49776097, -7.00978358])"
