# index, meta, _pos
90,GL,"array([0.72851167, 1.60693479])"
91,GD,"array([0.32758815, 2.10608925])"
92,GP,"array([0.69526575, 2.2528132 ])"
93,GU,"array([0.51209453, 2.05665487])"
94,GT,"array([0.95725367, 1.98258062])"
95,GG,"array([0.44433796, 1.97679329])"
96,GN,"array([0.62209035, 2.37910468])"
97,GW,"array([0.72515303, 2.28700013])"
98,GY,"array([0.29837839, 2.12437291])"
99,HT,"array([0.74091143, 2.25784165])"
100,HM,"array([-0.91647116,  2.82102089])"
101,HN,"array([0.56222074, 2.03056658])"
102,HK,"array([0.44588712, 1.90853826])"
103,HU,"array([0.47945069, 1.91482483])"
104,IS,"array([0.77742791, 1.56455588])"
105,IN,"array([-0.08797082,  2.008581  ])"
106,ID,"array([0.59845449, 1.45117916])"
107,IR,"array([0.11552329, 1.80845007])"
108,IQ,"array([0.25318426, 1.98835033])"
109,IE,"array([0.38607673, 1.94874354])"
110,IM,"array([0.27000965, 2.15771309])"
111,IL,"array([0.34141439, 1.91357779])"
112,IT,"array([0.64513992, 1.97501024])"
113,JM,"array([0.46281323, 1.94377097])"
114,JP,"array([0.77129255, 1.63699751])"
115,JE,"array([0.2918543, 1.9989477])"
116,JO,"array([0.33405138, 2.07678016])"
117,KZ,"array([0.38133403, 1.84391889])"
118,KE,"array([0.13170719, 2.23554659])"
119,KI,"array([0.23611861, 2.09850993])"
120,XK,"array([0.24147831, 1.59620629])"
121,KW,"array([0.30052421, 2.21862001])"
122,KG,"array([0.29770352, 1.61153089])"
123,LA,"array([0.1798895 , 1.22055835])"
124,LV,"array([0.36413445, 1.4551096 ])"
125,LB,"array([0.38303613, 1.98252376])"
126,LS,"array([0.30431986, 2.25442787])"
127,LR,"array([0.40987865, 2.24099346])"
128,LY,"array([0.27058209, 2.23375555])"
129,LI,"array([0.69118286, 1.99370892])"
130,LT,"array([0.42997891, 1.81352768])"
131,LU,"array([0.64883466, 2.11411728])"
132,MO,"array([0.52585085, 2.01156598])"
133,MK,"array([0.3385769, 1.7245195])"
134,MG,"array([0.49113108, 2.15265933])"
135,MW,"array([0.25105764, 2.57274938])"
136,MY,"array([0.38862518, 1.75420069])"
137,MV,"array([-0.4202268 ,  1.99024633])"
138,ML,"array([0.57822263, 2.45918926])"
139,MT,"array([0.23404226, 2.0534499 ])"
140,MH,"array([0.21236185, 2.07897457])"
141,MQ,"array([0.61469951, 2.28233712])"
142,MR,"array([0.48083726, 2.28850932])"
143,MU,"array([0.26510052, 2.09950203])"
144,YT,"array([0.48653892, 2.38158436])"
145,MX,"array([0.72769336, 2.15297784])"
146,FM,"array([0.14304672, 1.96083215])"
147,MD,"array([0.39383248, 1.71724258])"
148,MC,"array([0.63381507, 2.25226889])"
149,MN,"array([0.33809865, 1.69051936])"
150,ME,"array([0.25993381, 1.62999341])"
151,MS,"array([0.43527871, 2.00864927])"
152,MA,"array([0.58358413, 2.12901227])"
153,MZ,"array([0.43624553, 2.42799468])"
154,MM,"array([-0.0608996 ,  1.70172198])"
155,NA,"array([0.50726271, 2.17748607])"
156,NR,"array([0.29947656, 2.16631292])"
157,NP,"array([-0.052256  ,  2.21079532])"
158,NL,"array([0.53896442, 1.76484019])"
159,NC,"array([0.677041  , 2.28566038])"
160,NZ,"array([0.46402737, 2.13835677])"
161,NI,"array([0.88295682, 1.98969926])"
162,NE,"array([0.46714081, 2.32488762])"
163,NG,"array([0.28232767, 2.37832679])"
164,NU,"array([0.28066764, 1.96116068])"
165,NF,"array([0.46600153, 2.01219678])"
166,KP,"array([0.69684449, 1.58350411])"
167,MP,"array([0.49374897, 2.08101608])"
168,NO,"array([0.47018429, 1.40230749])"
169,OM,"array([0.17640381, 2.00817073])"
170,PK,"array([0.03642083, 1.89350044])"
171,PW,"array([0.28891559, 1.92887155])"
172,PS,"array([0.20820251, 2.19834653])"
173,PA,"array([0.55909835, 1.92944498])"
174,PG,"array([0.34603889, 1.87297758])"
175,PY,"array([0.70795119, 1.9532899 ])"
176,PE,"array([0.92838897, 1.92229963])"
177,PH,"array([0.77501293, 1.78387938])"
178,PN,"array([0.32357054, 1.99350308])"
179,PL,"array([0.50637698, 1.81988085])"
180,PT,"array([0.5546944, 2.1424208])"
181,PR,"array([0.5848586 , 2.05766972])"
182,QA,"array([0.2016415 , 2.01725779])"
183,RE,"array([0.37983966, 2.10618351])"
184,RO,"array([0.40229865, 1.8616143 ])"
185,RU,"array([0.1500117 , 1.48839534])"
186,RW,"array([0.42677616, 2.20917208])"
187,WS,"array([0.43334767, 2.14948424])"
188,SM,"array([0.83126427, 1.8553869 ])"
189,ST,"array([0.75241508, 2.29855757])"
190,SA,"array([0.21494441, 2.16654232])"
191,SN,"array([0.65882125, 2.39298328])"
192,RS,"array([0.40745549, 1.77277404])"
193,SC,"array([0.47797062, 2.17984195])"
194,SL,"array([0.26824884, 2.20412314])"
195,SG,"array([0.32044345, 1.88740265])"
196,SX,"array([0.60287209, 1.96418585])"
197,SK,"array([0.47041043, 1.89129189])"
198,SI,"array([0.50109793, 1.95199775])"
199,SB,"array([0.25785759, 2.06973509])"
200,SO,"array([0.24876624, 2.25932804])"
201,ZA,"array([0.2717195 , 2.27920288])"
202,GS,"array([-0.84745192,  2.76538499])"
203,KR,"array([0.66197154, 1.57084252])"
204,SS,"array([0.35658286, 2.09317162])"
205,ES,"array([0.67216008, 2.09254003])"
206,LK,"array([0.25601631, 2.02318404])"
207,BL,"array([0.60691579, 2.3124851 ])"
208,SH,"array([0.44322403, 2.07588443])"
209,KN,"array([0.3176746 , 2.05365903])"
210,LC,"array([0.28971795, 2.06423853])"
211,MF,"array([0.64397924, 2.29185308])"
212,PM,"array([0.49526595, 2.11953313])"
213,VC,"array([0.28659609, 2.03259964])"
214,SD,"array([0.38076531, 2.22207569])"
215,SR,"array([0.63252362, 1.74617784])"
216,SJ,"array([0.41523138, 1.48392743])"
217,SZ,"array([0.33671135, 2.25438823])"
218,SE,"array([0.4765121 , 1.74282259])"
219,CH,"array([0.61555631, 2.06628124])"
220,SY,"array([0.36111201, 1.98381618])"
221,TW,"array([0.60817169, 1.60705231])"
222,TJ,"array([0.26611323, 1.90498411])"
223,TZ,"array([0.15593075, 2.40962005])"
224,TH,"array([0.24431615, 1.6604737 ])"
225,TL,"array([-0.38936318,  3.28590955])"
226,TG,"array([0.66073238, 2.32193363])"
227,TK,"array([-1.09926707,  1.83623793])"
228,TO,"array([0.52227206, 2.09540379])"
229,TT,"array([0.58963495, 2.03456597])"
230,TA,"array([0.41526029, 1.96688476])"
231,TN,"array([0.47212029, 2.23904794])"
232,TR,"array([0.26350899, 1.80383589])"
233,TM,"array([0.23759486, 1.71812004])"
234,TC,"array([0.46590496, 2.09762705])"
235,TV,"array([0.3948841 , 2.19132379])"
236,UM,"array([0.40772752, 2.00567565])"
237,VI,"array([0.37632929, 2.02064266])"
238,UG,"array([0.18045355, 2.32542318])"
239,UA,"array([0.43796292, 1.78625403])"
240,AE,"array([0.17513518, 1.97517498])"
241,GB,"array([0.34536008, 1.96492519])"
242,US,"array([0.61780862, 1.83754565])"
243,UY,"array([0.85327109, 1.95163759])"
244,UZ,"array([0.31697829, 1.64277501])"
245,VU,"array([0.5212363 , 2.15014987])"
246,VA,"array([0.81772531, 1.88869987])"
247,VE,"array([0.84870996, 1.9178772 ])"
248,VN,"array([0.56715646, 1.62721941])"
249,WF,"array([0.78770887, 2.28177507])"
250,EH,"array([0.24231271, 2.18315506])"
251,YE,"array([0.34641252, 2.15594369])"
252,ZM,"array([0.35948671, 2.29053057])"
253,ZW,"array([0.31537031, 2.32775216])"
254,,"array([0.15756561, 1.91347945])"
255,,"array([0.09434744, 1.85741297])"
256,,"array([0.08248015, 1.69482189])"
257,,"array([0.24908878, 1.69613605])"
258,,"array([0.11989193, 1.72188661])"
259,,"array([0.0776599, 1.7624573])"
260,,"array([0.11205428, 1.88595252])"
261,,"array([0.28197207, 1.73610468])"
262,,"array([0.25349539, 1.75252728])"
263,,"array([0.4832078 , 1.61021014])"
264,,"array([0.30472314, 1.71883975])"
265,,"array([0.41064031, 1.89794501])"
266,,"array([0.28815383, 1.76392344])"
267,,"array([0.43975117, 2.29927294])"
268,,"array([0.32775115, 2.13424672])"
269,,"array([0.56516743, 2.19518601])"
270,,"array([0.49893174, 2.26252959])"
271,,"array([0.39624507, 2.03932343])"
272,,"array([0.43906977, 2.23463821])"
273,,"array([0.73098388, 2.0886143 ])"
274,,"array([0.74244381, 1.97949059])"
275,,"array([0.63298135, 2.20554946])"
276,,"array([0.85584016, 2.49524196])"
277,,"array([0.82531441, 2.52306611])"
278,,"array([0.64632654, 2.42168522])"
279,,"array([0.48254469, 1.9806257 ])"
280,,"array([0.79687862, 1.93748252])"
281,,"array([0.24865751, 1.78328601])"
282,,"array([0.29643472, 1.80514794])"
283,,"array([0.15187861, 1.67139103])"
284,,"array([0.61712742, 1.90365648])"
285,,"array([0.66348714, 1.88460089])"
286,,"array([0.49963728, 1.78298088])"
287,,"array([0.62683561, 1.94439879])"
288,,"array([0.59039887, 1.85437983])"
289,,"array([0.5728278, 1.9572147])"
290,,"array([0.62316191, 1.87512356])"
291,,"array([0.50006627, 1.87889117])"
292,,"array([0.58076713, 1.91829781])"
293,,"array([0.44663875, 1.87216972])"
294,,"array([-0.02415772,  1.5679908 ])"
295,,"array([-0.02462059,  1.6062232 ])"
296,,"array([0.01388969, 1.56580603])"
297,,"array([0.20305096, 1.92440391])"
298,,"array([0.08078981, 2.05004115])"
299,,"array([-0.03200567,  1.99021245])"
300,,"array([0.18854922, 1.94979841])"
301,,"array([-0.02712022,  2.0234735 ])"
302,,"array([0.00906966, 1.83872351])"
303,,"array([-0.01182172,  1.96561499])"
304,,"array([1.40131618e-06, 2.00847353e+00])"
305,,"array([0.48881648, 1.71068228])"
306,,"array([0.37092922, 1.69453717])"
307,,"array([0.62052819, 2.13872698])"
308,,"array([0.61981484, 2.10221667])"
309,,"array([0.57760448, 2.50820173])"
310,,"array([0.40290542, 2.43141816])"
311,,"array([-0.01363124,  2.05849206])"
312,,"array([-0.0191326 ,  2.11672637])"
313,,"array([0.01714487, 2.08387585])"
314,,"array([-0.03640182,  2.0962228 ])"
315,,"array([1.01518693, 1.91028683])"
316,,"array([1.01428367, 1.87114095])"
317,,"array([1.05533762, 1.84162785])"
318,,"array([0.23373739, 1.81933608])"
319,,"array([0.28901799, 1.69558579])"
320,,"array([0.37136674, 2.26013413])"
321,,"array([0.39808943, 2.2678702 ])"
322,,"array([0.7843997 , 1.75943242])"
323,,"array([0.61091234, 1.69957108])"
324,,"array([0.7728528 , 1.83630418])"
325,,"array([0.80354062, 1.83015128])"
326,,"array([0.74758148, 1.85369461])"
327,,"array([0.7867057 , 1.86744384])"
328,,"array([0.45643301, 1.71298478])"
329,,"array([0.35665709, 1.80007654])"
330,,"array([0.3873076 , 1.79722357])"
331,,"array([0.85836888, 2.41872154])"
332,,"array([0.83493595, 2.44914414])"
333,,"array([0.44154789, 2.47402165])"
334,,"array([0.31559102, 2.36015673])"
335,,"array([0.27890209, 1.1203849 ])"
336,,"array([0.23146713, 1.11517735])"
337,,"array([0.23875977, 1.3887548 ])"
338,,"array([0.41945209, 2.63610507])"
339,,"array([0.5410901 , 2.41073159])"
340,,"array([0.44207402, 2.61421825])"
341,,"array([0.30130123, 2.57445091])"
342,,"array([0.36118338, 2.65944424])"
343,,"array([0.35382101, 2.62436477])"
344,,"array([0.33898376, 2.58147213])"
345,,"array([0.4053259 , 2.60404751])"
346,,"array([0.29175166, 2.61124196])"
347,,"array([0.32670822, 2.54610468])"
348,,"array([0.32465614, 2.60993281])"
349,,"array([0.36242037, 2.55677759])"
350,,"array([0.32335775, 2.64346779])"
351,,"array([0.43200667, 2.58112349])"
352,,"array([0.39658587, 2.57091871])"
353,,"array([0.38532497, 2.6316493 ])"
354,,"array([0.44380193, 2.65634127])"
355,,"array([0.47195915, 2.6331043 ])"
356,,"array([0.41805723, 2.37115591])"
357,,"array([0.47116583, 2.59426629])"
358,,"array([0.37122517, 2.59670941])"
359,,"array([0.39998716, 2.66488327])"
360,,"array([0.87982588, 2.06596716])"
361,,"array([0.93853938, 2.16586311])"
362,,"array([0.90046194, 2.1680045 ])"
363,,"array([0.53637431, 1.90374609])"
364,,"array([0.94088241, 2.11544541])"
365,,"array([0.87658822, 2.13956442])"
366,,"array([0.94258153, 2.05422936])"
367,,"array([0.98044052, 2.0703882 ])"
368,,"array([0.95165259, 2.08576505])"
369,,"array([0.90321463, 2.10967735])"
370,,"array([0.97315044, 2.03565575])"
371,,"array([0.96332989, 2.14034302])"
372,,"array([0.91058287, 2.01748467])"
373,,"array([0.94385385, 2.02005015])"
374,,"array([0.90733142, 2.04952291])"
375,,"array([0.97777666, 2.10742787])"
376,,"array([0.91710202, 2.1394528 ])"
377,,"array([0.8718903 , 2.10193573])"
378,,"array([0.91744672, 2.08169183])"
379,,"array([0.90303028, 2.38776677])"
380,,"array([0.78397625, 2.43968036])"
381,,"array([0.73996569, 2.05158506])"
382,,"array([0.36392076, 1.53695085])"
383,,"array([0.27629928, 1.54017147])"
384,,"array([0.33807375, 1.52169251])"
385,,"array([0.32454849, 1.48927072])"
386,,"array([0.3160053 , 1.54495558])"
387,,"array([0.36098647, 1.49671682])"
388,,"array([0.29927632, 1.57180788])"
389,,"array([0.26101268, 1.57474763])"
390,,"array([0.12316287, 1.83164902])"
391,,"array([0.3388961 , 1.56834629])"
392,,"array([0.28107625, 1.66557468])"
393,,"array([0.3882194 , 1.51252532])"
394,,"array([0.30034482, 1.515622  ])"
395,,"array([0.40226022, 1.54400009])"
396,,"array([0.51509713, 1.6907114 ])"
397,,"array([0.37401283, 1.56807366])"
398,,"array([-0.90188047,  2.76805225])"
399,,"array([1.06023192, 1.95896939])"
400,,"array([0.44940673, 2.38601204])"
401,,"array([0.5709578 , 2.55779276])"
402,,"array([0.53636575, 2.62966595])"
403,,"array([0.53593512, 2.5674632 ])"
404,,"array([0.51628625, 2.60024354])"
405,,"array([0.55685034, 2.59895609])"
406,,"array([0.3713005 , 2.35786963])"
407,,"array([0.97076641, 2.38128679])"
408,,"array([0.93364969, 2.42912737])"
409,,"array([0.95444041, 2.46342149])"
410,,"array([0.97492227, 2.42080901])"
411,,"array([0.91392292, 2.47582807])"
412,,"array([0.49265279, 1.8450485 ])"
413,,"array([0.4386983 , 1.84464209])"
414,,"array([0.65551858, 1.70343572])"
415,,"array([0.66929254, 1.67685841])"
416,,"array([0.65890985, 1.76962138])"
417,,"array([0.23396704, 2.21700347])"
418,,"array([0.22344574, 2.28133015])"
419,,"array([1.0934032 , 1.91103316])"
420,,"array([0.25872217, 2.12905836])"
421,,"array([0.90965887, 2.24984801])"
422,,"array([0.93312736, 2.21976238])"
423,,"array([0.23020639, 2.02567977])"
424,,"array([0.11142707, 2.16488613])"
425,,"array([0.13577807, 2.1891497 ])"
426,,"array([0.10957014, 2.21023354])"
427,,"array([0.4502689 , 1.54488541])"
428,,"array([0.41311422, 1.39611668])"
429,,"array([0.22333566, 1.99155838])"
430,,"array([0.16535001, 2.21276398])"
431,,"array([0.08531263, 2.12552537])"
432,,"array([0.07444382, 2.15387271])"
433,,"array([1.19544655, 3.27213142])"
434,,"array([0.07311865, 2.19257454])"
435,,"array([0.06668268, 2.22933142])"
436,,"array([0.03097838, 2.19953978])"
437,,"array([0.03124453, 2.16437392])"
438,,"array([0.33244996, 1.60905301])"
439,,"array([0.42272944, 1.57582078])"
440,,"array([0.46537778, 1.57469646])"
441,,"array([0.44174282, 1.60108005])"
442,,"array([0.81578357, 2.07884065])"
443,,"array([0.7790903 , 2.03994998])"
444,,"array([0.69864981, 2.06241959])"
445,,"array([0.76246414, 2.12965127])"
446,,"array([0.78335062, 2.10522999])"
447,,"array([0.76523864, 2.08112935])"
448,,"array([0.58295731, 1.88477126])"
449,,"array([0.67410831, 1.95370504])"
450,,"array([0.65590108, 2.00810937])"
451,,"array([0.80645558, 2.39394578])"
452,,"array([0.56909556, 2.32211872])"
453,,"array([0.15666224, 1.73467544])"
454,,"array([0.08741428, 1.58266676])"
455,,"array([0.10325855, 1.54523867])"
456,,"array([0.13412099, 1.54076362])"
457,,"array([0.56690072, 1.75211753])"
458,,"array([0.58475626, 1.77917199])"
459,,"array([0.63333712, 1.80620043])"
460,,"array([0.5976302 , 1.80752359])"
461,,"array([0.65399627, 1.84422611])"
462,,"array([0.61882463, 1.77847331])"
463,,"array([0.59893573, 1.74754517])"
464,,"array([0.66206939, 1.81430966])"
465,,"array([0.55502491, 1.7969797 ])"
466,,"array([0.64346481, 2.46195043])"
467,,"array([0.69487436, 2.39108353])"
468,,"array([0.70411628, 2.42728127])"
469,,"array([0.63994613, 2.49668853])"
470,,"array([0.60959099, 2.48458206])"
471,,"array([0.6128656 , 2.44370683])"
472,,"array([0.67628959, 2.44495808])"
473,,"array([0.67355763, 2.47858632])"
474,,"array([0.21228834, 1.78053776])"
475,,"array([0.19322781, 1.81299652])"
476,,"array([0.56598855, 2.09810563])"
477,,"array([1.0894038, 2.0021826])"
478,,"array([0.7334104, 2.4606649])"
479,,"array([0.71205591, 2.49466111])"
480,,"array([0.50729285, 2.34763058])"
481,,"array([0.85735693, 2.31736349])"
482,,"array([0.40260532, 1.82065381])"
483,,"array([0.46983667, 1.8128009 ])"
484,,"array([0.86143525, 1.47762825])"
485,,"array([-0.20246912,  2.13075336])"
486,,"array([-0.23249798,  1.93817969])"
487,,"array([0.21796516, 1.96216272])"
488,,"array([0.06680898, 2.01695727])"
489,,"array([-0.01511153,  2.15393676])"
490,,"array([-0.17723678,  1.95929854])"
491,,"array([-0.25275724,  2.09214645])"
492,,"array([0.13816155, 2.00715157])"
493,,"array([0.04419305, 2.10859434])"
494,,"array([-0.09365134,  2.15190361])"
495,,"array([-0.25041944,  1.90737714])"
496,,"array([-0.12275402,  1.98627413])"
497,,"array([-0.12860764,  1.90989006])"
498,,"array([-0.19488823,  1.93219323])"
499,,"array([-0.22342256,  1.99598157])"
500,,"array([-0.21625274,  1.90954755])"
501,,"array([-0.14724405,  2.09646049])"
502,,"array([-0.1960453 ,  2.01939473])"
503,,"array([-0.21961815,  1.87758712])"
504,,"array([0.10292516, 1.95580514])"
505,,"array([-0.21076667,  2.08924235])"
506,,"array([-0.24128689,  1.9698836 ])"
507,,"array([-0.1133373 ,  2.08282072])"
508,,"array([-0.16101181,  1.99684838])"
509,,"array([-0.1735607 ,  2.06786556])"
510,,"array([-0.06398838,  1.95204897])"
511,,"array([-0.27742606,  2.02717873])"
512,,"array([-0.18514775,  1.86655177])"
513,,"array([-0.23118918,  2.06554892])"
514,,"array([-0.22541343,  2.02899632])"
515,,"array([-0.16673452,  2.12932004])"
516,,"array([-0.14050515,  2.0585818 ])"
517,,"array([-0.15984188,  1.92535534])"
518,,"array([-0.27197117,  1.97529852])"
519,,"array([-0.16872649,  2.03241342])"
520,,"array([-0.25495416,  2.0040785 ])"
521,,"array([-0.18257787,  2.09879624])"
522,,"array([-0.14739845,  1.95909238])"
523,,"array([-0.13237479,  2.15208839])"
524,,"array([-0.1328613 ,  2.02309079])"
525,,"array([-0.11552917,  1.94606657])"
526,,"array([-0.25001569,  2.04122967])"
527,,"array([-0.09873652,  2.05057966])"
528,,"array([-0.19170005,  1.98879381])"
529,,"array([-0.11477792,  2.12505214])"
530,,"array([-0.21162305,  1.96197999])"
531,,"array([-0.2319793 ,  2.11728402])"
532,,"array([-0.1519943 ,  1.88376408])"
533,,"array([-0.271231  ,  2.06601259])"
534,,"array([-0.26696295,  1.94086906])"
535,,"array([-0.07855596,  1.91686976])"
536,,"array([-0.2015596 ,  2.05438281])"
537,,"array([-0.08071319,  2.11869946])"
538,,"array([-0.04376168,  1.92481085])"
539,,"array([-0.1834622,  1.9010168])"
540,,"array([-0.1420163 ,  1.82956702])"
541,,"array([-0.30296491,  1.9963045 ])"
542,,"array([0.59004457, 1.57293257])"
543,,"array([0.52102707, 1.56740026])"
544,,"array([0.6553068 , 1.35185251])"
545,,"array([0.65132473, 1.29340502])"
546,,"array([0.736719  , 1.40881045])"
547,,"array([0.69932523, 1.39939009])"
548,,"array([0.710806  , 1.33211576])"
549,,"array([0.49143324, 1.55090065])"
550,,"array([0.49847584, 1.58128337])"
551,,"array([0.72885274, 1.369437  ])"
552,,"array([0.59792638, 1.32578171])"
553,,"array([0.57310034, 1.35131287])"
554,,"array([0.66700872, 1.43037807])"
555,,"array([0.61477298, 1.36132924])"
556,,"array([0.5756205, 1.391244 ])"
557,,"array([0.71021672, 1.44047243])"
558,,"array([0.68947387, 1.36167826])"
559,,"array([0.53996487, 1.32631254])"
560,,"array([0.65982122, 1.38841519])"
561,,"array([0.6220038 , 1.39937577])"
562,,"array([0.53528779, 1.36906329])"
563,,"array([0.63375763, 1.32429011])"
564,,"array([0.67841335, 1.31836538])"
565,,"array([0.6104511 , 1.28983365])"
566,,"array([0.56950177, 1.29994233])"
567,,"array([0.03593327, 1.7566323 ])"
568,,"array([-0.0203497 ,  1.74457682])"
569,,"array([0.05429734, 1.7255299 ])"
570,,"array([0.15260188, 1.87727659])"
571,,"array([0.00239165, 1.77143219])"
572,,"array([0.00581176, 1.6834091 ])"
573,,"array([0.03474485, 1.79630975])"
574,,"array([-0.01624918,  1.70994925])"
575,,"array([0.01489994, 1.72732438])"
576,,"array([0.03663895, 1.69446125])"
577,,"array([0.25385481, 1.95024342])"
578,,"array([0.36979537, 1.92125496])"
579,,"array([0.17496388, 2.24554873])"
580,,"array([0.27161781, 1.84441346])"
581,,"array([0.23672245, 1.85608801])"
582,,"array([0.7819674 , 1.90775066])"
583,,"array([0.74406672, 2.01136925])"
584,,"array([0.73904005, 1.94982839])"
585,,"array([0.73080129, 1.91853929])"
586,,"array([0.75132226, 1.89280114])"
587,,"array([0.77261268, 1.99781605])"
588,,"array([0.77237767, 1.96327644])"
589,,"array([0.80179394, 1.97101515])"
590,,"array([0.68391011, 2.02982205])"
591,,"array([0.76418629, 1.93063233])"
592,,"array([0.79995032, 2.00680124])"
593,,"array([0.53065511, 1.8409675 ])"
594,,"array([0.86432636, 1.5489892 ])"
595,,"array([0.02904094, 2.28938352])"
596,,"array([0.06949263, 2.3175384 ])"
597,,"array([-0.00845393,  2.27975718])"
598,,"array([-1.61094223e-03,  2.24261835e+00])"
599,,"array([0.03201725, 2.25656099])"
600,,"array([0.01133987, 2.35117101])"
601,,"array([0.10395883, 2.35085124])"
602,,"array([0.03012971, 2.32113336])"
603,,"array([0.05123118, 2.34722774])"
604,,"array([0.11314604, 2.31454569])"
605,,"array([-0.00683784,  2.31628615])"
606,,"array([0.06757478, 2.28144992])"
607,,"array([0.12611305, 2.12375793])"
608,,"array([0.22335917, 1.46556094])"
609,,"array([0.16437091, 1.11835331])"
610,,"array([0.12004495, 1.13847921])"
611,,"array([0.33539039, 1.33839988])"
612,,"array([0.37715321, 1.32836224])"
613,,"array([0.22485415, 2.32501548])"
614,,"array([0.30954387, 2.39441574])"
615,,"array([0.27825309, 2.3161372 ])"
616,,"array([0.25282269, 2.3389636 ])"
617,,"array([0.40879161, 2.34176204])"
618,,"array([0.31573357, 2.28924898])"
619,,"array([0.71631315, 2.03180451])"
620,,"array([0.50583728, 1.74937441])"
621,,"array([0.46800102, 1.68350235])"
622,,"array([0.74907955, 2.20480874])"
623,,"array([0.52925939, 2.24217282])"
624,,"array([0.32735988, 2.44023669])"
625,,"array([0.22672206, 2.70031641])"
626,,"array([0.184845  , 2.68097073])"
627,,"array([0.39443275, 1.66068681])"
