# source, target, tip_text
0,3820,egg salad sandwich on toasted rye! pickle on the side.
0,3895,Glorious Belgian waffle truck - on Astor Pl near NYU every Tues and Thurs night.
0,4553,"if meat is on the menu, eat it"
0,5124,"Danny, the cute ex-hockey player turned bartender, no longer works here. Don't embarrass yourself by asking about him."
0,5363,"best brunch in the hood - definitely get the biscuits w\/ homemade jam to start, slow whisked scrambled eggs with bacon, and the deliciously fresh green salad. top it off with a cucumber mint spritzer!"
2,3,"The calamari as an appetizer and the quail. Pretty good, if a bit rich. The berry and creme desert thing was really, really good!"
2,719,Best catfish in NYC
2,1069,"My tip is to order something on the menu, exactly as it is. No matter what you order, it will show up perfectly cooked and taste amazing. Just trust 'em, they know better than you do."
2,1176,Pulled pork sandwich. Don't spoil it by adding or removing anything. It's awesome!
2,1743,Have anything with the word pulled and you'll go away happy!
4,3,Be careful with the napkins on your pants. They leave remnants behind. As in lint.
4,2546,The Polenta Fries are a must.
4,4029,Make sure you notice the (now) vintage 80s artwork. This place is frozen in a very different time.
5,3,"try the steak frites, it's the best - believe me"
5,377,"Single malts, the best steaks... I mean what else you can possibly ask for..."
5,4420,If you like calamari go for the grilled one... ;)
6,3,go visit google across the street. see the big coffee robot
6,189,Pabst Blue Ribbon!
6,400,Eric Friedman has not been going here longer than me
6,454,get the grilled chicken and guac sandwich
6,817,Tofu Club is the way to go
6,2517,The hcguest wifi password is 2122554544 the phone number
6,4747,Say hello to Eric Friedman and ask for waffle advice
7,3,Great drinks & good appetizers. Love the dessert menu.
7,550,Mac n cheese TDF. Been coming here since 2000 & it keeps getting better. Nevermind the lame wannabes hanging around...
7,983,"Sweet ricotta beignets w\/apricot jam & balsamic syrup. To die for."
7,998,Love the cheese selection.
7,1196,"Cocktails infused w\/frozen orchid flowers, a must-try!"
7,1530,Delicious pasta & light salads.
7,1566,"Eat = Banana cake, coconut cake, white cake & red velvet cake. Service sucks but food is SO good!"
7,2128,Goat cheese & rosemary crepe.
7,2128,Goat cheese & rosemary crepe.
7,2217,"Goat cheese gnocchi w\/asparagus = fabulous"
7,2423,"A beautiful shop w\/beautiful chocolate treats."
7,3081,Almond french toast. One of the most amazing things you'll ever eat.
7,3093,So delicious! All the exotic flavors are fantastic!
7,3405,"The portions are too small but their food is good. My favs: appa, pittu & veggie kottu roti. Sometimes the appa is cold, though."
7,3409,Great people watching. Mediocre food.
7,3528,"Made me a wonderful vegetarian version of one of their house specialties, wonderful service, terrific food."
7,4618,Sunday brunch plates. And best mimosas.
8,3,Try the English breakfast
8,54,Andy Warhol used to be a regular here.
8,54,"The $1,000 Golden Opulence Sundae includes: Tahitian ice cream, gold leaf, expensive chocolate, candied French fruit, Grand Passion Caviar and a souvenir crystal goblet."
8,211,Have a beer.
8,327,the staff is super rude but the pastries are pretty good.
8,457,I think eveyone who works here is a model
8,486,"try the 'bread, olives & cheese' plate. only $8"
8,486,tell Fletcher the bartender that you used to live in Hawaii
8,486,they turn off the WiFi if you try to nerd it up too late on a weekend night.
8,595,Make friends with the strangers sitting at your table.
8,683,Ping's is one of the few places in Chinatown that's credit card friendly.
8,766,they have the worst website ever. seriously ive seen better Prodigy homepages.
8,766,Great beer selection
8,867,Only one restroom. Line always super super super long. 10-15 min wait. Have fun.
8,947,Eggs Benedict FTW
8,1043,Eat yourself into a meat coma
8,1043,Scare a vegetarian with a giant plate if meat.
8,1079,This coffee shop is the brick-and-mortar version of the popular Mud Truck.
8,1079,The breakfast quesadilla is awesome.
8,1172,Sit at the bar.
8,1376,East Village over hyped over priced mass produced desert. Might as well grab Cake Boss or Carvel. Yuck. Go West!
8,1435,The best restaurant in Little Italy. Don't waste time going anywhere else.
8,1535,It's only seasonal but the Pineapple torte was amazeballs. Wash it down with champagne.
8,1549,the alley might remind you of the scene from Batman when Bruce Wayne's parents get killed.
8,1659,Use the restroom straight ahead. It's a shrine to Telly Savalas.
8,1659,Saganaki rocks. Order it bitch.
8,1775,Order a Ricky... It combines these two drinks (see photo)
8,1851,Use the Ninja entrance!
8,1990,place a dinner reservation at least 24 hours in advance. otherwise you'll have at least an hour wait.
8,2058,Rent out the whole place for a private party.
8,2058,Eat a bar pie... at the bar.
8,2058,"If you can't pay your bill, they make you chop wood for the pizza oven in the basement."
8,2058,The VIP room is downstairs.
8,2253,You have reservations right? If not you're probably screwed.
8,2385,"If you are a small group, then sit at a high top table. Great people watching and lots of space."
8,2847,Oldest continuously operating bar in Hoboken. During Prohibition they converted to a beauty parlor and ice cream store.
8,3121,"Their \"
8,3124,The power of TV. Used to go here all the time and there was never a line.
8,3318,Big fan of their burgers. Very juicy.
8,3318,Skip Zack's nachos. They're not very good. Go to Gaslight on 4th and Adams St. if you want awesome nachos.
8,3324,sit outside and enjoy your coffee
8,3324,They don't open until 9am on Sunday. Idiots.
8,3324,They open super late on wknds... Just walk over to Dames on 1st and Willow. They open at 7am and have organic coffee.
8,3557,"get the Roast Beef with mutz, gravy and sundried tomatoes on Thursday or Saturday. It's the sandwich that was featured in an episode of 30 Rock."
8,3557,Ask for a Fiore's pen. They *might* give you one.
8,3557,The mutz usually isn't ready until after 9am
8,3557,get the Italian Tuna sandwich on Fridays
8,3578,Robert DeNiro is part owner of this place.
8,3578,Get a Bloody Mary!
8,3680,"Make friends with bartender. His name is \"
8,3896,Log in before you check in. They have free WiFi.
8,3978,"they are open 24\/7"
8,3979,Bloody Mary is great!!
8,4000,Raspberry Tart was really good.
8,4214,in the winter you can sit by the window and watch the ice skaters
8,4214,"take a look at the drink specials before you order an overpriced Rockefeller Center drink. during the summer, they always have drink specials at the Rink Bar."
8,4267,"They charge extra for \"
8,4379,Phone battery running low? The table in front of the door has an AC outlet.
8,4383,They only have 5 tables. Show up early and tip big at the bar. Good luck!!!!!
8,4445,Check out the featured beers on the last page of the menu. They usually have something really good.
8,4445,Get the mashed potatoes. They come in two piles: red (beets) and white (potatoes). They're really good.
8,4445,Gets really crowded on game days. Get here early if you want a seat at the bar.
8,4695,Great French Press coffee.
8,4695,You can bring your dog inside.
8,4713,"Know the boss. Chef Anthony Pino, co-owner Liz Pino"
8,4713,It's BYO but there's a liquor store right on the North West corner of 10th and Washington.
8,4974,# This store has wireless internet access available.# This store serves lunch.# This store serves oven-warmed food.# iTunes Wi-Fi Music Store
8,5237,try the burritos with a side of guacamole. your stomach will thank you.
8,5462,take a walk along the water front
8,5463,Need to recharge? There's a power outlet behind the chips rack.
8,5463,"Great bagel selection! They have everything from standard stuff like Sesame and Poppy to Black Russian, Sundried Tomato, Oat Bran to Jalapeño bagels."
8,5463,"There's an Elvis impersonator in Hoboken who likes to go here in the mornings. Tell him \"
8,5463,Lines get really long on the weekends.
8,5638,Their BBQ pulled pork sandwich is particularly spectacular.
8,5691,"to get a free drink, tell Chris the bartender to \"
9,3,"total madhouse and that's because the french onion soup keeps everyone coming back.. oh, and celebrity sightings too. leave room for dessert, my 2 faves? Tarte Aux Pommes & Crêpes Suzette."
9,203,"u need a lil hot & snappy? check this out: habanero-infused grapefruit margarita to start then hit up the tacos - al pastor, pescado.. finish it off with any of the entrees."
9,732,"all that is good is fat.. bone marrow w\/ bacon bread, BR's famous fried chicken w\/ honey, chocolate bruno.. all together now, E X P A N D your waistline."
9,840,"best lobster bisque in town. bring your appetite, bone-in steak ain't bad either. everything on the menu is fantastic. not 1 bad thing to say about the joint."
9,987,"if you're ordering food from the kitchen, u should leave & go somewhere else. this place is all about the front of house. take it from someone in the know... you're welcome."
9,1082,great joint for low-carb options plus they hv outdoor seating in the back garden. some favorites: stellar bay & blue point oysters and the seared montauk skate.. nom nom nom
9,1232,still the best joint in chinatown for dim sum. also very gwei lo friendly.
9,1677,"yellowtail carpaccio, double shrimp roll, tuna sashimi with jalapeno & garlic chips.. stick to the appetizers, entrees are average."
9,1718,great for groups and first dates.. ur going to end up smelling like the food u cooked at the grill so dressing to the 9's ain't such a good idea. order the meat lovers course.. don't come if you don't
9,1783,"meh.. nothing to write home about. always a mob scene but remember, we're talking Times Square.. beggars can't be choosers."
9,1815,"Oh Emm Geee.. if you're reading this, turn around, pick up your shit, and leave this restaurant immediately. TOTAL BARF."
9,2117,bone marrow + lamb 2 ways (double chopped & braised collar) -> can't go wrong.
9,2188,"if u want dim sum on the wknd and don't want to hit chinatown, this is the go-to spot. some favorites include: peking duck, shrimp dumplings, turnip cake with xo sauce."
9,2203,"not on a diet? start with the crab cakes, move on to the lemon-garlic roasted lobster, then end the meal with the red velvet sundae."
9,2517,lean brisket + sausage and a mountain of sides. that's the way to do.
9,2521,awful. this place gives Japanese food a really bad name.
9,2655,"they're a little heavy-handed with the salt. otherwise, food is good."
9,2752,"1 word: banal. don't bother with the tasting menu (we had the 5 course) - the sweetbread tasted like buffalo wings, the chilled seafood salad was fine but blah, go with the chatham cod or peking duck"
9,3291,"bowls bowls bowls.. stick to the bowls.. beef, mapo tofu, shrimp"
9,3371,STK Rooftop is now open.. stay away if it's a hot night out. There's no fans or a breeze.
9,3470,it's all about the buffalo chicken wings here.. plus there's the added bonus of outdoor eating and seating.
9,3476,"it's a special occasion destination in the city for the bronx ricans.. if that's your scene, pair it with pernil and\/or the sazon paella."
9,3528,"MW's finest joint in NYC. MW brings magic to seafood but don't count him out when it comes to meat either. he's a genius. get the fusilli, scallops, lobster.. everything!"
9,3638,"Owner is a dick.. Charges $12 for turkey & american cheese on a bagel and tells me \"
9,3651,"NOM NOM NOM. not 1 bad thing to say about this place. everything from the raw to the cooked is phenomenal here. dare i say it's one of the best sushi\/grill joints in Manhattan?"
9,3735,"foodie's paradise - shaun hergatt makes masterpieces.. some favorites: slow poached farm egg, lobster ala \"
9,3771,"beef rendang, kang kung belacan, roti canai, chow kway teow, hainanese chicken rice... just a few favorites :)"
9,4031,"the best ramen joint on the island of Manhattan. my recommendation is the Shiromaru Hakata Classic, spice it up by adding Kakuni."
9,4238,"wanna eat like a champion? dozen oysters + lobster cocktail, then Caesar salad + 1 order of crispy Canadian bacon. Followed by Filet Mignon + creamed spinach + mashed potatoes. End with Key Lime Pie!"
9,4274,spicy snow crab & caviar hand roll. that's it. not the best Japanese restaurant around but one can't be picky in Times Square.
9,4290,"carb conscious? ask for the \"
9,4620,"anaconda roll, sashimi special, huge menu.. and they have fugu!"
9,4621,"not overly impressed with this place. although service was great, the food didn't live up to the fact that it's part of the Alain Ducasse family of restaurants. stick to the basics here.."
9,4954,"i'm just gonna say it... BEST LOBSTER ROLL in NYC!!! there, i done did it."
9,4993,you are obviously a total douchebag if you're so close to chinatown and you come here for chinese food.
9,5058,one of the better restaurants in the heart of times square. the halibut entree is my go-to dish.
9,5091,"the ratio of yellows to whites is 4:1 which means this is 1 of the better ramen joints in yuppie central. stick to a tonkatsu ramen & add toppings. if it's a really cold day, oden is your dish."
9,5100,this place is for the beginner palate. good food doesn't need to be doused in sauce. everything here is doused in sauce. do what u will with that info...
9,5330,"it's all about balance and this place gets it right. get a sandwich and the ratio of \"
9,5335,"get the dough flakes with chicken broth. do not bother with the seafood soup. overall, this place gets a C in my book."
10,3,"And by the way if u are looking for a Job on advertising sales and travelling around the world check that after the grattin dauphinois: http:\/\/bit.ly\/aQiWtc"
10,3,Go for the grattin dauphinois!
11,3,When here you have to order the Mac & Cheese. Amazing
12,3,People watching + Cheesecake + Sex & The City
12,861,Bagels for breakfast @ Brooklyn listening @aliciakeys feeling in heaven!
13,3,para brunchear
14,3,love eating outside here :)
14,4000,Great yogurt granola!
14,5726,the best atmosphere...
15,3,"If you want an authentic experience, think again if you are pondering a full, sit-down meal here-stick to a pre-dinner cocktail or a night cap\u2013 always reliable and fun. Check out the rest of the revie"
15,159,"roducing quality micro brew for over 16 years the Chelsea Brewing Company has become a staple of the Chelsea Piers sports and recreation complex.,,,,,,,check out what each of us thought about the beer"
15,203,"Loved this place! Young and fun\u2026 the perfect final destination for late night eats after a night out perusing the plethora of nearby watering holes. Check what else we said and our review."
15,439,"The belly dancing was to sort and the service could have been better, but the food, the french beer and the vibe will keep us coming back for more!!"
15,473,"Some of the best steak I have had to date has come from Les Halles. I love all aspects of this place\u2013 especially their Bucherie (pick up your meat to cook at home) Check out the rest our review!"
15,577,K: The Brewery had a great vibe! I felt like I was at a backyard party and everyone from the neighborhood was there. The beers were really stellar.
15,629,Eric Ripert makes art out of seafood. It's even better then it looks.
15,697,"n odd experience to say the least. The food was good and if it were a little corner Italian restaurant anywhere in the city, we probably would have thought it a hidden NYC jem... Check out the rest of"
15,786,"We got into Bobby Flay completely by accident. We didn\u2019t really watch the shows until after we ate at Mesa Grill, first found by checking out Restaurant Week."
15,1172,A New York classic. Stone Street itself is a time warp to the turn of the century. Blink and you might miss it.
15,1219,"A great steak and an even better Baked Alaska. It\u2019s awesome to sit in the restaurant and the think about all the famous people who used to frequent the dining room."
15,1360,"Whiskey Passion Fizz! Get one , maybe even three! We only had drinks here and already want to go back for more. Can't wait to eat here! Loved everything about it the look , the vibe, and even the smel"
15,1434,"Classy, delicious, and warm\u2026 I will certainly be back! Can\u2019t wait for brunch!...Check out the rest of our night here."
15,1602,Know what you want as soon as you get to counter or get to the back of the line .
15,1646,"I absolutely love 21! I feel apart of history sitting where Frank Sinatra once did\u2026 plus there is something so romantic about a REAL prohibition speakeasy!"
15,1679,"The service is great, food is good. Need to come back for happy hour. Check out the rest of our night out here."
15,1908,The beauty of a gastropub is you can order up some tasty snacks at the bar with your well-prepared cocktail.
15,2219,"http:\/\/2plus2nycreview.com\/?p=1933"
15,2385,Order all the small plates! Stick to that and you will not be upset. Check out the reasons on your review.
15,2978,"I was quite impressed with this venue. It was massive, but all the little nooks gave it such an interesting appeal. I will definitely keep this place in mind for a future 2 Plus 2 gathering.Check ou"
15,2978,"Definitely a place to come for drinks. I loved the layout of the restautant. Vast and cavernous, giving it an open feeling without being outside....."
15,3626,"http:\/\/2plus2nycreview.com\/?page_id=220"
15,3663,This place is great for brunch.. Check out our review and the whole day we spent there!!
15,3680,"Identified only by a small wooden sign, De Santos sits inside a beautiful brownstone in the adorable West Village.... Check out more of the review and our night out."
15,4003,One of the better meals I have eaten. An all around stunner from the quaint restaurant to the perfectly prepared food. I am tempted to stop in for a glass of wine and the Tabla de Embutidos y Queso ev
15,4426,"If it\u2019s a beautiful day, try to reserve a table outside on the deck overlooking the water. Start with some yummy cocktails\u2026"
15,5048,"Dang! This place was great. We had been hankering for some really good Asian food for a while and Tanuki Tavern didn\u2019t disappoint in the least."
16,3,"If you're a fan of our great city and its iconic everything, then you may want to ensure you take a piece with you. New York's photographer - Yale Gurney - can help. WWW.yalegurney.com\/shop"
16,457,"Here for a visit? Love NYC? Want to take some of it home? NYC's photographer Yale Gurney and his online wall decor marketplace - yalegurney.com\/shop"
16,753,"Like Juniors and its classic neon signs? Check out photographer Yale Gurney's rendition of it blown up large on Gurney's signature canvas (giclee) @ yalegurney.com\/shop"
16,802,"In NYC on vacation or just one of us? Want to take a piece of the big apple home? Yale Gurney - NYC's photographer known worldwide for his NY wall decor is a must. Yalegurney.com\/shop"
16,1566,"like sweet things hung on your walls? check out Yale Gurney's signature wall decor printed on his signature canvas @ yalegurney.com\/shop"
16,1820,"The best feel-good brunch place in Brooklyn. Best biscuits\/jam combination. They love us, we love them. Yalegurney.com\/shop"
16,1918,"Brunch here is always fantastic. Try sitting outside in the Spring. Nicest staff too! YaleGurney.com\/shop"
16,2426,quite possibly one of the best pizzaria's in the world. the world. pizza is always fresh and piping.
16,3013,Hot are always better. Just ask and they'll be honest. WWW.yalegurney.com - all about NYC
16,4068,"if you come here, pea soup is a must with possibly the best croutons in the world. yep, you heard it here."
16,4258,"Yes, this glorious place has sat some well known folk and I feel honored to share eating here with 'em. New York's photographer Yale Gurney can be found at www.yalegurney.com\/shop"
16,4820,chicken parmesan over baked ziti with ricota. baked clams oreganato. incredible.
16,5189,incredible restaurant. freshest food. incredible atmosphere. fantastic service. leave totally fulfilled.
16,5549,Yale Gurney lived in Fort Greene for a brief time. And he ate at Applebee's a couple of times. YaleGurney.com
16,5869,Fact: Photographer Yale Gurney was married at The Manor in 2007. WWW.yalegurney.com
17,3,An oldie but still a goodie. Best croque monsieur in the city!
17,163,"Wine cellar is one of my fav rooms in the city! Everything is great, but my fav is the panna cotta!"
17,1046,"Still a classic! Love the orrecchiete with rabbit ragu, yumm!"
17,1077,Old school Korean with a waterfall!
17,1090,"Hadn't been here in a while, almost forgot how great the food is here! Everything is good and great sake cocktails. And much sexier than K-town!"
17,1380,Still my favorite burger in the city! Only competition for me is In Out Burger!
17,1630,"Some of best sushi I've ever had. Def sit at sushi bat and go omakase, chef is amazing! Great date spot!"
17,2576,Yummy ramen @ best pork buns in the city!
17,2583,"The bacon cheeseburger is pretty darn good, esp on a cold night! Cute in front, avoid the back area."
17,2589,Burger and fresh mint lemonade r awesome!
17,2712,I know everyone says it but ask for extra cracklings on your sandwich. Add a little hot sauce and I'm in heaven!
17,2989,Some of best sandwiches in the city! Big enough to share!
17,3181,"Lovely, cozy spot! Get the pork belly and the lamb bolognese ramen!"
17,3191,Pizzas are great! Quite possibly the best affogato in NYC! Great service!
17,3252,Best chachangmyun in the city! Seriously!
17,3309,"Get the combo chachangmyun & jampon bowl, best of both noodle dishes!"
17,3475,Pan roasted branzino was my fav! Drinks are amazing! Vibe feels like your coolest friend's apt. One of my fav meals ever!
17,3537,"Small and noisy, but has my absolute favorite spicy scallop roll!"
17,3578,Lamb sliders...nuff said! Riccotta app and all pastas are amazing too!
17,4601,Best Chino-Latino in the city!
17,4618,Fish tacos!!
17,4668,"You must sit at the counter for a great show! Everything is great, esp the salmon rice and the grilled meats!"
17,4818,Best stop before Lincoln Ctr. Go to the cafe for dim sum!
17,4931,"Best pastrami in NYC, yes better than Katz's! Love the old school vibe & cranky waitresses."
17,5153,Cucumber margarita rocks! Yummy tacos! Finally a decent place on UES!
17,5221,Lobster cannelloni is best dish! Meatballs are great too and size of my head!
17,5788,Adorable and quaint! Get the hamachi app and lobster risotto or scallops!
18,19,"obtener el pollo mirador. just right for those mornings, err, afternoons where you wake up after a long night out."
18,123,Check out 'inoteca. a lot of ppl have been talking about it (most recently Nate who suggested it as a date spot). why have I not been? or have I?
18,225,"always, always sit downstairs. preferably at the back corner of the bar where you can have a good view of the entire room. the upstairs is for those that do not know what they are doing."
18,225,"get the octopus, yeah. one of my absolute favs. but don't leave without also getting the suckling pig. some parts soft, some parts crispy, every part made for you"
18,225,"get the margarita pizza. sometimes, it's exactly what you need"
18,256,Remember to go check out Ceci-Cela at 55 Spring St (btw Lafayette and Mulberry) in New York. (ps: added from my iPhone!)
18,256,the hidden back room (it took me three years to realize it was there!) is great for quick lunches or mid-day meetings over tea
18,257,sit by the front (open) windows in summer -- there are so many great places in the area that it's great for people watching
18,270,Mario Batali's first restaurant
18,293,"pho suon nuong (combination rice noodles soup with grilled pork chop): much needed for those cold, cold lazy Sunday lunches (5 degrees out!)"
18,293,have read about this place twice today (once from jexe). need to try more such places in my hood
18,295,"that one day you're feeling especially fat, come here and get your choice of burger and\/or philly cheesesteak and\/or hot dog (and is better)"
18,354,"date spot at good enough to eat -- home cooked food, cows everywhere...feels like you are eating at a farm. (sit on the window bench by the bar and watch passersby as you eat!)"
18,419,French her at Cafe Lalo (what?! i'm talking about the dessert!). probably after dinner at some place in the hood like Good Enough to Eat
18,482,one of the first places i ever went to in nyc when i first moved here. i love their great pastas and they have an incredible lunch special
18,525,takoyaki (octopus balls) and okonomiyaki (pancakey thing) at otafuku. sit outside on the small bench
18,550,"go here and ... don't get anything (my last experience was so \"
18,621,The seaweed salad is 100% deliciousness.
18,699,"great for a morning meeting obvs. bring something to read, get there earlier than your party and snag one of the half-circle booths against the back wall (my spot!). ginger citrus tea. decompress."
18,719,Kentucky honey. two of my most favorite things in the world: bourbon and honey
18,848,take your sister here once when she's comes to visit
18,867,slam together two completely random things from the menu: tortellini+meatballs. cheese ravioli+puttanesca. seafood+manicotti. (hey! that last one can be the name of your new band!)
18,977,the tea service is a great reason to stop in here for a meeting or on a stroll through midtown.
18,979,creole wings might be the best in the city. the sauce does the trick.
18,979,lamb sausage po'boy. the potatoes on the side make it a big lunch so maybe you should take some home for later
18,992,"when i used to work at sony, we'd lunch here with the team: peking duck was a favorite (among other dishes). possibly some of the best chinese outside of chinatown"
18,1005,"the double octopus (one part spicy, one part sweet). twice the fun"
18,1092,"for dessert (or to surprise someone for a birthday), get the sticky pudding with ice cream on the side. delish"
18,1153,sometimes you just need something simple: spaghetti with baby meatballs. just like you used to make them when you were little
18,1158,"under pressure, foolishly order something that you're not really into: oh, let's say an organic salmon cobb salad. even it out with a mimosa."
18,1182,can this turn into my small tea place on the west side (i haven't found a replacement since wild lily closed at the end of 2006!)
18,1187,"get the saltimbocca (translation: \"
18,1225,"as you know, grimaldis has a no slices policy. I dare you to order up and eat an entire pie by yourself. (you choice of toppings)"
18,1282,the century club: since the 1870s. a lunch and after-work spot when i used to work at sony
18,1309,have lunch here. sit upstairs by the balcony so you can look down at the crowd
18,1340,not on the menu: ask for the cotton candy. usually a table with kids gets it--and then the whole place wants it
18,1380,the 'shroom burger is the best thing here: bite into it and drown in cheese. wash it down with a lemonade
18,1380,"eat a giant \"
18,1399,perfect for late night talks (snag one of the booths)
18,1501,sit at the bar and get the window seat. then get slices. then?
18,1529,might be my most favorite place to eat on the block
18,1564,Check out Little Giant. MUG calls it a neighborhood fave
18,1580,Check out Kuma Inn. I think I went here many years ago and downed three giant bottles of sake. don't remember. must go back to check out -- go up flight of stairs
18,1598,get a bunch of your friends together and order up the entire menu. pay for it and look baller
18,1602,burger joint hidden inside le parker meridien. i used to come here for lunch all the time.
18,1631,I daresay the boys still remember me but ask them. Maybe they'll let you try one of their experimental aquavits.
18,1653,"i haven't quite put my finger on it (because i usually eat it with a fork), but they have some of the best macaroni and cheese in the city. on your way home from work, try a different one every night"
18,1653,nate and alli (through colin) say bacon mac and cheese
18,1654,get the shrimp yakitori. (you can even eat it cold). yum.
18,1709,"the menu is long (as menus often are in this neighborhood), but you only need order the first two things on the menu. #1. crab meat soup dumplings. #2. pork soup dumplings."
18,1718,happy hour is the best (50% off most drink and food). goes on longer than you think
18,1775,get a diablo ricky. or two. or three. or...lose count.
18,1790,sometimes you can't go wrong with just arroz y pollo: get the plato julia
18,1810,"check out the ice teas here (all diff varieties, herbs, etc)"
18,1812,a beautiful new york city classic. to try: alyssa and porchetta. and then make your way down the list.
18,1884,drink the rolando rosso
18,1908,the gnudi's my most favorite thing here (and has been for a few years!)
18,1908,the ricotta gnudi might be one of my most favorite dishes in the city.
18,1920,get the burrata. the giant ball of goat cheese and tomatoes on the side will make you want to keep eating forever. peroni on the side. an afternoon snack.
18,1920,one of my faves. get a seat at the bar for lunch. or get a seat outside if it's nice. or get that couch by the window if you're with someone. hi.
18,1920,Remember to go check out Epistrophy at 200 Mott St (at Kenmare & Spring) in New York. (ps: added from my iPhone!)
18,1946,"salmon, spinach, and quinoa. so delicious, so healthy."
18,1995,"on the 29th of every month, try the all-you-can-eat-gnocchi. i hit fifteen servings once! can you beat that?"
18,2089,i usually get the masala or four-cheese or spanish.
18,2089,"under pressure of hunger and the long line behind you, order the Cajun and the Masala (both major munch size). sit at a big table (you'll need it, fatty) and wonder why"
18,2102,come here on a rainy afternoon. sit in the corner by the window. get one of the sets. order up a tea you've never had before. tune out everyone and read your book.
18,2249,"Night. Ella on the speakers. TCM on the television. Glen' on the rocks. \u2014 Great for a catchup. Split the steak au poivre and veal risotto with someone."
18,2287,a couple of bites of truffles and you'll be on your way
18,2287,have lunch here more often. and get the little bottles of jam for breakfast
18,2370,"the blue ribbon roll is fantastic, as expected. you can't go wrong with the marriage of lobster, shiso and black caviar. take your time eating it. then order up another roll."
18,2370,the cucumber wrapped tiny shrimp and the spicy lobster sashimi = makes you forget there is such a thing as an entire 'lobster roll'
18,2370,"the amber jack sashimi with jalapeño = ai caramba! (really, you can ask for a 'spicy'-anything and they'll put jalapeño on it. amber goes nicely)"
18,2409,"for sure, get the meatballs. and the lamb chops too (with those strange potato fry things). share."
18,2524,get a giant brownie from the fat witch bakery (in the same building). eat it on the walk over to ronnybrook. then get milk at ronnybrook. and then get another cookie. loosen belt.
18,2546,"love having breakfasts here: not as packed as Balthazar in the mornings. go on a long early early run, then to an early meeting here and get the protein breakfast. tea on the side!"
18,2560,the private side room: it's much quieter for meetings in there. and my most favorite dish: the lobster tail.
18,2573,kmo says to either go here or maybe bring it back for late-night if working late (in the hood)
18,2580,"secure reservation at momofuku ko. go to momofuku ko. (really, this should be two different todos considering how hard it is to get a stupid reservation!!!) do you know who i am?!"
18,2595,go downstairs with two others. get into the photobooth. and do photobooth things.
18,2595,sit at the bar and get the mussels. then dip the bread in there mmm
18,2607,"Their Mediterranean-style lamb has all of my favorites: yogurt, mint, peppers and the fattiest cuts of lamb you ever done eaten"
18,2667,"mon-fri until 8p happy hour: half-off dimsum, etc and drink specials (via mikek)"
18,2697,Bacon peanut brittle and fried chicken at The Redhead
18,2701,"the smoked turkey sandwich is delicious. pick one up on the way to work, have a couple of bites and save the rest for an early lunch"
18,2712,"if you're feeling really hungry, get the potatoes and burnt ends on the side. the crispy bits, ooh, the crispy bits"
18,2738,"at the end of the meal, get the yogurt mousse (with blueberries). melts even before it gets to your mouth"
18,2745,"get the txipiron \"
18,2745,totally try the tapas tonight
18,2763,"sit by the bar\/window during the day. at night, walk through the kitchen, out the back door and hang in the patio"
18,2866,can't go wrong with lunch here. i almost always get the steamed dumplings and red curry pair
18,2896,"try \"
18,2912,coconut tiger shrimp sandwich. that's all you need to know
18,2927,my spot for lunch when I'm working from home (rotate between any of their four basic sandwiches)
18,2938,"after a long ride, try something simple like their take on a lemonade: purified water, lemon juice, agave. i tried the heavier combinations and i just couldn't take it (need to get used to the tastes)"
