# index, _graphml_vertex_id, id, name, x, y, z, _pos
31,n31,v32,v32,0,0,0.5,"array([14.07428758, -1.00310992])"
32,n32,v40,v40,0,0,0.5,"array([14.5514166 , -0.81820775])"
33,n33,v41,v41,0,0,0.5,"array([14.09044902, -0.60661325])"
34,n34,v42,v42,0,0,0.5,"array([14.40148779, -0.42233689])"
35,n35,v43,v43,0,0,0.5,"array([14.3785435 , -1.04486794])"
36,n36,v44,v44,0,0,0.5,"array([14.59320466, -0.93461015])"
37,n37,v45,v45,0,0,0.5,"array([14.14736057, -1.03116874])"
38,n38,v46,v46,0,0,0.5,"array([14.12748055, -0.98891479])"
39,n39,v47,v47,0,0,0.5,"array([14.01075359, -1.11383981])"
40,n40,v48,v48,0,0,0.5,"array([14.0181123 , -0.83996985])"
41,n41,v49,v49,0,0,0.5,"array([14.04129683, -0.88762416])"
42,n42,v50,v50,0,0,0.5,"array([13.98574824, -1.03112294])"
43,n43,v51,v51,0,0,0.5,"array([14.06679419, -1.12549229])"
44,n44,v52,v52,0,0,0.5,"array([14.14385193, -1.07606007])"
45,n45,v53,v53,0,0,0.5,"array([13.9413485 , -1.01936029])"
46,n46,v54,v54,0,0,0.5,"array([13.94335281, -0.92946237])"
47,n47,v55,v55,0,0,0.5,"array([13.96512081, -0.99185329])"
48,n48,v56,v56,0,0,0.5,"array([14.05919546, -0.80088112])"
49,n49,v57,v57,0,0,0.5,"array([14.12834867, -0.79433432])"
50,n50,v58,v58,0,0,0.5,"array([13.98751712, -1.32489712])"
51,n51,v59,v59,0,0,0.5,"array([14.21333754, -1.40814234])"
52,n52,v60,v60,0,0,0.5,"array([14.6671823 , -0.68485373])"
53,n53,v61,v61,0,0,0.5,"array([14.7925068 , -0.73989019])"
54,n54,v62,v62,0,0,0.5,"array([14.71748842, -0.57602404])"
55,n55,v63,v63,0,0,0.5,"array([13.74938012, -0.62796897])"
56,n56,v64,v64,0,0,0.5,"array([14.29729087, -0.53433442])"
57,n57,v65,v65,0,0,0.5,"array([14.43733302, -0.78315529])"
58,n58,v66,v66,0,0,0.5,"array([14.47475236, -0.6948269 ])"
59,n59,v67,v67,0,0,0.5,"array([14.4643547, -0.9672289])"
60,n60,v68,v68,0,0,0.5,"array([14.30699273, -0.61023468])"
61,n61,v70,v70,0,0,0.5,"array([14.52280011, -0.98433074])"
62,n62,v71,v71,0,0,0.5,"array([14.48463286, -0.87497658])"
63,n63,v72,v72,0,0,0.5,"array([14.05935749, -0.84687976])"
64,n64,v73,v73,0,0,0.5,"array([13.90610981, -0.74117363])"
65,n65,v74,v74,0,0,0.5,"array([14.48143029, -1.32745085])"
66,n66,v75,v75,0,0,0.5,"array([14.4449166 , -1.36238836])"
67,n67,v76,v76,0,0,0.5,"array([14.33330444, -0.9712408 ])"
68,n68,v77,v77,0,0,0.5,"array([14.260367  , -1.40523346])"
69,n69,v78,v78,0,0,0.5,"array([14.51583593, -0.79669379])"
70,n70,v79,v79,0,0,0.5,"array([14.2955901 , -1.33826668])"
71,n71,v80,v80,0,0,0.5,"array([13.97626898, -1.43370683])"
72,n72,v81,v81,0,0,0.5,"array([14.72401495, -0.95578928])"
73,n73,v82,v82,0,0,0.5,"array([14.54527317, -1.12218663])"
74,n74,v83,v83,0,0,0.5,"array([14.0221108 , -1.05199128])"
75,n75,v84,v84,0,0,0.5,"array([14.04313446, -1.16255749])"
76,n76,v85,v85,0,0,0.5,"array([14.05051375, -0.74947538])"
77,n77,v86,v86,0,0,0.5,"array([13.82481915, -0.74879497])"
78,n78,v87,v87,0,0,0.5,"array([13.90117948, -0.90721391])"
79,n79,v88,v88,0,0,0.5,"array([14.11580932, -1.30664966])"
80,n80,v89,v89,0,0,0.5,"array([14.08646641, -1.24053527])"
81,n81,v90,v90,0,0,0.5,"array([14.07999909, -1.18759958])"
82,n82,v91,v91,0,0,0.5,"array([14.04077426, -1.21780717])"
83,n83,v92,v92,0,0,0.5,"array([14.03158545, -1.2594289 ])"
84,n84,v93,v93,0,0,0.5,"array([14.19616808, -0.89934351])"
85,n85,v94,v94,0,0,0.5,"array([13.97897355, -0.68264709])"
86,n86,v95,v95,0,0,0.5,"array([13.91860667, -0.68255904])"
87,n87,v96,v96,0,0,0.5,"array([14.24944638, -1.01420005])"
88,n88,v97,v97,0,0,0.5,"array([14.19270739, -0.83368369])"
89,n89,v98,v98,0,0,0.5,"array([14.12235419, -0.64118325])"
90,n90,v99,v99,0,0,0.5,"array([14.33921411, -1.21438411])"
91,n91,v100,v100,0,0,0.5,"array([14.64305053, -1.1220481 ])"
92,n92,v101,v101,0,0,0.5,"array([14.65946537, -1.16821777])"
93,n93,v102,v102,0,0,0.5,"array([14.61047018, -0.90138051])"
94,n94,v103,v103,0,0,0.5,"array([14.71342297, -1.18312885])"
95,n95,v104,v104,0,0,0.5,"array([14.03940379, -1.08743462])"
96,n96,v105,v105,0,0,0.5,"array([14.33011675, -1.25497995])"
97,n97,v106,v106,0,0,0.5,"array([14.29324601, -1.27880858])"
98,n98,v107,v107,0,0,0.5,"array([14.25998167, -0.73554536])"
99,n99,v108,v108,0,0,0.5,"array([13.9261868 , -0.96982487])"
100,n100,v109,v109,0,0,0.5,"array([14.35316823, -0.54024324])"
101,n101,v110,v110,0,0,0.5,"array([13.96515652, -0.77787732])"
102,n102,v114,v114,0,0,0.5,"array([13.96595217, -0.8966826 ])"
103,n103,v115,v115,0,0,0.5,"array([13.95502914, -0.82993533])"
104,n104,v116,v116,0,0,0.5,"array([13.98194012, -0.85515662])"
105,n105,v118,v118,0,0,0.5,"array([13.94212792, -0.86804469])"
106,n106,v119,v119,0,0,0.5,"array([13.99177225, -0.80576156])"
107,n107,v121,v121,0,0,0.5,"array([14.37307289, -0.79412516])"
108,n108,v122,v122,0,0,0.5,"array([14.19182171, -0.97772064])"
109,n109,v123,v123,0,0,0.5,"array([14.63588318, -1.04326481])"
110,n110,v124,v124,0,0,0.5,"array([14.19733577, -1.18748506])"
111,n111,v125,v125,0,0,0.5,"array([14.16234473, -1.12273618])"
112,n112,v126,v126,0,0,0.5,"array([14.21686411, -1.34378452])"
113,n113,v127,v127,0,0,0.5,"array([14.23265675, -0.69507648])"
114,n114,v128,v128,0,0,0.5,"array([13.92293314, -1.17011217])"
115,n115,v129,v129,0,0,0.5,"array([14.10144475, -0.85332001])"
116,n116,v130,v130,0,0,0.5,"array([14.06525997, -1.04146261])"
117,n117,v131,v131,0,0,0.5,"array([13.95276961, -1.14596363])"
118,n118,v132,v132,0,0,0.5,"array([14.41613786, -0.53653573])"
119,n119,v133,v133,0,0,0.5,"array([13.7734738 , -0.99742199])"
120,n120,v134,v134,0,0,0.5,"array([14.08162801, -0.76663734])"
121,n121,v135,v135,0,0,0.5,"array([14.41257597, -1.04251002])"
122,n122,v136,v136,0,0,0.5,"array([13.51683736, -0.43189319])"
123,n123,v137,v137,0,0,0.5,"array([14.49981355, -0.95201209])"
124,n124,v138,v138,0,0,0.5,"array([14.55915198, -0.91307121])"
125,n125,v139,v139,0,0,0.5,"array([14.69688342, -1.00022069])"
126,n126,v140,v140,0,0,0.5,"array([14.44901848, -1.10115726])"
127,n127,v141,v141,0,0,0.5,"array([14.43297435, -1.07257504])"
128,n128,v142,v142,0,0,0.5,"array([14.24010865, -1.27593541])"
129,n129,v143,v143,0,0,0.5,"array([14.19123245, -1.25369145])"
130,n130,v144,v144,0,0,0.5,"array([14.63430203, -0.71894193])"
131,n131,v145,v145,0,0,0.5,"array([14.48835394, -1.12149501])"
132,n132,v146,v146,0,0,0.5,"array([14.67692641, -0.95887833])"
133,n133,v147,v147,0,0,0.5,"array([14.55014764, -1.38931907])"
134,n134,v148,v148,0,0,0.5,"array([14.47497509, -0.80148712])"
135,n135,v149,v149,0,0,0.5,"array([14.44690082, -0.82562132])"
136,n136,v150,v150,0,0,0.5,"array([14.11925231, -1.20127589])"
137,n137,v151,v151,0,0,0.5,"array([13.532434  , -1.27561979])"
138,n138,v152,v152,0,0,0.5,"array([14.1374186 , -1.26327025])"
139,n139,v153,v153,0,0,0.5,"array([14.1772257, -1.0702303])"
140,n140,v154,v154,0,0,0.5,"array([14.07386669, -1.28367694])"
141,n141,v155,v155,0,0,0.5,"array([14.07147469, -1.32928546])"
142,n142,v156,v156,0,0,0.5,"array([14.45284633, -1.02574358])"
143,n143,v157,v157,0,0,0.5,"array([14.31383626, -1.0916712 ])"
144,n144,v158,v158,0,0,0.5,"array([14.49761468, -0.91156829])"
145,n145,v159,v159,0,0,0.5,"array([14.43275299, -0.94465098])"
146,n146,v160,v160,0,0,0.5,"array([14.47317584, -0.92111523])"
147,n147,v161,v161,0,0,0.5,"array([14.15883057, -1.40003167])"
148,n148,v162,v162,0,0,0.5,"array([14.67075081, -0.91344874])"
149,n149,v163,v163,0,0,0.5,"array([14.58365744, -0.73359957])"
150,n150,v164,v164,0,0,0.5,"array([14.57331496, -0.57841745])"
151,n151,v165,v165,0,0,0.5,"array([14.58708478, -0.79469436])"
152,n152,v166,v166,0,0,0.5,"array([14.22622697, -0.8306515 ])"
153,n153,v167,v167,0,0,0.5,"array([14.59264883, -0.83159466])"
154,n154,v168,v168,0,0,0.5,"array([14.15826436, -0.86940335])"
155,n155,v169,v169,0,0,0.5,"array([14.0953328 , -1.56396994])"
156,n156,v170,v170,0,0,0.5,"array([14.32786202, -0.82325905])"
157,n157,v171,v171,0,0,0.5,"array([14.46141507, -0.75024436])"
158,n158,v172,v172,0,0,0.5,"array([14.41919306, -0.88514656])"
159,n159,v173,v173,0,0,0.5,"array([14.26960802, -1.23963037])"
160,n160,v174,v174,0,0,0.5,"array([14.33575596, -1.12718159])"
161,n161,v175,v175,0,0,0.5,"array([14.64487064, -1.21056589])"
162,n162,v176,v176,0,0,0.5,"array([14.66406028, -0.75962517])"
163,n163,v177,v177,0,0,0.5,"array([14.4519942 , -1.14152956])"
164,n164,v178,v178,0,0,0.5,"array([13.90645788, -0.59458109])"
165,n165,v179,v179,0,0,0.5,"array([14.2423467 , -0.63052463])"
166,n166,v180,v180,0,0,0.5,"array([14.50298763, -0.76494807])"
167,n167,v181,v181,0,0,0.5,"array([14.30208626, -0.85180062])"
168,n168,v182,v182,0,0,0.5,"array([14.47305149, -0.63499993])"
169,n169,v183,v183,0,0,0.5,"array([14.44088012, -0.66463307])"
170,n170,v184,v184,0,0,0.5,"array([14.21222732, -0.65765131])"
171,n171,v185,v185,0,0,0.5,"array([13.87004325, -1.12858425])"
172,n172,v186,v186,0,0,0.5,"array([14.04903693, -0.92599122])"
173,n173,v187,v187,0,0,0.5,"array([13.9996164 , -0.93550272])"
174,n174,v188,v188,0,0,0.5,"array([14.37844286, -0.7600871 ])"
175,n175,v189,v189,0,0,0.5,"array([14.51226392, -0.8590089 ])"
176,n176,v190,v190,0,0,0.5,"array([13.90465347, -1.30725516])"
177,n177,v191,v191,0,0,0.5,"array([14.37961914, -1.38980109])"
178,n178,v192,v192,0,0,0.5,"array([14.55830978, -1.19987748])"
179,n179,v193,v193,0,0,0.5,"array([13.85858118, -1.2610613 ])"
180,n180,v194,v194,0,0,0.5,"array([14.17714228, -1.46107753])"
181,n181,v195,v195,0,0,0.5,"array([14.68748661, -0.8456612 ])"
182,n182,v196,v196,0,0,0.5,"array([14.39969035, -1.0039979 ])"
183,n183,v197,v197,0,0,0.5,"array([14.36843714, -0.94923711])"
184,n184,v198,v198,0,0,0.5,"array([14.33299639, -0.76989054])"
185,n185,v199,v199,0,0,0.5,"array([14.25657506, -1.05057547])"
186,n186,v200,v200,0,0,0.5,"array([14.14740348, -0.76320241])"
187,n187,v201,v201,0,0,0.5,"array([14.32321285, -1.04142114])"
188,n188,v202,v202,0,0,0.5,"array([14.27472772, -0.35292644])"
189,n189,v203,v203,0,0,0.5,"array([14.15281545, -1.17402696])"
190,n190,v204,v204,0,0,0.5,"array([14.03194315, -1.01239737])"
191,n191,v205,v205,0,0,0.5,"array([13.96115599, -0.73117489])"
192,n192,v206,v206,0,0,0.5,"array([14.22402593, -0.74067091])"
193,n193,v207,v207,0,0,0.5,"array([14.17209799, -1.55675206])"
194,n194,v208,v208,0,0,0.5,"array([14.08216298, -1.08690017])"
195,n195,v209,v209,0,0,0.5,"array([14.31494495, -0.94354077])"
196,n196,v210,v210,0,0,0.5,"array([14.40681597, -0.81520589])"
197,n197,v211,v211,0,0,0.5,"array([14.39682149, -0.92420597])"
198,n198,v212,v212,0,0,0.5,"array([14.2689078 , -1.09065942])"
199,n199,v213,v213,0,0,0.5,"array([14.3602211 , -0.83238586])"
200,n200,v214,v214,0,0,0.5,"array([14.25423114, -1.19440509])"
201,n201,v215,v215,0,0,0.5,"array([14.34274747, -1.06903893])"
202,n202,v216,v216,0,0,0.5,"array([14.29508354, -1.20596948])"
203,n203,v217,v217,0,0,0.5,"array([14.22937665, -0.7811197 ])"
204,n204,v218,v218,0,0,0.5,"array([14.3177852 , -0.87909629])"
205,n205,v219,v219,0,0,0.5,"array([14.322217  , -1.00376592])"
206,n206,v220,v220,0,0,0.5,"array([14.21767652, -1.00093455])"
207,n207,v221,v221,0,0,0.5,"array([14.381819 , -0.8998574])"
208,n208,v222,v222,0,0,0.5,"array([14.48522563, -1.39723949])"
209,n209,v223,v223,0,0,0.5,"array([14.37013431, -1.26130969])"
210,n210,v224,v224,0,0,0.5,"array([14.29085257, -1.03184222])"
211,n211,v225,v225,0,0,0.5,"array([14.17521626, -0.6323285 ])"
212,n212,v226,v226,0,0,0.5,"array([14.14971747, -0.72540778])"
213,n213,v227,v227,0,0,0.5,"array([14.18006717, -0.55311316])"
214,n214,v229,v229,0,0,0.5,"array([14.08375175, -0.89421133])"
215,n215,v230,v230,0,0,0.5,"array([14.45040224, -1.2244386 ])"
216,n216,v232,v232,0,0,0.5,"array([14.13369891, -0.95523191])"
217,n217,v233,v233,0,0,0.5,"array([13.95227438, -1.10953418])"
218,n218,v234,v234,0,0,0.5,"array([14.29879293, -1.56219878])"
219,n219,v235,v235,0,0,0.5,"array([14.28329511, -0.9493412 ])"
220,n220,v236,v236,0,0,0.5,"array([14.23131811, -1.06372303])"
221,n221,v237,v237,0,0,0.5,"array([14.26990924, -0.68196413])"
222,n222,v238,v238,0,0,0.5,"array([14.20341809, -0.59391785])"
223,n223,v239,v239,0,0,0.5,"array([14.18174535, -0.68111402])"
224,n224,v240,v240,0,0,0.5,"array([13.34488052, -0.38617273])"
225,n225,v241,v241,0,0,0.5,"array([14.0070359 , -0.72251643])"
226,n226,v242,v242,0,0,0.5,"array([14.15584919, -0.89949183])"
227,n227,v243,v243,0,0,0.5,"array([14.14357109, -0.91241524])"
228,n228,v244,v244,0,0,0.5,"array([14.22807312, -1.0998944 ])"
229,n229,v245,v245,0,0,0.5,"array([14.21174896, -1.08888547])"
230,n230,v246,v246,0,0,0.5,"array([14.34712364, -1.02237552])"
231,n231,v247,v247,0,0,0.5,"array([13.69255992, -1.21297124])"
232,n232,v248,v248,0,0,0.5,"array([14.10361729, -0.91624817])"
233,n233,v249,v249,0,0,0.5,"array([14.11958526, -0.50551758])"
234,n234,v250,v250,0,0,0.5,"array([14.72852041, -0.86639316])"
235,n235,v251,v251,0,0,0.5,"array([14.76675739, -0.93603204])"
236,n236,v252,v252,0,0,0.5,"array([14.74920572, -0.80451967])"
237,n237,v253,v253,0,0,0.5,"array([14.59825184, -0.97378717])"
238,n238,v254,v254,0,0,0.5,"array([14.18852723, -0.71670336])"
239,n239,v255,v255,0,0,0.5,"array([14.96053335, -0.94633817])"
240,n240,v256,v256,0,0,0.5,"array([14.62202327, -0.63822856])"
241,n241,v257,v257,0,0,0.5,"array([14.00475371, -0.43005497])"
242,n242,v258,v258,0,0,0.5,"array([14.48350187, -0.84038841])"
243,n243,v259,v259,0,0,0.5,"array([14.66631971, -0.87241632])"
244,n244,v260,v260,0,0,0.5,"array([14.53724586, -0.88192569])"
245,n245,v261,v261,0,0,0.5,"array([14.29214514, -1.12868114])"
246,n246,v262,v262,0,0,0.5,"array([14.32396979, -1.48163839])"
247,n247,v264,v264,0,0,0.5,"array([14.53728488, -0.93591711])"
248,n248,v265,v265,0,0,0.5,"array([14.88274537, -0.88898589])"
249,n249,v266,v266,0,0,0.5,"array([14.46287169, -0.48451267])"
250,n250,v267,v267,0,0,0.5,"array([14.02790817, -1.5002146 ])"
251,n251,v268,v268,0,0,0.5,"array([13.90511806, -1.43277553])"
252,n252,v269,v269,0,0,0.5,"array([13.96246537, -1.48868082])"
253,n253,v270,v270,0,0,0.5,"array([14.08992185, -1.49924964])"
254,n254,v271,v271,0,0,0.5,"array([14.05309602, -1.40711559])"
255,n255,v272,v272,0,0,0.5,"array([14.38314561, -1.54176934])"
256,n256,v273,v273,0,0,0.5,"array([14.96223925, -0.88426805])"
257,n257,v274,v274,0,0,0.5,"array([14.80909552, -1.06496066])"
258,n258,v275,v275,0,0,0.5,"array([14.4874366 , -1.08099588])"
259,n259,v276,v276,0,0,0.5,"array([14.23467054, -1.57668862])"
260,n260,v277,v277,0,0,0.5,"array([14.25634964, -0.93272893])"
261,n261,v278,v278,0,0,0.5,"array([14.11540582, -1.37172383])"
262,n262,v279,v279,0,0,0.5,"array([14.33391567, -0.6860079 ])"
263,n263,v280,v280,0,0,0.5,"array([13.76942945, -0.81799195])"
264,n264,v281,v281,0,0,0.5,"array([14.07603254, -0.38540169])"
265,n265,v282,v282,0,0,0.5,"array([14.63104909, -0.85682742])"
266,n266,v283,v283,0,0,0.5,"array([14.19810362, -1.14343101])"
267,n267,v284,v284,0,0,0.5,"array([13.9513038 , -0.55223136])"
268,n268,v285,v285,0,0,0.5,"array([14.2490107 , -0.97598206])"
269,n269,v286,v286,0,0,0.5,"array([14.01700771, -0.59111865])"
270,n270,v287,v287,0,0,0.5,"array([14.07835629, -0.66367344])"
271,n271,v288,v288,0,0,0.5,"array([14.20212364, -1.30118761])"
272,n272,v289,v289,0,0,0.5,"array([14.22641296, -1.22597655])"
273,n273,v290,v290,0,0,0.5,"array([13.45434976, -0.44999644])"
274,n274,v291,v291,0,0,0.5,"array([14.45694816, -1.28489293])"
275,n275,v292,v292,0,0,0.5,"array([13.99655757, -0.63443592])"
276,n276,v293,v293,0,0,0.5,"array([14.08211147, -0.55864176])"
277,n277,v294,v294,0,0,0.5,"array([14.49502779, -0.40894279])"
278,n278,v295,v295,0,0,0.5,"array([14.15685222, -1.22191515])"
279,n279,v296,v296,0,0,0.5,"array([13.89156547, -0.94233767])"
280,n280,v297,v297,0,0,0.5,"array([14.84942311, -0.83286269])"
281,n281,v298,v298,0,0,0.5,"array([14.10836338, -0.73939389])"
282,n282,v299,v299,0,0,0.5,"array([14.53212034, -1.343293  ])"
283,n283,v300,v300,0,0,0.5,"array([14.58856759, -1.33664131])"
284,n284,v301,v301,0,0,0.5,"array([14.33322921, -0.90041737])"
285,n285,v302,v302,0,0,0.5,"array([14.00921832, -0.89366598])"
286,n286,v303,v303,0,0,0.5,"array([13.85515699, -0.98878551])"
287,n287,v305,v305,0,0,0.5,"array([13.89717913, -1.04193029])"
288,n288,v307,v307,0,0,0.5,"array([13.89959493, -1.08818047])"
289,n289,v309,v309,0,0,0.5,"array([13.94569598, -1.06497151])"
290,n290,v311,v311,0,0,0.5,"array([13.85794212, -1.03630712])"
291,n291,v312,v312,0,0,0.5,"array([13.89416616, -0.99661328])"
292,n292,v316,v316,0,0,0.5,"array([14.09898091, -0.95722494])"
293,n293,v317,v317,0,0,0.5,"array([14.16452029, -1.32484615])"
294,n294,v318,v318,0,0,0.5,"array([14.28338653, -0.98862839])"
295,n295,v319,v319,0,0,0.5,"array([13.98672377, -1.21482023])"
296,n296,v320,v320,0,0,0.5,"array([14.06408382, -0.96357085])"
297,n297,v322,v322,0,0,0.5,"array([14.13062633, -0.88821166])"
298,n298,v325,v325,0,0,0.5,"array([14.48791882, -1.03933729])"
299,n299,v326,v326,0,0,0.5,"array([14.4079308, -1.1064676])"
300,n300,v327,v327,0,0,0.5,"array([14.70854608, -1.34612343])"
301,n301,v328,v328,0,0,0.5,"array([14.37050079, -0.98741347])"
302,n302,v329,v329,0,0,0.5,"array([14.65296619, -1.00720713])"
303,n303,v332,v332,0,0,0.5,"array([14.40125749, -0.66610453])"
304,n304,v334,v334,0,0,0.5,"array([13.79366969, -1.09694426])"
305,n305,v335,v335,0,0,0.5,"array([14.36037022, -0.86743721])"
306,n306,v336,v336,0,0,0.5,"array([14.26427412, -1.46661883])"
307,n307,v337,v337,0,0,0.5,"array([14.26210281, -0.59043686])"
308,n308,v339,v339,0,0,0.5,"array([13.91148892, -0.82644651])"
309,n309,v341,v341,0,0,0.5,"array([14.41471957, -1.27060449])"
310,n310,v342,v342,0,0,0.5,"array([14.34609587, -0.9267973 ])"
311,n311,v343,v343,0,0,0.5,"array([14.25481321, -1.32436247])"
312,n312,v344,v344,0,0,0.5,"array([14.45237546, -1.52116302])"
313,n313,v345,v345,0,0,0.5,"array([14.43392152, -1.41721712])"
314,n314,v346,v346,0,0,0.5,"array([14.53594862, -1.45427718])"
315,n315,v347,v347,0,0,0.5,"array([14.38272858, -0.70320471])"
316,n316,v348,v348,0,0,0.5,"array([14.11850322, -1.14282752])"
317,n317,v349,v349,0,0,0.5,"array([14.63439225, -0.93857217])"
318,n318,v350,v350,0,0,0.5,"array([14.3296351 , -1.37214551])"
319,n319,v351,v351,0,0,0.5,"array([14.71290197, -0.90979071])"
320,n320,v352,v352,0,0,0.5,"array([14.78520433, -0.89150564])"
321,n321,v353,v353,0,0,0.5,"array([14.79146978, -0.97261635])"
322,n322,v354,v354,0,0,0.5,"array([14.60280354, -1.01049793])"
323,n323,v355,v355,0,0,0.5,"array([14.66215448, -1.08571241])"
324,n324,v356,v356,0,0,0.5,"array([14.75596153, -1.01002439])"
325,n325,v357,v357,0,0,0.5,"array([14.68436941, -0.80603161])"
326,n326,v358,v358,0,0,0.5,"array([14.77379224, -0.84362716])"
327,n327,v359,v359,0,0,0.5,"array([14.72882667, -0.76481836])"
328,n328,v360,v360,0,0,0.5,"array([14.6474676 , -0.81920514])"
329,n329,v361,v361,0,0,0.5,"array([13.91880973, -1.24155989])"
330,n330,v362,v362,0,0,0.5,"array([13.96171555, -1.27623791])"
331,n331,v363,v363,0,0,0.5,"array([14.63265937, -0.97715107])"
332,n332,v364,v364,0,0,0.5,"array([14.70323596, -0.72308541])"
333,n333,v365,v365,0,0,0.5,"array([14.52938815, -1.08809358])"
334,n334,v366,v366,0,0,0.5,"array([14.52193421, -1.04677718])"
335,n335,v367,v367,0,0,0.5,"array([14.58767574, -1.04254443])"
336,n336,v368,v368,0,0,0.5,"array([13.85645708, -0.84096003])"
337,n337,v370,v370,0,0,0.5,"array([14.32285391, -1.4220201 ])"
338,n338,v371,v371,0,0,0.5,"array([14.40086844, -1.34358133])"
339,n339,v372,v372,0,0,0.5,"array([14.73625226, -1.06864049])"
340,n340,v373,v373,0,0,0.5,"array([14.38467919, -1.44162336])"
341,n341,v374,v374,0,0,0.5,"array([14.47650376, -1.17761021])"
342,n342,v375,v375,0,0,0.5,"array([14.02863031, -0.67222183])"
343,n343,v377,v377,0,0,0.5,"array([14.5014781, -1.2800856])"
344,n344,v378,v378,0,0,0.5,"array([14.59162305, -1.22723728])"
345,n345,v379,v379,0,0,0.5,"array([14.40235442, -1.17817095])"
346,n346,v380,v380,0,0,0.5,"array([14.3159486 , -1.16242918])"
347,n347,v381,v381,0,0,0.5,"array([14.73028433, -1.11221028])"
348,n348,v382,v382,0,0,0.5,"array([14.5813461 , -0.87300006])"
349,n349,v383,v383,0,0,0.5,"array([14.50773327, -0.53871787])"
350,n350,v384,v384,0,0,0.5,"array([14.6419586 , -0.56442628])"
351,n351,v386,v386,0,0,0.5,"array([15.12774844, -0.68564642])"
352,n352,v387,v387,0,0,0.5,"array([15.2850219 , -0.71130863])"
353,n353,v388,v388,0,0,0.5,"array([15.17370015, -0.60680915])"
354,n354,v389,v389,0,0,0.5,"array([14.93864285, -0.79978168])"
355,n355,v390,v390,0,0,0.5,"array([15.41896974, -0.70154751])"
356,n356,v391,v391,0,0,0.5,"array([13.85316676, -0.92928058])"
357,n357,v392,v392,0,0,0.5,"array([14.60174484, -0.4180612 ])"
358,n358,v393,v393,0,0,0.5,"array([14.01815639, -1.36077698])"
359,n359,v394,v394,0,0,0.5,"array([14.51255065, -0.66258139])"
360,n360,v395,v395,0,0,0.5,"array([14.22264895, -0.4536172 ])"
361,n361,v396,v396,0,0,0.5,"array([14.28329998, -0.44946713])"
362,n362,v397,v397,0,0,0.5,"array([14.05378053, -0.7039267 ])"
363,n363,v398,v398,0,0,0.5,"array([14.55015211, -0.76546873])"
364,n364,v399,v399,0,0,0.5,"array([14.20388214, -1.03601906])"
365,n365,v400,v400,0,0,0.5,"array([14.59187407, -0.52569437])"
366,n366,v401,v401,0,0,0.5,"array([14.70154116, -0.41447918])"
367,n367,v402,v402,0,0,0.5,"array([14.40455486, -0.62222493])"
368,n368,v403,v403,0,0,0.5,"array([14.71643888, -1.24275257])"
369,n369,v404,v404,0,0,0.5,"array([14.2624217 , -0.77909393])"
370,n370,v405,v405,0,0,0.5,"array([14.29499131, -0.76154268])"
371,n371,v406,v406,0,0,0.5,"array([13.91963016, -0.31349799])"
372,n372,v407,v407,0,0,0.5,"array([14.36259737, -1.09795929])"
373,n373,v408,v408,0,0,0.5,"array([14.24213112, -0.86785308])"
