# index, pid, community, size, pos, leamer, name, _pos
54,203,0,18.85791015625,"array([1722.69299316, 2621.98632812])","Swine carcasses and half carcasses, fresh or chilled","#d1ff00
","array([ 6.30764481, -2.11727946])"
55,103,0,15.42578125,"array([1711.27905273, 2703.83886719])","Swine, live pure-bred breeding","#d1ff00
","array([ 6.30659348, -2.1918625 ])"
56,8716,0,18.83740234375,"array([2253.94506836, 2472.80883789])",Trailers for housing or camping,"#ff0000
","array([ 6.13343781, -1.84782252])"
57,403,0,15.495849609375,"array([2113.09069824, 2459.75634766])",Yogurt,"#730049
","array([ 6.12312849, -1.8736099 ])"
58,3925,0,16.173583984375,"array([2315.71740723, 2378.88195801])","Plastic reservoirs, tanks, vats, etc, capacity <300l","#ff0000
","array([ 6.12062603, -1.83527103])"
59,4410,0,15.9248046875,"array([2265.55566406, 2434.96020508])",Particle board of wood,"#ff0000
","array([ 6.10961067, -1.84332208])"
60,4808,0,15.083984375,"array([2364.94091797, 2371.27209473])","Paper, corrugated","#ff0000
","array([ 6.07749193, -1.84805932])"
61,6806,0,15.427978515625,"array([1995.1932373 , 2407.49560547])","Slag wool, rock wool, similar wools, bulk, sheet, rol","#730049
","array([ 6.21279242, -1.90497444])"
62,3209,0,15.642822265625,"array([2116.28967285, 2486.12182617])","Acrylic & vinyl polymer based paint, varnish, in wate","#730049
","array([ 6.09979721, -1.86627043])"
63,3402,0,18.6826171875,"array([2177.34814453, 2402.88476562])",Anionic surface-active agents,"#730049
","array([ 6.08836076, -1.83873384])"
64,3921,0,17.831787109375,"array([2143.01672363, 2471.83813477])","Sheet etc, cellular of polymers of styrene","#730049
","array([ 6.10911328, -1.85900965])"
65,8477,0,18.5135498046875,"array([1579.74078369, 2559.49829102])",Injection-moulding machines for rubber or plastic,"#299fff
","array([ 6.40699584, -2.16820556])"
66,8443,0,32.6881103515625,"array([1271.65057373, 2609.82617188])",Reel fed offset printing machinery,"#99ffff
","array([ 6.77597547, -1.99436244])"
67,7410,0,15.75341796875,"array([1228.66674805, 2731.14819336])","Foil of refined copper, not backed, t < 0.15mm","#99ffff
","array([ 6.82085133, -2.06004427])"
68,7006,0,15.154541015625,"array([1229.45373535, 2710.15600586])","Cast, drawn or float glass sheet, edge worked or bent","#99ffff
","array([ 6.78145643, -2.03349326])"
69,8413,0,23.2236328125,"array([1545.4822998, 2467.4621582])","Pumps dispensing fuel, lubricants in filling stations","#299fff
","array([ 6.43659779, -1.97790217])"
70,8541,0,27.1357421875,"array([1239.97790527, 2671.41699219])","Diodes, except photosensitive and light emitting","#99ffff
","array([ 6.75358111, -2.00630315])"
71,8534,0,20.0,"array([1266.26147461, 2704.11816406])",Electronic printed circuits,"#99ffff
","array([ 6.78109779, -2.01748909])"
72,8522,0,16.451904296875,"array([1230.40673828, 2604.59765625])",Pick-up cartridges,"#99ffff
","array([ 6.7516241 , -1.98489487])"
73,8473,0,36.63134765625,"array([1172.23596191, 2623.82983398])","Parts and accessories of typewriters, word processors","#99ffff
","array([ 6.80022634, -2.00464283])"
74,8417,0,15.830322265625,"array([1914.60559082, 2362.80249023])",Furnaces/ovens non-electric for ores/pyrites/metals,"#299fff
","array([ 6.20373868, -1.94841968])"
75,7019,0,16.626953125,"array([1872.3770752, 2490.2097168])","Slivers, rovings, yarn and chopped strands of glass","#299fff
","array([ 6.2490029 , -1.86622396])"
76,4707,0,16.22900390625,"array([2165.98339844, 2475.06420898])",Waste or scrap of unbleached kraft or paperboard,"#ff0000
","array([ 6.0791467 , -1.89727162])"
77,5602,0,15.0087890625,"array([2145.20214844, 2391.58959961])",Needleloom felt and stitch-bonded fibre fabric,"#ff0000
","array([ 6.09341609, -1.91309295])"
78,6202,0,16.677490234375,"array([2545.15148926, 2357.54663086])","Womens, girls overcoats etc of wool or hair not knit","#33cc00
","array([ 6.09580974, -1.69163944])"
79,3506,0,16.107666015625,"array([2064.62976074, 2503.35693359])","Glues and adhesives of all kinds, package <1 kg","#730049
","array([ 6.14093937, -1.90425112])"
80,7404,0,17.785400390625,"array([2432.3338623 , 2320.48779297])",Copper/copper alloy waste or scrap,"#330000
","array([ 6.00218325, -1.70471424])"
81,2501,0,15.20849609375,"array([2114.25585938, 2943.54003906])","Salt (sodium chloride) including solution, salt water","#d1ff00
","array([ 5.49043851, -2.04768952])"
82,2402,0,17.9345703125,"array([2414.61279297, 2353.58959961])","Cigars, cheroots and cigarillos, containing tobacco","#bf8845
","array([ 5.99948887, -1.7900275 ])"
83,7308,0,21.681884765625,"array([2344.06604004, 2352.11291504])","Bridges and bridge sections, iron or steel","#ff0000
","array([ 6.11190004, -1.78767515])"
84,8432,0,15.989013671875,"array([2108.80114746, 2349.2746582 ])",Ploughs,"#299fff
","array([ 6.1711891 , -1.87867053])"
85,1605,0,15.962890625,"array([2156.90649414, 2893.58520508])","Crab, prepared or preserved","#d1ff00
","array([ 5.48838918, -2.09352175])"
86,2603,0,20.0,"array([2270.16210938, 1780.1105957 ])",Copper ores and concentrates,"#330000
","array([ 5.57453813, -2.6019941 ])"
87,8105,0,15.7352294921875,"array([1090.30780029, 2442.05688477])","Cobalt, unwrought, matte, waste or scrap, powders","#330000
","array([ 7.03561947, -1.74178823])"
88,8437,0,15.125,"array([1369.86254883, 2449.44140625])","Machines to clean, sort, grade seed,grain, dry legume","#9c9a87
","array([ 6.33303757, -1.7005471 ])"
89,2530,0,15.079833984375,"array([1375.82727051, 2479.01464844])","Vermiculite, perlite and chlorites, unexpanded","#330000
","array([ 6.34777216, -1.64738011])"
90,7106,0,17.585205078125,"array([2012.29077148, 1809.78533936])",Silver powder,"#330000
","array([ 5.81961507, -2.80573257])"
91,2529,0,15.03662109375,"array([1982.27331543, 1772.03887939])",Feldspar,"#330000
","array([ 5.80102587, -2.8405552 ])"
92,2612,0,15.13739013671875,"array([1010.35049438, 2417.33251953])",Uranium ores and concentrates,"#330000
","array([ 7.12918157, -1.68789576])"
93,2602,0,15.961669921875,"array([1067.58996582, 2428.7265625 ])","Manganese ores, concentrates, iron ores >20% Manganes","#330000
","array([ 7.08836614, -1.70723395])"
94,7203,0,15.2991943359375,"array([ 994.29528809, 2240.13037109])",Ferrous products from direct reduction of iron ore,"#330000
","array([ 6.89994299, -1.45343884])"
95,2601,0,26.4874267578125,"array([ 943.77752686, 2228.8170166 ])","Iron ore, concentrate, not iron pyrites,unagglomerate","#330000
","array([ 6.92849143, -1.4195886 ])"
96,3207,0,15.468017578125,"array([1263.09301758, 2055.18054199])","Pigment, opacifier, colours etc for ceramics or glass","#9c219c
","array([ 6.6663436 , -1.76715137])"
97,3814,0,15.1435546875,"array([2125.46728516, 2607.51025391])","Organic composite solvents, paint, varnish remover et","#730049
","array([ 6.13912543, -1.93388749])"
98,407,0,15.270263671875,"array([2177.9979248, 2226.4765625])","Birds eggs, in shell, fresh, preserved or cooked","#d1ff00
","array([ 6.07400471, -1.95527599])"
99,8902,0,15.0228271484375,"array([2051.67266846, 2764.62475586])",Fishing vessels and factory ships,"#9c9a87
","array([ 5.94215955, -2.08583376])"
100,3913,0,15.12939453125,"array([1348.66894531, 2091.06555176])","Alginic acid, its salts & esters, in primary forms","#9c219c
","array([ 6.55419718, -1.79410032])"
101,6301,0,15.310546875,"array([2767.5065918 , 2508.38378906])",Electric blankets of textile material,"#33cc00
","array([ 6.09287886, -1.40728938])"
102,8458,0,16.154296875,"array([1510.85888672, 2580.62695312])",Horizontal numerically controlled metal work lathes,"#299fff
","array([ 6.40922826, -2.00695248])"
103,8111,0,15.08935546875,"array([2758.41796875, 2646.96362305])","Manganese, articles thereof, waste or scrap","#330000
","array([ 6.22378712, -1.38305965])"
104,7614,0,15.052734375,"array([2680.49780273, 2194.40942383])","Aluminium wire, cables, etc, steel core, uninsulated","#9c9a87
","array([ 6.00102803, -1.60356704])"
105,5504,0,15.19024658203125,"array([1028.64376831, 2075.33435059])","Staple fibres of viscose rayon, not carded or combed","#9c219c
","array([ 6.88923894, -1.68691805])"
106,2934,0,19.188720703125,"array([1089.23046875, 2122.96716309])",Heterocyclic compounds with an unfused thiazole ring,"#9c219c
","array([ 6.86106508, -1.72222344])"
107,2931,0,16.056396484375,"array([1132.84204102, 2136.58996582])","Organo-inorganic compounds, nes","#9c219c
","array([ 6.78259083, -1.77409532])"
108,8539,0,17.70556640625,"array([1491.17431641, 2149.56176758])",Sealed beam lamp units,"#299fff
","array([ 6.60497815, -2.00134132])"
109,2929,0,15.816162109375,"array([1474.375     , 2207.75537109])",Isocyanates,"#299fff
","array([ 6.56701797, -1.96595024])"
110,2926,0,15.68701171875,"array([1421.30114746, 2095.60778809])",Acrylonitrile,"#9c219c
","array([ 6.72401973, -1.77226163])"
111,8904,0,15.568603515625,"array([2806.10559082, 2377.30163574])",Tugs and pusher craft,"#33cc00
","array([ 6.09854034, -1.535313  ])"
112,6215,0,15.024169921875,"array([1395.72119141, 2832.421875  ])","Ties, bow ties and cravats, of silk, not knit","#9c9a87
","array([ 7.17262825, -2.10224553])"
113,6303,0,15.411376953125,"array([2629.49206543, 2150.85290527])","Curtains drapes blinds valances, cotton, knit","#33cc00
","array([ 5.96991826, -1.52164538])"
114,6306,0,15.263671875,"array([2652.15185547, 2091.49975586])","Tarpaulins, awnings and sunblinds, of cotton","#33cc00
","array([ 5.93402436, -1.47832964])"
115,9603,0,15.75,"array([2598.15454102, 2147.30761719])",Brooms/brushes of vegetable material,"#33cc00
","array([ 5.98160689, -1.54856052])"
116,8430,0,17.32666015625,"array([1632.45715332, 1983.21594238])",Pile-drivers and pile-extractors,"#299fff
","array([ 6.4115723 , -2.26401288])"
117,6404,0,16.453125,"array([2737.10327148, 2560.17089844])","Sports footwear, sole rubber or plastic, upper textil","#33cc00
","array([ 6.16843925, -1.51661602])"
118,6505,0,15.406982421875,"array([2728.00695801, 2631.08081055])",Hair-nets of any material,"#33cc00
","array([ 6.19405174, -1.3731733 ])"
119,6001,0,15.248779296875,"array([2805.43908691, 2482.07226562])",Long pile knit or crochet textile fabric,"#33cc00
","array([ 6.11772148, -1.35938851])"
120,8461,0,15.327880859375,"array([1639.47766113, 2828.20214844])",Metal planing machines,"#299fff
","array([ 6.43134737, -2.40994074])"
121,3304,0,18.77099609375,"array([1705.73571777, 2827.17675781])",Lip make-up preparations,"#6e451e
","array([ 6.55297569, -2.21564737])"
122,8548,0,15.42822265625,"array([1314.45739746, 2553.88452148])","Electrical parts of machinery and apparatus, nes","#99ffff
","array([ 6.66035693, -1.99020738])"
123,7208,0,28.004150390625,"array([2205.0369873 , 2047.86712646])","Hot rolled iron or non-alloy steel, coil,w >600mm, t >10mm, myp 355 mpa","#330000
","array([ 5.94251096, -2.20900161])"
124,8415,0,20.153076171875,"array([1359.23583984, 2659.89282227])","Air conditioners window/wall types, self-contained","#99ffff
","array([ 6.57194677, -2.04432012])"
125,9606,0,15.119873046875,"array([2767.40686035, 2536.49780273])","Press-fasteners, snap-fasteners and press-studs, part","#33cc00
","array([ 6.14075427, -1.45522524])"
126,4002,0,17.94189453125,"array([1377.32836914, 2158.64611816])",Styrene-butadiene rubber (SBR/XSBR) latex,"#9c219c
","array([ 6.66711851, -1.79620836])"
127,1512,0,15.983154296875,"array([2303.30603027, 2660.8762207 ])","Sunflower-seed or safflower oil, crude","#d1ff00
","array([ 6.22417276, -1.65939824])"
128,8423,0,15.378662109375,"array([1302.60119629, 2483.7565918 ])","Personal weighing machines, baby & household scales","#99ffff
","array([ 6.64121559, -1.96800634])"
129,3603,0,15.039794921875,"array([2320.52819824, 2645.67333984])","Safety or detonating fuses, detonators, igniters","#9c9a87
","array([ 6.25734083, -1.66771436])"
130,8531,0,17.515625,"array([1340.95654297, 2563.11157227])",Burglar or fire alarms and similar apparatus,"#99ffff
","array([ 6.69440791, -2.03959147])"
131,9503,0,19.57958984375,"array([1199.49707031, 2829.61425781])","Electric trains, train sets, etc","#99ffff
","array([ 6.86809758, -1.89177973])"
132,8521,0,17.521484375,"array([1173.37585449, 2729.5012207 ])","Video recording/reproducing apparatus, magnetic tape","#99ffff
","array([ 6.87558368, -1.92753548])"
133,8525,0,43.57763671875,"array([1087.8079834 , 2544.99072266])","Transmission apparatus for radio, telephone and TV","#99ffff
","array([ 6.85570775, -1.98659841])"
134,9207,0,15.181884765625,"array([1191.11645508, 2468.63330078])",Keyboard instruments electrical/requiring amplifier,"#99ffff
","array([ 6.86609609, -2.11887675])"
135,8507,0,19.291015625,"array([1340.52148438, 2699.88208008])",Lead-acid electric accumulators (vehicle),"#99ffff
","array([ 6.73947856, -1.9052047 ])"
136,9506,0,18.131591796875,"array([1284.90246582, 2784.90844727])",Snow-skis and parts,"#99ffff
","array([ 6.76731044, -2.12710764])"
137,9020,0,15.0068359375,"array([1475.09448242, 2707.37475586])",Breathing appliances and gas masks,"#299fff
","array([ 6.62257294, -2.07586681])"
138,8706,0,15.5458984375,"array([1463.734375  , 2746.65722656])",Motor vehicle chassis fitted with engine,"#299fff
","array([ 6.60818626, -2.03020566])"
139,8476,0,15.14501953125,"array([1504.37634277, 2219.14819336])",Automatic food-vendors with heating or refrigeration,"#299fff
","array([ 6.51124338, -1.97603572])"
140,3104,0,18.715087890625,"array([1534.22680664, 2021.23651123])","Carnallite, sylvite, crude potassium salts nes, >10kg","#330000
","array([ 6.54176711, -2.31319096])"
141,4301,0,15.2119140625,"array([1524.94348145, 2128.38427734])","Raw mink furskins, whole","#d1ff00
","array([ 6.48097886, -2.19637629])"
142,5512,0,15.31591796875,"array([2687.77172852, 2619.73046875])",Woven fabric >85% polyester staple fibre unbl/bleache,"#33cc00
","array([ 6.29256107, -1.5550898 ])"
143,6403,0,22.4775390625,"array([2697.41381836, 2468.47973633])","Ski footwear, with uppers of leather","#33cc00
","array([ 6.13231244, -1.62335884])"
144,6302,0,17.239990234375,"array([2664.72375488, 2464.49853516])","Bed linen, of textile knit or crochet materials","#33cc00
","array([ 6.13138151, -1.6397801 ])"
145,5516,0,15.162109375,"array([2621.328125  , 2619.95800781])","Woven fabric <85% artif staple fibres, unbl/bleached","#33cc00
","array([ 6.38320763, -1.63726281])"
146,8480,0,17.050048828125,"array([1687.36352539, 2231.77270508])","Boxes, moulding, for metal foundry","#299fff
","array([ 6.26353467, -2.05022823])"
147,8419,0,20.944580078125,"array([1650.6270752 , 2359.89526367])",Instantaneous gas water heaters,"#299fff
","array([ 6.35312816, -1.98076871])"
148,6002,0,17.642578125,"array([2768.64013672, 2464.83666992])","Knit or crochet fabric, width <30 cm, >5% elastomer","#33cc00
","array([ 6.09868167, -1.45492626])"
149,8537,0,19.8756103515625,"array([1905.12811279, 2307.03393555])","Electrical control and distribution boards, < 1kV","#299fff
","array([ 6.24777368, -1.93594806])"
150,6112,0,15.446533203125,"array([2570.55944824, 2354.35119629])","Track suits, of cotton, knit","#33cc00
","array([ 6.11793387, -1.66949237])"
151,6107,0,15.5966796875,"array([2548.87573242, 2426.29846191])","Mens, boys underpants or briefs, of cotton, knit","#33cc00
","array([ 6.09400504, -1.66764924])"
152,8485,0,16.181884765625,"array([1674.99401855, 2266.13024902])",Ships or boats propellers and blades thereof,"#299fff
","array([ 6.34097036, -1.98616148])"
153,8421,0,22.1240234375,"array([1577.35107422, 2357.34155273])",Cream separators,"#299fff
","array([ 6.39354428, -1.95941322])"
154,5906,0,15.037841796875,"array([1726.38146973, 2117.60400391])",Rubberised textile adhesive tape < 20cm wide,"#299fff
","array([ 6.32314507, -2.14635686])"
155,8467,0,16.185791015625,"array([1627.8560791 , 2232.00439453])","Tools for working in the hand, pneumatic rotary type","#299fff
","array([ 6.35013716, -2.04844892])"
156,8529,0,26.498779296875,"array([1279.65661621, 2646.4699707 ])",Aerials and aerial reflectors,"#99ffff
","array([ 6.68382836, -2.00667353])"
157,8475,0,15.400390625,"array([1549.01525879, 2403.77514648])","Machines to assemble electric lamps, glass envelope","#299fff
","array([ 6.41731669, -1.9609548 ])"
158,3215,0,16.394775390625,"array([1315.69921875, 2179.57897949])","Printing ink, black","#9c219c
","array([ 6.43918721, -1.82452257])"
159,2910,0,15.447509765625,"array([1161.77478027, 2169.80517578])",Oxirane (ethylene oxide),"#9c219c
","array([ 6.66335552, -1.83204301])"
160,3702,0,15.4365234375,"array([1167.45776367, 2204.01501465])","Photographic film, rolls, for x-ray","#9c219c
","array([ 6.69018138, -1.80059446])"
161,8545,0,15.854248046875,"array([1703.61486816, 2737.46020508])",Carbon and graphite furnace electrodes,"#299fff
","array([ 6.43002712, -2.13743092])"
162,2712,0,15.622314453125,"array([1572.57385254, 2019.8659668 ])",Petroleum jelly,"#9c9a87
","array([ 6.44525823, -1.57518471])"
163,7312,0,15.93798828125,"array([2149.21118164, 2107.75952148])","Stranded steel wire/cable/etc, no electric insulation","#299fff
","array([ 6.0106207 , -2.16456416])"
164,4703,0,18.97125244140625,"array([1023.63729858, 2251.94262695])","Chem wood pulp, soda or sulphate, conifer, unbleached","#9c219c
","array([ 6.86591216, -1.5041269 ])"
165,7206,0,15.249755859375,"array([1563.43493652, 2077.12902832])","Iron or non-alloy steel in ingots, <99.94% iron","#299fff
","array([ 6.42476692, -1.63053801])"
166,7907,0,15.0244140625,"array([1988.54455566, 2276.11474609])","Zinc fabricated building components (gutters,etc)","#299fff
","array([ 6.18717242, -1.91555433])"
167,8205,0,15.80810546875,"array([1859.64672852, 2525.54638672])","Drilling, threading or tapping tools","#299fff
","array([ 6.26068541, -2.00045074])"
168,8501,0,21.466064453125,"array([2066.57971191, 2322.63183594])",Electric motors of an output < 37.5 watts,"#299fff
","array([ 6.15950897, -1.90774247])"
169,3926,0,22.760009765625,"array([1848.81982422, 2295.46899414])",Plastic office and school articles and supplies,"#299fff
","array([ 6.26141817, -1.93308558])"
170,7306,0,19.15673828125,"array([2294.5300293 , 2354.03625488])","Pipe (oil/gas line) iron or steel nes, diameter <406m","#ff0000
","array([ 6.12470932, -1.80727943])"
171,7321,0,16.115234375,"array([2175.0612793 , 2364.80029297])","Cooking appliances for gas fuel, etc, iron or steel","#ff0000
","array([ 6.17787803, -1.85895796])"
172,7314,0,15.646484375,"array([2160.99316406, 2333.72729492])",Woven products of stainless steel,"#299fff
","array([ 6.1500389 , -1.83146248])"
173,4421,0,15.675048828125,"array([2177.20788574, 2329.54077148])",Clothes hangers of wood,"#299fff
","array([ 6.16211367, -1.84392736])"
174,8455,0,16.063232421875,"array([1593.67041016, 2222.2746582 ])","Tube mills, metal rolling","#299fff
","array([ 6.37010705, -2.03035974])"
175,3916,0,15.6953125,"array([1719.41772461, 2479.85864258])","Monofilament(>1mm), rods, etc, ethylene polymers","#299fff
","array([ 6.24889647, -2.03524302])"
176,4205,0,15.1240234375,"array([2059.45922852, 2280.52392578])","Articles of leather and composition leather, nes","#299fff
","array([ 6.11697064, -1.93633596])"
177,3908,0,16.63720703125,"array([1285.25146484, 2216.3815918 ])","Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","#9c219c
","array([ 6.53572788, -1.80515681])"
178,8703,0,56.369384765625,"array([1929.63781738, 2402.33764648])",Automobiles,"#299fff
","array([ 6.24195874, -1.98088095])"
179,2915,0,16.767822265625,"array([1357.30053711, 2356.08947754])",Formic acid,"#9c219c
","array([ 6.46001995, -1.84040391])"
180,8401,0,15.658447265625,"array([1328.84899902, 2016.89874268])",Nuclear reactors,"#9c219c
","array([ 6.59445294, -1.87225935])"
