# index, label, source, value, _pos
29,amliberal.com/blog,"Blogarama,BlogCatalog,eTalkingHead",0,"array([ 12.95812371, -20.04404157])"
30,amptoons.com/blog,LeftyDirectory,0,"array([19.20066313, -7.79528946])"
31,anarchyxero.robfindlay.org,Blogarama,0,"array([14.64557323, -6.57102613])"
32,andifeelfine.blogspot.com,BlogCatalog,0,"array([25.88337549, -9.21634836])"
33,andymatic.com,Blogarama,0,"array([23.49774823, -9.73440882])"
34,angrybear.blogspot.com,LabeledManually,0,"array([19.4602815 , -9.17375428])"
35,angrydesi.typepad.com,eTalkingHead,0,"array([14.76911884, -8.46275245])"
36,angryfinger.org,CampaignLine,0,"array([ 18.38496466, -16.37141118])"
37,angryhomo.blogspot.com,Blogarama,0,"array([ 24.46336536, -11.78430534])"
38,annatopia.com/home.html,LeftyDirectory,0,"array([ 16.76965556, -11.52755067])"
39,anoldsoul.blogspot.com,LeftyDirectory,0,"array([16.9350324 , -9.35774437])"
40,anonymoussources.blogspot.com,"Blogarama,LeftyDirectory",0,"array([ 18.77842552, -14.12794963])"
41,answerguy.blogspot.com,Blogarama,0,"array([14.88393731, -7.93601248])"
42,anybodybutbushyall.blogspot.com,Blogarama,0,"array([24.56184799, -8.64926376])"
43,anywhichway.net,Blogarama,0,"array([ 23.99239543, -16.9286181 ])"
44,arancaytar.blogspot.com,"BlogCatalog,eTalkingHead",0,"array([ 17.42552917, -15.5644236 ])"
45,archpundit.com,BlogPulse,0,"array([16.36480837, -8.77967139])"
46,arkansastonight.com,Blogarama,0,"array([11.40425644, -8.6226169 ])"
47,asian-nation.org/headlines/index.php,BlogCatalog,0,"array([ 55.58420076, -44.65616111])"
48,asiegeofherons.blogspot.com,Blogarama,0,"array([ 31.13656795, -61.58898775])"
49,asilentrevolution.blogspot.com,BlogCatalog,0,"array([-5.74611644, 41.5602144 ])"
50,askhoudari.blogspot.com,Blogarama,0,"array([ 19.73875085, -17.60570068])"
51,astroturf.uni.cc,BlogCatalog,0,"array([ 20.18039349, -18.41793973])"
52,atease.blogspot.com,Blogarama,0,"array([ 21.07317665, -13.56576081])"
53,atomicairship.com,"Blogarama,eTalkingHead",0,"array([56.05665872, 36.86229262])"
54,atrios.blogspot.com,"BlogPulse,LeftyDirectory,CampaignLine",0,"array([18.14173424, -8.96706976])"
55,atrios.blogspot.com/ ,LabeledManually,0,"array([18.94568499, -9.53920169])"
56,aurelientt.blogspot.com,Blogarama,0,"array([-41.10061714, -16.15677874])"
57,awards5.tripod.com/tarasblog,BlogCatalog,0,"array([23.02546437, -7.85018947])"
58,b-patton.blogspot.com,Blogarama,0,"array([ 25.43178088, -15.83521172])"
59,babylon.squarespace.com,Blogarama,0,"array([-34.84316438,  23.47630966])"
60,badattitudes.com/mt,LeftyDirectory,0,"array([ 19.82452729, -63.04786781])"
61,bakshi.us/redskunk,Blogarama,0,"array([ 16.73159087, -17.69940188])"
62,barcidhomily.com,CampaignLine,0,"array([67.97660682, 22.13578406])"
63,barkingdingo.blogspot.com,"Blogarama,eTalkingHead",0,"array([22.28235291, -7.7279901 ])"
64,bartcop.com,CampaignLine,0,"array([ 17.93421262, -12.13497326])"
65,battleground-wisconsin.blogspot.com,"Blogarama,LabeledManually",0,"array([ 17.32159316, -19.16896705])"
66,battlegroundstates.blogspot.com,Blogarama,0,"array([  9.51591309, -10.77541568])"
67,beastsbelly.blogspot.com,eTalkingHead,0,"array([16.50226823, -7.50015653])"
68,bentcorner.blogspot.com,BlogCatalog,0,"array([ 12.77174455, -14.15261286])"
69,bettyblog.com,CampaignLine,0,"array([ 17.31567794, -11.89940728])"
70,bigbloosky.blogspot.com,BlogCatalog,0,"array([ 40.62617227, -62.46993385])"
71,billmon.org,LeftyDirectory,0,"array([17.68302014, -9.02671443])"
72,billsrants.blogspot.com,Blogarama,0,"array([ 15.22314056, -10.40408505])"
73,blackwingleftbird.blogspot.com,Blogarama,0,"array([ 10.83815302, -66.06009115])"
74,blog.dccc.org,LabeledManually,0,"array([17.81197598, -9.87713018])"
75,blog.dennisfox.net,eTalkingHead,0,"array([ 9.55373595, -6.3100777 ])"
76,blog.glinka.com,Blogarama,0,"array([ 19.0062676 , -15.85779491])"
77,blog.johnkerry.com,"BlogPulse,CampaignLine",0,"array([ 20.61184911, -11.51579164])"
78,blog.kenlan.net,Blogarama,0,"array([13.66699986, -9.76593871])"
79,blog.mintruth.com,Blogarama,0,"array([22.61816734, -7.10033437])"
80,blog.veggiedude.com,Blogarama,0,"array([11.79764578, -4.81256131])"
81,blog01.kintera.com/dnccblog,CampaignLine,0,"array([15.33277483, -9.6402275 ])"
82,blog01.kintera.com/emilysblog,CampaignLine,0,"array([ 8.55526393, -9.67504933])"
83,bloganonymous.com,CampaignLine,0,"array([15.23838599, -5.99053394])"
84,blogforamerica.com,"BlogPulse,LabeledManually,CampaignLine",0,"array([ 17.01264729, -11.68689937])"
85,blogforarizona.com,"LeftyDirectory,eTalkingHead",0,"array([ 15.83537706, -16.52137417])"
86,blogfreeordie.blogspot.com,Blogarama,0,"array([14.0417995, -7.3164318])"
87,blogitics.com,eTalkingHead,0,"array([24.35845717, -9.45678927])"
88,blogs.salon.com/0002874,LeftyDirectory,0,"array([19.24044759, -8.11937182])"
89,blogs.salon.com/0003364,Blogarama,0,"array([19.65579517, -9.74069281])"
90,blogs.salon.com/0004024,Blogarama,0,"array([  5.36495276, -53.66604636])"
91,blogslut.com,eTalkingHead,0,"array([13.27249498, -7.35695662])"
92,blosteam.blogspot.com,Blogarama,0,"array([12.56608293, -6.81987338])"
93,blotts.org/polilog,Blogarama,0,"array([66.78000637,  4.95157154])"
94,bluegrassroots.blogspot.com,Blogarama,0,"array([ 15.12220418, -13.32921127])"
95,bluelemur.com,LeftyDirectory,0,"array([ 20.25361424, -13.23798609])"
96,blueoregon.com,CampaignLine,0,"array([ 16.74553397, -13.50715795])"
97,bluestateredstate.blogspot.com,BlogCatalog,0,"array([ 13.36591563, -12.4470336 ])"
98,bodyandsoul.typepad.com,"LeftyDirectory,LabeledManually",0,"array([18.08023376, -9.50349746])"
99,boffo.typepad.com,Blogarama,0,"array([16.07073858, -8.53935971])"
100,boloboffin.blogspot.com,Blogarama,0,"array([ 17.99754275, -10.08011745])"
101,bopnews.com,"BlogPulse,CampaignLine",0,"array([ 17.76554121, -10.2969162 ])"
102,boston.com/news/blogs/dnc,CampaignLine,0,"array([ 14.31225936, -12.78144694])"
103,bowles2004.com/weblog,CampaignLine,0,"array([  7.87467141, -11.06553747])"
104,boycottsbg.com,LabeledManually,0,"array([ 10.02086394, -15.35864599])"
105,bradcarson.com/blog,CampaignLine,0,"array([ 23.03192117, -18.10940671])"
106,bradfriedman.com/bradblog,CampaignLine,0,"array([ 21.60295747, -13.74132965])"
107,brianhull.net,Blogarama,0,"array([ 11.97830408, -58.93249078])"
108,brilliantatbreakfast.blogspot.com,Blogarama,0,"array([ 18.63377096, -10.77459507])"
109,browncross.com/usualsuspects,Blogarama,0,"array([ 22.40185728, -13.57622022])"
110,brunon.blogspot.com ,LabeledManually,0,"array([-23.55302226,  18.68193018])"
111,bryan08.tk,Blogarama,0,"array([62.77544314, 29.39016625])"
112,btcnews.com/btcnews,"Blogarama,LeftyDirectory",0,"array([20.50467185, -8.02804103])"
113,bullmooseblog.com,"LabeledManually,CampaignLine",0,"array([ 15.62074139, -10.17226352])"
114,burntorangereport.com,"BlogPulse,CampaignLine",0,"array([16.58505112, -8.54026661])"
115,bushlies.net/pages/10/index.htm,CampaignLine,0,"array([ 19.76065395, -19.41906223])"
116,bushmisunderestimated.blogspot.com,CampaignLine,0,"array([21.56773223, -8.06283968])"
117,busybusybusy.com,LeftyDirectory,0,"array([18.39446964, -9.42717153])"
118,buzzmachine.com,"BlogPulse,LeftyDirectory",0,"array([18.76893863, -5.96325895])"
119,cadat.nl,Blogarama,0,"array([-19.8384604 ,  30.71865352])"
120,carpetblogger.com,Blogarama,0,"array([ 17.86363476, -13.43548521])"
121,catchingsmoke.blogspot.com,Blogarama,0,"array([ 5.89424243, 53.95671035])"
122,cbaker.org/blog,Blogarama,0,"array([ 15.67313902, -12.62934217])"
123,cemonitor.blogspot.com,Blogarama,0,"array([15.12204448, -9.33532587])"
124,centerpiece.blogspot.com,Blogarama,0,"array([ 20.87245094, -12.55600169])"
125,chak.org/blog,Blogarama,0,"array([48.83619617, 42.22632913])"
126,changeforamerica.com/blog,CampaignLine,0,"array([ 18.92018695, -13.57875583])"
127,charleypatton.blogspot.com,"BlogCatalog,eTalkingHead",0,"array([10.38394108, -9.44585087])"
128,charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48,Blogarama,0,"array([ 25.33952395, -16.9397365 ])"
129,chepooka.com,"Blogarama,eTalkingHead",0,"array([21.43576058, -8.54371915])"
130,chestnut_tree.blogspot.com,Blogarama,0,"array([-29.93919092,  15.493257  ])"
131,chiron.typepad.com,Blogarama,0,"array([20.86939363, -7.39890614])"
132,churchofcriticalthinking.com,Blogarama,0,"array([ 9.55940423, -8.83334152])"
133,civicactions.com,Blogarama,0,"array([74.84308328,  3.95859502])"
134,cjh9999.blog-city.com,Blogarama,0,"array([ 46.74852213, -55.4436877 ])"
135,clarified.blogspot.com,"LeftyDirectory,eTalkingHead",0,"array([17.15615112, -6.04287693])"
136,claudialong.com/blog,eTalkingHead,0,"array([16.02158432, -9.56217561])"
137,cleancutkid.com,Blogarama,0,"array([ 18.14252639, -12.96098441])"
138,cnle.net,BlogCatalog,0,"array([26.83496013, 42.8912663 ])"
139,collegedems.com/blog,CampaignLine,0,"array([ 15.85604472, -10.52534342])"
140,conniptions.net,Blogarama,0,"array([ 15.16187827, -16.05195609])"
141,conservativessuck.blogspot.com,"Blogarama,LeftyDirectory",0,"array([22.36781519, -9.30046216])"
142,contrapositive.blogspot.com,eTalkingHead,0,"array([ 22.08045879, -11.96226047])"
143,corrente.blogspot.com,LabeledManually,0,"array([17.77757828, -9.59529225])"
144,counterspin.blogspot.com,"BlogPulse,LeftyDirectory",0,"array([ 19.82837024, -10.23831649])"
145,courtney5.us/drew,Blogarama,0,"array([-34.17040948,  -1.73176097])"
146,crankylittleblog.blogspot.com,Blogarama,0,"array([ 21.38768942, -12.90256217])"
147,crapiscommon.blogspot.com,"Blogarama,BlogCatalog",0,"array([-32.33082353, -39.02061092])"
148,criticalviewer.com,Blogarama,0,"array([13.58005667, -7.98571212])"
149,crookedtimber.org,LeftyDirectory,0,"array([18.32150543, -7.46534988])"
150,crooksandliars.com,Blogarama,0,"array([17.02909614, -6.61574265])"
151,dailyblatt.blogspot.com,Blogarama,0,"array([ 27.14234045, -11.43996565])"
152,dailyblurb.blogspot.com,"Blogarama,BlogCatalog",0,"array([ 69.23134773, -23.10810594])"
153,dailyhowler.com,LeftyDirectory,0,"array([17.61467417, -9.39061939])"
154,dailykos.com,"LeftyDirectory,LabeledManually,CampaignLine",0,"array([18.17522188, -9.24363867])"
155,dailywarnews.blogspot.com,LabeledManually,0,"array([ 19.23956241, -10.17188963])"
156,damntheman.net,CampaignLine,0,"array([ 15.14363465, -12.19908805])"
157,dashnier.blogspot.com,BlogCatalog,0,"array([ 26.32802137, -10.28428091])"
158,davidsirota.com,LeftyDirectory,0,"array([ 18.66735104, -11.09072785])"
159,dawnofnewamerica.blogspot.com,BlogCatalog,0,"array([ 16.80694318, -11.11993896])"
160,deanocrats.com,Blogarama,0,"array([ 71.55930771, -13.19829085])"
161,deathpenaltyusa.blogspot.com,"LeftyDirectory,eTalkingHead",0,"array([ 15.97361362, -10.90111297])"
162,debunker.net,Blogarama,0,"array([ 23.0754769, -12.137996 ])"
163,decksitters.my-expressions.com,BlogCatalog,0,"array([71.56403131, -2.81394169])"
164,dedspace.blogspot.com,Blogarama,0,"array([ 18.81819346, -11.41587536])"
165,delraysteve.com/blog,Blogarama,0,"array([ 10.15442417, -11.53838032])"
166,demagogue.blogspot.com,"LeftyDirectory,eTalkingHead",0,"array([17.85086959, -8.21187511])"
167,demleft.blogspot.com,"LeftyDirectory,LabeledManually",0,"array([ 18.05059454, -12.5287091 ])"
168,democrants.blogspot.com,CampaignLine,0,"array([-37.17794693, -29.56773506])"
169,democraticunderground.com,"LabeledManually,CampaignLine",0,"array([19.78048437, -7.52620105])"
170,democratreport.blogspot.com,BlogCatalog,0,"array([ 12.11204921, -19.39754218])"
171,democrats.org/blog,LabeledManually,0,"array([ 16.77409387, -10.07075984])"
172,democratvoice.org,Blogarama,0,"array([15.83056134, 12.23611933])"
173,demoliberal.blogspot.com,Blogarama,0,"array([76.61654829, 12.19936297])"
174,dems2000.net,Blogarama,0,"array([ 23.15612915, -12.66978262])"
175,dems2004.com/blog,CampaignLine,0,"array([-31.55614254,  11.4291329 ])"
176,dems2004.org/blog,CampaignLine,0,"array([15.26601231, -8.93496783])"
177,denisdekat.com,Blogarama,0,"array([15.14446004, -6.88921009])"
178,dewar.journalspace.com,eTalkingHead,0,"array([15.40565228, -6.52546668])"
179,digbysblog.blogspot.com,"BlogPulse,LeftyDirectory",0,"array([17.9145701 , -9.04947443])"
180,digestiblenews.blogspot.com,Blogarama,0,"array([15.67734646, -8.60854376])"
181,digital-democrat.blogspot.com,Blogarama,0,"array([21.68154844, 44.97812148])"
182,digitaldissent.blogspot.com,eTalkingHead,0,"array([39.74684713, 47.27360729])"
183,digitaljay.blogspot.com,"LeftyDirectory,eTalkingHead",0,"array([ 8.86046127, -0.95232137])"
184,dimmykarras.blogspot.com,eTalkingHead,0,"array([22.39519606, -8.81427175])"
185,dir.salon.com/topics/joe_conason/index.html,LabeledManually,0,"array([ 14.08089245, -10.29733068])"
186,discourse.net,BlogPulse,0,"array([19.25528596, -8.43276071])"
187,diypolitics.blogdrive.com,Blogarama,0,"array([ 18.23882245, -14.22729134])"
188,dneiwert.blogspot.com,"LeftyDirectory,eTalkingHead",0,"array([17.46272427, -9.1675581 ])"
189,dogfight04.typepad.com,eTalkingHead,0,"array([21.01243087, -9.03925139])"
190,dohiyimir.typepad.com,LabeledManually,0,"array([16.69809427, -9.18407722])"
191,dolphinsdock.com/blog,"Blogarama,LeftyDirectory,BlogCatalog,eTalkingHead",0,"array([14.70895004, -9.83543142])"
192,donkey2004.blogspot.com,"Blogarama,LeftyDirectory,BlogCatalog",0,"array([ 20.31449945, -16.95425934])"
193,donspoliticalblog.blogspot.com,Blogarama,0,"array([ 17.07512412, -14.42919556])"
194,doublespeakez.blogspot.com,Blogarama,0,"array([ 14.11607083, -62.69887989])"
195,doubter.blogspot.com,eTalkingHead,0,"array([-15.28431695, -41.86627506])"
196,drugwarmovie.com/drugwarmovie/weblog/blogger.html,Blogarama,0,"array([-24.40965519, -43.29411591])"
197,duckdaotsu.blogspot.com,Blogarama,0,"array([ 24.66788858, -13.78901107])"
198,dygital.blogspot.com,BlogCatalog,0,"array([-27.40841611,  27.57956983])"
199,dystopia.blog-city.com,"Blogarama,LeftyDirectory",0,"array([ 18.64933204, -15.02619172])"
200,eastbaykerry.com,Blogarama,0,"array([ 11.5799912 , -15.65445034])"
201,elayneriggs.blogspot.com,LeftyDirectory,0,"array([18.40202531, -9.1814608 ])"
202,elderbearden.blogspot.com,Blogarama,0,"array([21.07092569,  3.6213079 ])"
203,electablog.com,BlogPulse,0,"array([19.10425068, -8.798727  ])"
204,elemming2.blogspot.com,"Blogarama,LeftyDirectory",0,"array([ 16.21398005, -10.47792805])"
205,elfoflight.blogspot.com,BlogCatalog,0,"array([79.26156622, -3.45665341])"
206,elissa.typepad.com,BlogCatalog,0,"array([14.05818455, -9.44941189])"
207,eltcamerica.blogspot.com,Blogarama,0,"array([ 5.81116406, -3.90379892])"
208,emergingdemocraticmajority.com,LabeledManually,0,"array([15.94596531, -9.19566526])"
209,emergingdemocraticmajorityweblog.com/donkeyrising,LabeledManually,0,"array([18.27479032, -9.95093245])"
210,emptyisform.com,Blogarama,0,"array([21.23520907, -7.61835696])"
211,endthenightmare.blogspot.com,"Blogarama,eTalkingHead",0,"array([ 22.81914592, -19.48894178])"
212,enemykombatant.blogspot.com,BlogCatalog,0,"array([16.93339309,  7.64970288])"
213,enlightenedbelle.blogspot.com,Blogarama,0,"array([ 60.47399552, -49.90598633])"
214,ergio.blogspot.com,eTalkingHead,0,"array([ 6.5516018 , -6.54193703])"
215,estropundit.blogspot.com,eTalkingHead,0,"array([28.51362863, -0.75573723])"
216,etherealgirl.blogspot.com,Blogarama,0,"array([ 20.81811683, -10.71594619])"
217,fafblog.blogspot.com,LeftyDirectory,0,"array([18.82470674, -8.28581229])"
218,fairshot.org,Blogarama,0,"array([19.14104966, -9.80289041])"
219,farleft.blogspot.com,eTalkingHead,0,"array([ 20.50055361, -12.10984455])"
220,fidlet.com,Blogarama,0,"array([-27.47711341,   9.99795284])"
221,fiercepoet.com,BlogCatalog,0,"array([ 22.55012696, -15.30979386])"
222,flagrancy.net,"Blogarama,LeftyDirectory",0,"array([19.32762426, -7.43801469])"
223,folkbum.blogspot.com,"Blogarama,LeftyDirectory",0,"array([15.71840143, -8.93165966])"
224,forewarned.blogspot.com,eTalkingHead,0,"array([ 8.35151118, -3.12446053])"
225,freakinliberals.com/blog_a,"Blogarama,BlogCatalog",0,"array([ 74.01150099, -30.87681393])"
226,frederickclarkson.com,"Blogarama,eTalkingHead",0,"array([ 14.59712255, -10.34893387])"
227,freedompress.blogspot.com,Blogarama,0,"array([ 74.66991093, -16.4466541 ])"
228,fromtheroots.org,CampaignLine,0,"array([ 16.39156926, -10.18279177])"
229,fuckthisblog.blogspot.com,Blogarama,0,"array([28.59895369, -4.42817147])"
230,futuraworkz.com,BlogCatalog,0,"array([ 22.82789721, -66.45760324])"
231,gabeanderson.com/life,Blogarama,0,"array([27.73377639, 54.56794609])"
232,gadflyer.com,LabeledManually,0,"array([ 17.81666407, -11.03350586])"
233,gaijincory.com,BlogCatalog,0,"array([-30.09583381,  23.59721169])"
234,garbage-house.com,Blogarama,0,"array([ 12.15174928, -16.58339508])"
235,garrulus.ilcannocchiale.it,BlogCatalog,0,"array([-13.80346809,  41.38034424])"
236,georgewbuy.blogspot.com,CampaignLine,0,"array([ 28.48482264, -10.62365302])"
237,gisleson.com/blog,"Blogarama,CampaignLine",0,"array([19.97003482, -9.673928  ])"
238,global-equality.org/news/blog/index.shtml,"Blogarama,eTalkingHead",0,"array([ 13.98245774, -13.97729279])"
239,gloomanddoom.blogspot.com,"Blogarama,BlogCatalog",0,"array([52.74184158, 39.97039292])"
240,goose3five.blogspot.com,"Blogarama,LeftyDirectory,BlogCatalog",0,"array([19.96599299, -9.08214961])"
241,gotzfamily.org/weblog,Blogarama,0,"array([-29.72862706,   0.79032354])"
242,grassrootsmom.blogspot.com,CampaignLine,0,"array([ 19.37169925, -12.43546456])"
243,grassrootsnation.com,eTalkingHead,0,"array([ 13.33314409, -14.46759162])"
244,greaterdemocracy.org,CampaignLine,0,"array([ 16.70160772, -12.91883514])"
245,greendogdemocrat.blogspot.com,CampaignLine,0,"array([ 13.08824205, -15.72349753])"
246,greentit.com,Blogarama,0,"array([-38.11676538,  -4.112024  ])"
247,gregpalast.com,LabeledManually,0,"array([ 18.29971294, -12.11924609])"
248,grupo-utopia.com/blog/isou,LabeledManually,0,"array([20.4072066 , -6.44455429])"
249,hal9000report.blogdrive.com,BlogCatalog,0,"array([ 22.67937134, -11.66204238])"
250,halcyondays.info,eTalkingHead,0,"array([-42.07165426,  -1.41051574])"
251,hategun.com,BlogCatalog,0,"array([ 11.18991358, -14.79437559])"
252,hellafaded.blogspot.com,Blogarama,0,"array([20.30148722, -7.43502738])"
253,hellofromparis.blogspot.com,eTalkingHead,0,"array([ -6.18699802, -61.31518016])"
254,hellskitchennyc.blogspot.com,BlogCatalog,0,"array([  9.65197481, -13.25850575])"
255,hereswhatsleft.typepad.com,eTalkingHead,0,"array([ 17.16746417, -10.52551892])"
256,hereswhatsleft.typepad.com/home,"Blogarama,LeftyDirectory",0,"array([16.31101576, -9.53955059])"
257,heysucka.blogspot.com,Blogarama,0,"array([71.89550114, -8.13832863])"
258,higherpieproductions.com,"Blogarama,LeftyDirectory,BlogCatalog,LabeledManually",0,"array([ 17.23659236, -10.83493874])"
259,hoeffelforsenate.com/blog,CampaignLine,0,"array([-42.12885631,  -6.48833887])"
260,home.att.net/~dbarnhill,Blogarama,0,"array([ 28.94088798, -65.70267794])"
261,home.att.net/~gentle.reader,LabeledManually,0,"array([ 13.2667812 , -10.89602138])"
262,home.earthlink.net/~cdowner,Blogarama,0,"array([ 46.02571873, -60.00659036])"
263,home.earthlink.net/~fsrhine,"Blogarama,LeftyDirectory,LabeledManually",0,"array([15.44743946, -9.24413082])"
264,home.earthlink.net/~heavy-duty,Blogarama,0,"array([41.54868656, 38.14694701])"
265,home.earthlink.net/~juris_doctor_szh,Blogarama,0,"array([-10.97073724,  33.16012628])"
266,home.earthlink.net/~kevin.omeara,Blogarama,0,"array([13.91057722, -5.25822419])"
267,home.houston.rr.com/skeptical,Blogarama,0,"array([ 18.5619941 , -11.77324942])"
268,homepage.mac.com/elisa_camahort/iblog,BlogCatalog,0,"array([  8.93140923, -11.57325511])"
269,homepage.mac.com/georgia.nesmith/iblog/index.html,Blogarama,0,"array([67.743129  , 13.92935315])"
270,homepage.mac.com/jpbarr/myblog,Blogarama,0,"array([ 9.22410041, 50.72928999])"
271,hotflashesfromthecampaigntrail.blogspot.com,CampaignLine,0,"array([ 26.2507624 , -13.81852559])"
272,hotflashreport.com,eTalkingHead,0,"array([ 15.32935192, -11.7400853 ])"
273,howienfriends.blogspot.com,Blogarama,0,"array([ 18.17603021, -15.2774354 ])"
274,hugozoom.blogspot.com,"Blogarama,LeftyDirectory",0,"array([ 15.62464764, -13.26971723])"
275,ibe.blogspot.com,"Blogarama,BlogCatalog",0,"array([19.80309978, -5.12653104])"
276,ibrutus.com,"Blogarama,BlogCatalog",0,"array([ 19.94864087, -13.73913991])"
277,iddybud.blogspot.com,"Blogarama,LeftyDirectory,eTalkingHead",0,"array([17.10400973, -7.88113829])"
278,idiosyncratictendencies.com,Blogarama,0,"array([ 16.33121717, -14.82968654])"
279,idlehandsmag.com/yellowdog04,BlogCatalog,0,"array([ 22.32114838, -12.52221006])"
280,iflipflop.com,Blogarama,0,"array([ 17.52899632, -12.40764012])"
281,ignatz.blogspot.com,Blogarama,0,"array([ 17.6836246 , -11.88451954])"
282,ihatepatrobertson.com,"Blogarama,BlogCatalog,CampaignLine",0,"array([ 14.88507873, -11.57582898])"
283,ilovecynics.com,Blogarama,0,"array([ 9.75236917, -0.85957508])"
284,in-sub-ordination.blogspot.com,Blogarama,0,"array([50.44631447, 36.70172219])"
285,inez2004.com/blogs,CampaignLine,0,"array([ 43.04303638, -48.89197819])"
286,insanepreschoolmom.blogspot.com,BlogCatalog,0,"array([ 20.66951036, -14.9128832 ])"
287,interestingtimes.blogspot.com,LabeledManually,0,"array([18.5653541 , -9.89959836])"
288,interestingtimes.typepad.com,"Blogarama,eTalkingHead",0,"array([ 18.86879368, -12.06436111])"
289,ironmouth.com,eTalkingHead,0,"array([ 21.460827  , -11.86399573])"
290,irregulartimes.com/blogger.html,"Blogarama,LeftyDirectory",0,"array([ 16.48554809, -18.44555118])"
291,islanddave.blogspot.com,Blogarama,0,"array([ 11.43466344, -10.28096496])"
292,itlookslikethis.blogeasy.com,Blogarama,0,"array([13.61690921, -8.643535  ])"
293,itsabitmuch.blogspot.com,Blogarama,0,"array([-9.70390682, 39.42324027])"
294,ivotedforgeorge.com,eTalkingHead,0,"array([20.90969112, -7.91680532])"
295,iwantmycountryback.org,"eTalkingHead,CampaignLine",0,"array([18.64365257, -6.40172541])"
296,j-bradford-delong.net/movable_type,"LeftyDirectory,eTalkingHead",0,"array([18.34069066, -8.27972206])"
297,jadbury.com,BlogCatalog,0,"array([21.8929708 , -9.51184374])"
298,jadbury.com/blog,"LeftyDirectory,eTalkingHead",0,"array([ 20.91255026, -11.1077574 ])"
299,jadedreality.blogspot.com,"Blogarama,BlogCatalog",0,"array([ 15.7289954 , -12.10505331])"
300,jameswolcott.com,LeftyDirectory,0,"array([18.96674645, -8.50135906])"
301,jamiefeyrer.com,Blogarama,0,"array([ 78.87280398, -14.43220575])"
302,janm.blogspot.com,Blogarama,0,"array([21.87361355, -8.93396649])"
303,jason.unitedworkers.org,Blogarama,0,"array([67.68469169, -0.16816809])"
304,jbcougar.blogspot.com,Blogarama,0,"array([ 14.38349238, -11.83522968])"
305,jcchurch.blogspot.com,Blogarama,0,"array([ 76.15734288, -25.51463064])"
306,jdeeth.blogspot.com,"Blogarama,BlogCatalog",0,"array([14.11020536, -7.86673595])"
307,jeremybrendan.blogspot.com,BlogCatalog,0,"array([ 9.8678471 , -7.06209685])"
308,jetage.blogspot.com,Blogarama,0,"array([12.48579309, -8.93501452])"
309,jewssansfrontieres.blogspot.com,Blogarama,0,"array([ 17.62047419, -14.9054493 ])"
310,jimgilliam.com,"Blogarama,BlogCatalog",0,"array([13.4136893 , -9.14721986])"
311,jimtreacher.com,LeftyDirectory,0,"array([16.96224977, -4.73781984])"
