# source, target, weight
38,202,1
38,1575,1
38,1838,1
41,1257,1
43,387,3
43,890,3
43,1974,2
43,782,2
43,508,2
43,515,2
43,347,2
43,1041,2
43,733,2
43,1802,2
43,90,1
43,1102,1
43,1666,1
43,1597,1
43,1914,1
43,1964,1
43,957,1
43,1749,1
43,1527,1
43,2024,1
43,363,1
43,1992,1
43,1136,1
43,1444,1
43,487,1
44,1143,12
44,1579,3
44,604,2
44,1290,2
44,1935,1
44,343,1
44,1083,1
44,167,1
44,1277,1
44,1962,1
44,998,1
44,902,1
44,736,1
44,954,1
44,107,1
44,840,1
44,1941,1
44,195,1
44,938,1
44,1257,1
44,510,1
44,1294,1
44,1452,1
44,1500,1
44,217,1
44,1439,1
44,520,1
44,216,1
44,1577,1
44,1128,1
44,722,1
44,1994,1
44,402,1
44,410,1
44,716,1
44,91,1
44,1238,1
44,1853,1
44,1997,1
44,649,1
44,1431,1
44,963,1
44,456,1
44,851,1
44,24,1
44,1781,1
44,338,1
44,1521,1
44,1586,1
44,1268,1
44,1596,1
44,826,1
44,1893,1
44,1607,1
44,279,1
44,1193,1
44,960,1
44,1379,1
44,1466,1
44,73,1
46,1257,45
46,998,39
46,1962,37
46,1439,29
46,1500,28
46,1586,28
46,456,27
46,1521,27
46,1893,27
46,1466,27
46,1791,26
46,816,26
46,689,26
46,23,26
46,1742,26
46,411,26
46,1433,26
46,557,26
46,1986,26
46,1178,26
46,1429,26
46,119,26
46,328,26
46,216,26
46,979,26
46,452,26
46,1018,26
46,889,26
46,1585,26
46,305,26
46,265,26
46,1669,26
46,418,26
46,1240,26
46,24,26
46,1838,26
46,1975,26
46,510,25
46,1873,17
46,1973,6
46,1548,3
46,410,3
46,584,3
46,667,3
46,202,2
46,1109,1
50,1892,1
50,750,1
50,2002,1
53,1372,1
53,732,1
53,1985,1
53,2003,1
53,561,1
55,690,18
55,701,6
55,1276,6
56,1668,2
59,1832,7
63,689,8
63,1962,8
63,1429,8
63,418,8
63,456,8
63,1190,6
63,154,6
63,1844,6
63,265,6
63,1010,5
63,555,5
63,1322,5
63,1669,5
63,573,5
63,1875,3
63,2005,3
63,1072,3
63,1717,3
63,557,3
63,510,3
63,1662,3
63,979,3
63,1099,3
63,1628,3
63,1668,3
63,164,3
63,118,3
63,478,2
63,1079,2
63,1918,2
63,826,2
63,332,2
65,221,1
65,848,1
70,1711,2
70,1873,1
73,1935,1
73,1083,1
73,1277,1
73,1962,1
73,998,1
73,604,1
73,902,1
73,736,1
73,954,1
73,107,1
73,840,1
73,1941,1
73,195,1
73,938,1
73,1257,1
73,510,1
73,1290,1
73,1452,1
73,1500,1
73,217,1
73,1439,1
73,520,1
73,216,1
73,1577,1
73,1128,1
73,722,1
73,1994,1
73,402,1
73,716,1
73,91,1
73,1238,1
73,1853,1
73,1997,1
73,649,1
73,1431,1
73,963,1
73,456,1
73,24,1
73,1781,1
73,338,1
73,1521,1
73,1586,1
73,1268,1
73,1596,1
73,826,1
73,1893,1
73,1607,1
73,279,1
73,1193,1
73,960,1
73,1379,1
73,1466,1
74,176,1
74,1898,1
74,1257,1
75,247,1
75,465,1
75,1905,1
79,1158,85
79,1376,74
79,1980,61
79,1443,61
79,1194,60
79,1305,43
79,429,9
79,990,5
79,245,5
79,1549,5
79,1057,5
79,1392,5
79,1423,2
83,411,15
83,1257,15
83,1767,14
83,202,12
83,1873,11
83,1996,8
83,828,8
83,1766,8
83,361,8
83,1562,7
83,584,3
83,1832,3
83,1079,2
83,534,2
83,1705,1
83,1791,1
83,998,1
89,1509,17
89,1668,15
89,478,10
89,464,10
89,1791,9
89,315,9
89,1873,9
89,1575,6
89,510,4
89,712,4
89,265,4
89,164,4
89,1986,3
89,1368,3
89,1877,3
89,1213,2
89,1669,2
89,584,2
89,866,2
89,689,1
89,1673,1
89,555,1
89,1429,1
89,1769,1
89,1240,1
89,1730,1
89,1838,1
89,209,1
90,1974,2
90,782,2
90,508,2
90,515,2
90,387,2
90,1041,2
90,43,2
90,890,2
90,733,2
90,1992,2
90,452,2
90,190,1
90,1102,1
90,1666,1
90,1597,1
90,347,1
90,1914,1
90,1964,1
90,1404,1
90,957,1
90,1749,1
90,1527,1
90,2024,1
90,363,1
90,1136,1
90,1689,1
90,1802,1
90,1444,1
90,487,1
91,1143,10
91,1893,2
91,1935,1
91,998,1
91,604,1
91,902,1
91,954,1
91,840,1
91,1257,1
91,510,1
91,1290,1
91,1452,1
91,217,1
91,1439,1
91,216,1
91,1128,1
91,402,1
91,1853,1
91,1431,1
91,963,1
91,456,1
91,24,1
91,1781,1
91,338,1
91,1521,1
91,826,1
91,279,1
91,1379,1
92,1750,2
92,1873,2
92,150,1
92,1257,1
92,1838,1
95,737,5
95,183,5
95,238,5
95,652,5
95,55,5
95,1902,5
95,1143,5
95,1893,4
95,1257,3
95,510,3
95,1439,3
95,1997,3
95,1898,1
95,964,1
95,1873,1
95,1079,1
95,1662,1
95,851,1
95,1579,1
96,452,2
96,1276,1
103,1257,19
103,1873,9
103,1439,7
103,1997,6
103,557,5
103,1962,4
103,456,4
103,2005,3
103,689,3
103,1429,3
103,154,3
103,449,3
103,1918,3
103,418,3
103,1668,3
103,826,3
103,573,3
103,1791,2
103,462,2
103,1662,2
103,863,2
103,1322,2
103,410,2
103,1119,2
103,1753,2
103,1838,2
103,1750,1
103,33,1
103,1010,1
103,1898,1
103,731,1
103,478,1
103,1079,1
103,1973,1
103,1546,1
103,1279,1
103,584,1
103,619,1
103,851,1
103,1767,1
103,898,1
103,332,1
104,1051,6
104,411,6
104,510,6
104,478,6
104,1439,6
104,1832,6
104,1628,2
104,332,2
107,1935,1
107,1083,1
107,1962,1
107,998,1
107,604,1
107,902,1
107,954,1
107,840,1
107,1941,1
107,195,1
107,938,1
107,1257,1
107,510,1
107,1290,1
107,1452,1
107,1500,1
107,217,1
107,1439,1
107,520,1
107,216,1
107,1577,1
107,1128,1
107,722,1
107,1994,1
107,91,1
107,1238,1
107,1853,1
107,1997,1
107,649,1
107,1431,1
107,963,1
107,456,1
107,24,1
107,1781,1
107,338,1
107,1521,1
107,1586,1
107,1268,1
107,1596,1
107,826,1
107,1893,1
107,1607,1
107,279,1
107,1193,1
107,960,1
107,1379,1
108,1618,8
108,689,8
108,176,8
108,277,8
108,1815,8
108,478,8
108,1429,8
108,1844,8
108,1575,8
108,1877,8
108,418,8
108,1628,8
108,1240,8
108,826,8
108,573,8
108,1975,8
108,1750,6
108,1257,1
108,1997,1
108,682,1
108,1586,1
110,1372,1
110,732,1
110,53,1
110,1985,1
110,1951,1
110,1972,1
110,1792,1
110,188,1
110,1871,1
110,668,1
110,377,1
110,2003,1
110,561,1
110,513,1
110,1325,1
116,2005,9
116,1962,9
116,998,9
116,411,9
116,868,9
116,1134,9
116,10,9
116,557,9
116,1986,9
116,1213,9
116,1257,9
116,964,9
116,555,9
116,154,9
116,915,9
116,1439,9
116,1961,9
116,1322,9
116,1018,9
116,1381,9
116,1844,9
116,889,9
116,1585,9
116,712,9
116,418,9
116,456,9
116,1276,9
116,1668,9
116,866,9
116,826,9
116,1832,9
116,573,9
116,795,6
118,1962,12
118,689,9
118,1190,9
118,510,9
118,1429,9
118,154,9
118,979,9
118,1322,9
118,265,9
118,418,9
118,1628,9
118,456,9
118,573,9
118,1213,8
118,1767,8
118,411,7
118,1439,6
118,1257,5
118,1873,5
118,578,5
118,667,5
118,1844,3
118,1099,3
118,1832,3
118,584,1
119,456,64
119,1429,60
119,1439,53
119,557,51
119,1962,49
119,1240,49
119,689,45
119,998,45
119,1585,45
119,418,45
119,826,43
119,1838,43
119,573,43
119,1791,42
119,478,41
119,277,35
119,1257,34
119,1669,34
119,1975,34
119,2005,33
119,1986,30
119,265,29
119,411,28
119,452,28
119,816,26
119,23,26
119,1742,26
119,1433,26
119,1178,26
119,510,26
119,1500,26
119,328,26
119,216,26
119,979,26
119,1018,26
119,889,26
119,305,26
119,24,26
119,1521,26
119,1586,26
119,1893,26
119,1466,26
119,1618,23
119,1628,23
119,1750,21
119,555,19
119,464,17
119,1668,17
119,1401,15
119,1080,11
119,1485,11
119,1662,11
119,1844,11
119,1277,9
119,176,8
119,1815,8
119,1575,8
119,1877,8
119,108,8
119,1010,7
119,154,7
119,1072,6
119,1918,6
119,63,5
119,1079,4
119,1322,4
119,332,4
119,1875,3
119,103,3
119,1190,3
119,1213,3
119,1286,3
119,315,3
119,449,3
119,164,3
119,795,2
119,627,2
119,1673,2
119,462,2
119,863,2
119,410,2
119,422,2
119,1119,2
119,1276,2
119,866,2
119,382,2
120,422,6
120,1276,6
120,1618,4
120,2026,4
120,277,4
120,868,4
120,1918,4
120,452,4
120,1668,4
120,104,2
120,1628,2
120,666,2
120,332,2
121,1856,3
121,1922,1
124,1580,1
124,694,1
131,1993,1
131,894,1
135,1790,1
135,1935,1
135,343,1
135,1083,1
135,167,1
135,1330,1
135,1277,1
135,1962,1
135,998,1
135,604,1
135,872,1
135,598,1
135,271,1
135,902,1
135,736,1
135,954,1
135,107,1
135,840,1
135,1941,1
135,195,1
135,1408,1
135,938,1
135,1257,1
135,510,1
135,44,1
135,1531,1
135,1290,1
135,1294,1
135,1873,1
135,1452,1
135,1500,1
135,217,1
135,1439,1
135,520,1
135,216,1
135,1577,1
135,1128,1
135,722,1
135,1994,1
135,402,1
135,1844,1
135,410,1
135,716,1
135,91,1
135,1238,1
135,1853,1
135,584,1
135,1997,1
135,649,1
135,1431,1
135,963,1
135,456,1
135,851,1
135,24,1
135,1781,1
135,338,1
135,1521,1
135,1586,1
135,1063,1
135,1268,1
135,1596,1
135,826,1
135,1893,1
135,1607,1
135,279,1
135,1193,1
135,960,1
135,1379,1
135,1466,1
135,73,1
135,1579,1
139,448,1
141,891,4
141,278,4
141,1905,4
141,292,4
145,1555,3
145,1784,3
145,1035,1
147,1257,4
147,510,2
147,1873,2
147,998,1
148,828,1
149,306,1
150,1873,9
150,1585,9
150,1257,8
150,1750,7
150,998,4
150,689,3
150,449,1
150,712,1
150,1838,1
152,1767,13
152,851,7
152,349,4
152,1986,4
152,1257,4
152,1873,4
152,1791,3
152,823,2
152,1586,2
152,816,1
152,731,1
152,1739,1
152,202,1
152,1585,1
152,1997,1
152,361,1
153,1372,1
153,732,1
153,110,1
153,53,1
153,401,1
153,1985,1
153,1951,1
153,1087,1
153,1972,1
153,1792,1
153,188,1
153,1871,1
153,668,1
153,377,1
153,2003,1
153,561,1
153,513,1
153,1325,1
154,573,66
154,826,57
154,1439,51
154,277,45
154,1618,44
154,2005,41
154,555,41
154,456,40
154,478,39
154,1429,36
154,1750,35
154,119,35
154,689,33
154,1844,32
154,1668,31
154,868,29
154,1791,25
154,1240,25
154,1276,25
154,557,24
154,510,24
154,998,23
154,1986,23
154,1585,23
154,1877,23
154,1628,23
154,1832,21
154,1962,18
154,411,18
154,1815,17
154,1286,17
154,712,17
154,1401,17
154,1838,17
154,11,15
154,1257,15
154,1873,15
154,1018,15
154,629,14
154,903,12
154,1190,12
154,242,12
154,992,10
154,23,9
154,10,9
154,889,9
154,265,9
154,1669,9
154,176,8
154,1080,8
154,1485,8
154,1662,8
154,1575,8
154,418,8
154,108,8
154,464,8
154,1975,8
154,2026,5
154,1072,5
154,55,5
154,1918,4
154,452,4
154,894,4
154,1875,3
154,690,3
154,449,3
154,1099,3
154,1158,2
154,1010,2
154,1673,2
154,462,2
154,863,2
154,1119,2
154,332,2
154,982,2
154,701,1
154,551,1
157,832,1
164,1791,61
164,998,61
164,1986,61
164,119,61
164,1585,61
164,456,56
164,1962,53
164,1257,53
164,1429,53
164,1439,53
164,510,52
164,689,50
164,1240,50
164,418,46
164,557,44
164,1838,42
164,1018,41
164,584,41
164,2005,38
164,154,38
164,979,38
164,1322,38
164,1877,37
164,1750,35
164,1618,35
164,277,35
164,478,35
164,1766,35
164,1628,35
164,1668,35
164,826,35
164,573,35
164,1975,34
164,265,33
164,903,27
164,11,27
164,1669,27
164,816,26
164,23,26
164,1742,26
164,411,26
164,1433,26
164,1178,26
164,555,26
164,1500,26
164,328,26
164,216,26
164,452,26
164,889,26
164,305,26
164,46,26
164,851,26
164,24,26
164,1521,26
164,1586,26
164,1893,26
164,1466,26
164,1873,15
164,1401,15
164,1134,12
164,2000,12
164,242,12
164,1844,11
164,176,8
164,1815,8
164,1080,8
164,1485,8
164,1662,8
164,1575,8
164,108,8
164,464,8
164,1875,3
164,1072,3
164,1190,3
164,712,3
164,202,2
164,1673,1
164,1730,1
165,1562,4
165,917,4
165,349,3
165,538,1
167,1935,1
167,343,1
167,1083,1
167,1277,1
167,1962,1
167,998,1
167,604,1
167,902,1
167,736,1
167,954,1
167,107,1
167,840,1
167,1941,1
167,195,1
167,938,1
167,1257,1
167,510,1
167,1290,1
167,1452,1
167,1500,1
167,217,1
167,1439,1
167,520,1
167,216,1
167,1577,1
167,1128,1
167,722,1
167,1994,1
167,402,1
167,410,1
167,716,1
167,91,1
167,1238,1
167,1853,1
167,1997,1
167,649,1
167,1431,1
167,963,1
167,456,1
167,851,1
167,24,1
167,1781,1
167,338,1
167,1521,1
167,1586,1
167,1268,1
167,1596,1
167,826,1
167,1893,1
167,1607,1
167,279,1
167,1193,1
167,960,1
167,1379,1
167,1466,1
167,73,1
167,1579,1
173,998,1
176,1618,8
176,689,8
176,277,8
176,1815,8
176,1257,8
176,478,8
176,1429,8
176,1844,8
176,1575,8
176,1877,8
176,1240,8
176,826,8
176,573,8
176,1975,8
176,1997,7
176,1750,6
176,998,3
176,1873,3
176,1898,1
176,510,1
181,755,1
183,1143,8
183,55,5
183,1579,3
183,33,2
183,851,2
183,1997,1
185,1705,1
185,1873,1
186,1873,4
187,1873,3
188,1372,1
188,732,1
188,53,1
188,1985,1
188,1951,1
188,1972,1
188,1792,1
188,1871,1
188,668,1
188,377,1
188,2003,1
188,561,1
188,513,1
188,1325,1
190,347,2
190,387,2
190,43,2
190,890,2
190,1802,2
190,487,2
190,1974,1
190,90,1
190,1102,1
190,782,1
190,508,1
190,1666,1
190,515,1
190,1404,1
190,957,1
190,1041,1
190,1527,1
190,733,1
190,2024,1
190,1992,1
190,452,1
190,1444,1
194,452,8
194,204,1
195,1935,1
195,1083,1
195,1962,1
195,998,1
195,604,1
195,902,1
195,954,1
195,840,1
195,938,1
195,1257,1
195,510,1
195,1290,1
195,1452,1
195,1500,1
195,217,1
195,1439,1
195,520,1
195,216,1
195,1577,1
195,1128,1
195,722,1
195,1994,1
195,91,1
195,1238,1
195,1853,1
195,1997,1
195,649,1
195,1431,1
195,963,1
195,456,1
195,24,1
195,1781,1
195,338,1
195,1521,1
195,1586,1
195,1268,1
195,1596,1
195,826,1
195,1607,1
195,279,1
195,1193,1
195,960,1
195,1379,1
196,411,4
196,1873,2
196,1079,2
196,1891,1
196,1676,1
202,1585,126
202,1873,122
202,1986,120
202,1791,103
202,411,93
202,1257,89
202,1767,89
202,418,87
202,1962,83
202,998,80
202,452,80
202,464,74
202,538,72
202,1322,68
202,1051,58
202,1829,58
202,1832,57
202,328,56
202,478,55
202,1509,49
202,1668,46
202,1439,45
202,1838,40
202,510,36
202,816,34
202,305,34
202,1586,34
202,1877,33
202,23,32
202,409,32
202,851,32
202,793,32
202,349,29
202,1975,29
202,689,26
202,1742,26
202,1433,26
202,557,26
202,1178,26
202,1429,26
202,1500,26
202,119,26
202,216,26
202,979,26
202,1018,26
202,889,26
202,265,26
202,1669,26
202,1240,26
202,456,26
202,24,26
202,1521,26
202,1893,26
202,1466,26
202,271,24
202,640,24
202,584,24
202,46,24
202,164,24
202,1549,20
202,1079,20
202,1072,19
202,1673,19
202,1425,19
202,795,13
202,534,12
202,1409,12
202,1562,9
202,703,9
202,1769,9
202,150,8
202,1726,7
202,573,7
202,1961,6
202,104,6
202,667,6
202,152,5
202,1996,4
202,1705,3
202,1949,3
202,964,3
202,1662,3
202,1844,3
202,344,3
202,866,3
202,2011,3
202,602,2
202,831,2
202,1905,2
202,828,2
202,1638,2
202,731,2
202,944,2
202,361,2
202,1207,1
202,852,1
202,1323,1
202,83,1
202,1060,1
202,14,1
202,435,1
202,686,1
202,701,1
202,449,1
202,1575,1
202,1143,1
203,1705,1
204,452,9
204,194,8
206,1668,1
209,538,3
209,1726,3
209,202,3
209,510,3
209,534,3
209,265,3
209,1240,3
209,164,3
209,89,2
209,1509,2
209,1986,2
209,712,2
209,1877,2
209,464,2
209,689,1
209,1673,1
209,1429,1
209,1322,1
209,1730,1
211,1668,1
216,1898,61
216,1997,36
216,840,30
216,1521,29
216,510,27
216,1439,27
216,456,27
216,24,27
216,23,26
216,1178,26
216,889,26
216,1240,26
216,1838,26
216,1466,26
216,1975,26
216,998,23
216,1257,21
216,1941,12
216,1143,12
216,1962,9
216,1873,9
216,1853,3
216,1424,2
216,1368,2
216,1322,2
216,1973,2
216,33,1
216,1935,1
216,816,1
216,1277,1
216,604,1
216,902,1
216,1197,1
216,1290,1
216,1452,1
216,217,1
216,402,1
216,410,1
216,1585,1
216,584,1
216,1431,1
216,851,1
216,338,1
216,1857,1
216,826,1
216,1832,1
217,1935,1
217,338,1
220,1791,1
221,848,1
226,1257,2
228,1257,1
232,833,1
238,183,5
238,55,5
238,1143,5
241,1668,1
242,1750,12
242,2005,12
242,689,12
242,903,12
242,277,12
242,478,12
242,1439,12
242,119,12
242,456,12
242,826,12
242,573,12
244,1157,22
244,409,22
244,452,22
244,997,5
244,1158,5
244,79,5
244,990,5
244,245,5
244,727,5
244,1549,5
244,1057,5
244,1392,5
244,1668,1
245,1158,10
245,1305,5
245,990,5
245,1392,5
245,1593,1
245,1951,1
245,824,1
245,1376,1
246,1668,3
247,1186,1
247,1905,1
247,729,1
247,1388,1
252,247,3
252,1186,2
252,465,2
252,1388,2
252,1905,1
256,1791,6
256,816,6
256,23,6
256,409,6
256,411,6
256,1986,6
256,1178,6
256,202,6
256,1873,6
256,328,6
256,1585,6
256,305,6
256,418,6
256,851,6
256,464,6
256,1767,6
256,1586,6
256,793,6
260,277,6
260,1286,6
260,868,3
260,712,3
260,982,3
264,1997,2
264,535,1
264,1873,1
264,1500,1
264,1268,1
265,456,38
265,510,34
265,1439,32
265,1240,27
265,23,26
265,1433,26
265,1178,26
265,216,26
265,889,26
265,24,26
265,1521,26
265,1838,26
265,1466,26
265,1975,26
265,1429,13
265,1190,12
265,573,9
265,689,6
265,1844,6
265,1875,3
265,2005,3
265,1962,3
265,1072,3
265,557,3
265,555,3
265,154,3
265,1099,3
265,1832,3
265,1673,1
265,1730,1
271,1986,30
271,265,30
271,1240,30
271,164,30
271,510,29
271,1669,28
271,584,28
271,689,27
271,1962,27
271,998,27
271,1257,27
271,1429,27
271,1500,27
271,1439,27
271,216,27
271,456,27
271,851,27
271,24,27
271,1521,27
271,1586,27
271,1893,27
271,1838,27
271,1466,27
271,1791,26
271,816,26
271,23,26
271,1742,26
271,411,26
271,1433,26
271,557,26
271,1178,26
271,119,26
271,328,26
271,979,26
271,1322,26
271,452,26
271,1018,26
271,889,26
271,1585,26
271,305,26
271,418,26
271,46,26
271,1975,26
271,89,4
271,712,4
271,464,4
271,1522,3
271,1877,3
271,209,3
271,1673,2
271,1509,2
271,202,2
271,1935,1
271,343,1
271,1083,1
271,167,1
271,1277,1
271,604,1
271,902,1
271,736,1
271,954,1
271,107,1
271,840,1
271,1941,1
271,195,1
271,1408,1
271,938,1
271,44,1
271,1290,1
271,1294,1
271,555,1
271,1452,1
271,217,1
271,520,1
271,1577,1
271,1128,1
271,722,1
271,1994,1
271,402,1
271,1844,1
271,410,1
271,716,1
271,91,1
271,1238,1
271,1853,1
271,1997,1
271,649,1
271,1431,1
271,963,1
271,1781,1
271,338,1
271,1063,1
271,1268,1
271,1730,1
271,1596,1
271,826,1
271,1607,1
271,279,1
271,1193,1
271,960,1
271,1379,1
271,73,1
271,1579,1
277,478,35
277,1439,27
277,1838,15
277,712,12
277,982,6
277,868,4
277,894,3
277,690,1
277,486,1
278,891,4
278,292,4
278,712,1
279,1935,1
279,998,1
279,604,1
279,902,1
279,954,1
279,840,1
279,1257,1
279,510,1
279,1290,1
279,1452,1
279,217,1
279,1439,1
279,216,1
279,1128,1
279,1853,1
279,1431,1
279,963,1
279,456,1
279,24,1
279,1781,1
279,338,1
279,1521,1
279,826,1
281,1875,1
281,1124,1
281,1286,1
289,1010,3
289,816,3
289,1873,3
289,410,3
289,998,2
289,1277,1
290,1286,1
291,452,1
294,998,2
296,983,1
296,1696,1
301,328,1
301,1767,1
305,816,39
305,411,27
305,689,26
305,23,26
305,1962,26
305,1742,26
305,1433,26
305,557,26
305,1178,26
305,1500,26
305,1439,26
305,328,26
305,216,26
305,889,26
305,265,26
305,418,26
305,1240,26
305,456,26
305,24,26
305,1521,26
305,1838,26
305,1466,26
305,1975,26
305,510,24
305,1791,14
305,464,11
305,851,8
305,1767,8
305,1586,8
305,1873,6
305,382,1
311,1873,3
311,1683,2
312,1668,2
315,1875,3
315,2005,3
315,1010,3
315,689,3
315,1072,3
315,1190,3
315,557,3
315,1213,3
315,555,3
315,1429,3
315,154,3
315,63,3
315,1662,3
315,1844,3
315,265,3
315,418,3
315,456,3
315,1668,3
315,164,3
318,95,5
318,737,5
318,183,5
318,238,5
318,652,5
318,55,5
318,1902,5
318,1143,5
322,92,2
322,349,2
325,1055,1
326,908,1
328,1986,79
328,1767,56
328,411,36
328,816,35
328,418,35
328,23,32
328,1962,26
328,1433,26
328,557,26
328,1178,26
328,1500,26
328,1439,26
328,216,26
328,889,26
328,265,26
328,1240,26
328,456,26
328,24,26
328,1521,26
328,1838,26
328,1466,26
328,1975,26
328,510,24
328,1905,22
328,1549,19
328,1586,18
328,1873,15
328,202,13
328,1585,11
328,349,9
328,1791,9
328,851,9
328,464,9
328,305,8
328,1747,7
328,1535,6
328,894,6
328,152,5
328,1257,5
328,1668,3
328,409,2
328,998,2
328,475,2
328,452,2
328,439,1
328,2026,1
328,361,1
332,478,4
332,826,4
332,277,3
332,442,3
332,865,3
332,982,3
332,2005,1
342,1873,2
343,1935,1
343,1083,1
343,1277,1
343,1962,1
343,998,1
343,604,1
343,902,1
343,736,1
343,954,1
343,107,1
343,840,1
343,1941,1
343,195,1
343,938,1
343,1257,1
343,510,1
343,1290,1
343,1452,1
343,1500,1
343,217,1
343,1439,1
343,520,1
343,216,1
343,1577,1
343,1128,1
343,722,1
343,1994,1
343,402,1
343,716,1
343,91,1
343,1238,1
343,1853,1
343,1997,1
343,649,1
343,1431,1
343,963,1
343,456,1
343,24,1
343,1781,1
343,338,1
343,1521,1
343,1586,1
343,1268,1
343,1596,1
343,826,1
343,1893,1
343,1607,1
343,279,1
343,1193,1
343,960,1
343,1379,1
343,1466,1
343,73,1
344,998,3
344,1257,3
344,1873,3
344,1767,3
347,1974,1
347,90,1
347,1102,1
347,782,1
347,508,1
347,1666,1
347,515,1
347,957,1
347,1041,1
347,1527,1
347,890,1
347,2024,1
347,1802,1
347,1444,1
347,487,1
349,1767,49
349,1873,42
349,1257,32
349,202,26
349,1832,23
349,1838,14
349,1585,11
349,411,7
349,1750,6
349,83,6
349,344,6
349,150,4
349,1986,4
349,1562,3
349,917,3
349,1726,3
349,1243,3
349,534,3
349,92,2
349,328,2
349,1425,2
349,794,1
349,852,1
349,1538,1
349,525,1
349,828,1
349,1962,1
349,731,1
349,1753,1
351,1668,19
357,1157,22
357,571,22
357,409,22
357,452,22
357,244,22
361,1767,12
361,349,2
361,411,2
361,828,1
361,1791,1
361,1257,1
361,1873,1
361,1766,1
363,1974,1
363,782,1
363,508,1
363,1597,1
363,515,1
363,1964,1
363,1041,1
363,1749,1
363,890,1
363,1992,1
371,220,1
371,1791,1
371,1767,1
374,14,3
374,1207,2
374,202,2
374,1060,1
374,731,1
374,1257,1
374,1873,1
374,1832,1
377,1372,1
377,732,1
377,53,1
377,1985,1
377,1972,1
377,1792,1
377,1871,1
377,668,1
377,2003,1
377,561,1
377,513,1
377,1325,1
382,1791,5
382,1673,4
382,478,4
382,816,3
382,305,3
382,795,2
382,627,2
382,1072,2
382,557,2
382,510,2
382,555,2
382,1429,2
382,154,2
382,410,2
382,1585,2
382,1240,2
382,1401,2
