# index, name, CysPoLV, UPS, _pos
48,49,3,1,"array([-0.92569547,  0.15759288])"
49,50,3,1,"array([-0.86553323,  0.06409491])"
50,51,1,1,"array([-1.23923916, -0.24655217])"
51,52,1,1,"array([-1.16150078, -0.20707416])"
52,53,1,1,"array([-1.19163737, -0.19132984])"
53,54,1,1,"array([-1.18544104, -0.2315305 ])"
54,55,1,1,"array([-1.24478867, -0.17848267])"
55,56,6,1,"array([-1.20432096, -0.42198413])"
56,57,1,1,"array([-1.18545987, -0.28233145])"
57,58,1,1,"array([-1.23106961, -0.29786192])"
58,59,1,1,"array([-1.14158701, -0.32075386])"
59,60,1,2,"array([-0.91681739, -0.47749455])"
60,61,1,1,"array([-1.1404455 , -0.40255956])"
61,62,1,1,"array([-1.12565218, -0.26921317])"
62,63,1,1,"array([-1.10209568, -0.35229295])"
63,64,1,1,"array([-1.04591783, -0.30413591])"
64,65,1,1,"array([-0.94357514, -0.26621424])"
65,66,1,1,"array([-1.1013583 , -0.30803643])"
66,67,1,1,"array([-1.26762625, -0.22288069])"
67,68,1,1,"array([-1.2249617 , -0.21008644])"
68,69,4,2,"array([-1.11770989,  0.37541291])"
69,70,2,2,"array([-1.01770211,  0.36985011])"
70,71,4,2,"array([-1.10633228,  0.15359565])"
71,72,5,3,"array([-0.86677729,  0.00685278])"
72,73,4,2,"array([-1.30702513,  0.23707987])"
73,74,4,2,"array([-1.17695689,  0.13553901])"
74,75,4,2,"array([-1.05001883,  0.16769448])"
75,76,4,2,"array([-1.27326735,  0.13602777])"
76,77,4,2,"array([-1.85539956, -0.80454987])"
77,78,3,2,"array([-0.90881816,  0.29397564])"
78,79,3,2,"array([-0.89942333,  0.08235284])"
79,80,5,2,"array([-0.95449523,  0.32154508])"
80,81,3,2,"array([-1.10373055,  0.31845077])"
81,82,4,2,"array([-1.02180073,  0.25562336])"
82,83,3,2,"array([-1.25067442, -0.06433736])"
83,84,5,2,"array([-0.99312177,  0.32832162])"
84,85,4,3,"array([-1.29781399,  0.54677478])"
85,86,4,3,"array([-1.25284918,  0.54801083])"
86,87,4,3,"array([-1.22679813,  0.58439321])"
87,88,4,3,"array([-1.27312255,  0.5863252 ])"
88,89,4,-1,"array([-1.24531978,  0.14151282])"
89,90,5,2,"array([-0.87781742,  0.22573595])"
90,91,4,3,"array([-1.20334353,  0.26897699])"
91,92,4,2,"array([-1.24783281,  0.11942054])"
92,93,4,2,"array([-1.01146425,  0.11809337])"
93,94,4,2,"array([-1.07287594,  0.31992794])"
94,95,6,2,"array([-1.1267235 ,  0.30390107])"
95,96,4,2,"array([-1.07212085,  0.17172428])"
96,97,4,2,"array([-1.15339001,  0.10764167])"
97,98,4,2,"array([-0.95464802,  0.22059555])"
98,99,4,2,"array([-1.01299316,  0.19656348])"
99,100,4,2,"array([-0.97955297,  0.23039762])"
100,101,4,2,"array([-1.11890552,  0.03782799])"
101,102,2,2,"array([-1.56392996, -0.9765395 ])"
102,103,2,2,"array([-1.99244035, -0.39745527])"
103,104,2,2,"array([-1.91268544, -0.38628198])"
104,105,2,2,"array([-1.93934733, -0.33701519])"
105,106,3,2,"array([-1.26414729, -0.00598478])"
106,107,3,2,"array([-0.85941965,  0.27087818])"
107,108,4,-1,"array([-1.1267258 ,  0.27547507])"
108,109,4,-1,"array([-1.10973659,  0.27105526])"
109,110,2,2,"array([-1.49396221, -0.13183257])"
110,111,2,2,"array([-1.68337722, -0.23333564])"
111,112,2,2,"array([-0.94454717,  0.49554733])"
112,113,2,2,"array([-1.83112966, -0.31162008])"
113,114,5,3,"array([-0.92042918, -0.10132772])"
114,115,5,2,"array([-0.85295569,  0.4057048 ])"
115,116,4,3,"array([-1.29162377,  0.2626987 ])"
116,117,4,2,"array([-1.1287653,  0.1805751])"
117,118,5,2,"array([-1.2278524,  0.29066  ])"
118,119,5,2,"array([-1.24536782,  0.27773576])"
119,120,5,2,"array([-1.09107041,  0.07558289])"
120,121,5,2,"array([-0.96163405,  0.14221943])"
121,122,4,2,"array([-1.26728365,  0.25683363])"
122,123,4,2,"array([-1.09183744,  0.14034596])"
123,124,4,2,"array([-1.09371193,  0.12335641])"
124,125,4,3,"array([-1.20937957,  0.17311424])"
125,126,6,3,"array([-1.18062456,  0.4830211 ])"
126,127,4,3,"array([-1.13529445,  0.09844553])"
127,128,5,3,"array([-0.98990756,  0.24585197])"
128,129,4,2,"array([-1.20505553,  0.03446293])"
129,130,4,3,"array([-1.26993085,  0.16341144])"
130,131,4,3,"array([-1.26151705,  0.18199017])"
131,132,4,2,"array([-1.22123844,  0.1333036 ])"
132,133,6,2,"array([-1.77074851, -0.28184569])"
133,134,4,3,"array([-1.12429991,  0.16345821])"
134,135,4,3,"array([-0.98732578,  0.16438274])"
135,136,4,3,"array([-1.11348681,  0.24966333])"
136,137,4,3,"array([-1.22974328,  0.42894623])"
137,138,4,3,"array([-1.12839854,  0.07856799])"
138,139,4,2,"array([-1.16734146,  0.34143967])"
139,140,4,3,"array([-1.28471382,  0.30380821])"
140,141,4,3,"array([-1.14653157,  0.15943936])"
141,142,4,2,"array([-1.15480431,  0.28207207])"
142,143,4,2,"array([-1.16041876,  0.17410137])"
143,144,6,3,"array([-0.99515236,  0.21254292])"
144,145,6,3,"array([-0.99468084,  0.19097702])"
145,146,4,3,"array([-1.19292573,  0.1895687 ])"
146,147,4,3,"array([-1.09204977,  0.16561719])"
147,148,4,2,"array([-1.08048381,  0.2433463 ])"
148,149,4,3,"array([-1.18566255,  0.31995054])"
149,150,5,3,"array([-1.1161856 ,  0.21652694])"
150,151,4,2,"array([-1.23825487,  0.16863389])"
151,152,5,2,"array([-1.16042724,  0.24513031])"
152,153,4,2,"array([-0.97911628,  0.07650598])"
153,154,4,3,"array([-0.99773024,  0.05160206])"
154,155,5,2,"array([-1.24910161,  0.21710845])"
155,156,4,2,"array([-1.27676356,  0.22722667])"
156,157,4,3,"array([-1.17388828,  0.07905714])"
157,158,4,3,"array([-1.07575717,  0.22141522])"
158,159,4,2,"array([-1.19755693,  0.1535962 ])"
159,160,4,2,"array([-1.17609576,  0.15638073])"
160,161,4,3,"array([-1.15044252,  0.26141926])"
161,162,4,2,"array([-1.11493571,  0.1354127 ])"
162,163,4,3,"array([-1.1343675 ,  0.14336513])"
163,164,4,3,"array([-1.16618787,  0.20838978])"
164,165,4,3,"array([-1.21971129,  0.32090465])"
165,166,4,3,"array([-1.1818468 ,  0.10262458])"
166,167,4,2,"array([-1.23218114,  0.04619879])"
167,168,4,2,"array([-1.22057342,  0.10682522])"
168,169,4,3,"array([-1.24761458,  0.3125853 ])"
169,170,4,2,"array([-1.04840955,  0.06052522])"
170,171,3,3,"array([-1.05678495, -0.11559491])"
171,172,4,3,"array([-0.9622019 ,  0.29507127])"
172,173,3,2,"array([-1.1535296 ,  0.08866469])"
173,174,6,2,"array([-0.97274302,  0.04959385])"
174,175,4,2,"array([-1.13976482,  0.00602856])"
175,176,3,2,"array([-0.98395035,  0.30401185])"
176,177,4,-1,"array([-0.94901546,  0.08596108])"
177,178,4,2,"array([-1.01173852,  0.16812723])"
178,179,4,-1,"array([-1.06063974, -0.02688246])"
179,180,4,2,"array([-0.87094039, -0.03735685])"
180,181,4,2,"array([-0.96398554,  0.16012587])"
181,182,4,2,"array([-1.33267164,  0.17888236])"
182,183,4,2,"array([-1.08529318,  0.05919459])"
183,184,4,3,"array([-1.05524272,  0.11600975])"
184,185,4,2,"array([-1.08752839,  0.34226221])"
185,186,4,2,"array([-1.27737512,  0.19975863])"
186,187,4,2,"array([-1.28962163,  0.17940856])"
187,188,6,2,"array([-1.03275992,  0.40604594])"
188,189,4,2,"array([-1.32731607, -0.01379871])"
189,190,5,3,"array([-1.18433927,  0.17301153])"
190,191,4,3,"array([-1.19538784,  0.1331638 ])"
191,192,4,-1,"array([-0.94483685,  0.11073538])"
192,193,4,2,"array([-0.97254276,  0.18970768])"
193,194,4,2,"array([-1.11265483,  0.09236472])"
194,195,5,3,"array([-0.69312033,  0.29916612])"
195,196,4,2,"array([-1.07473292,  0.12003034])"
196,197,4,3,"array([-1.09235538,  0.25783183])"
197,198,4,3,"array([-1.08814003,  0.27709914])"
198,199,4,-1,"array([-0.93691289,  0.01552791])"
199,200,4,2,"array([-1.21744102,  0.19143211])"
200,201,4,2,"array([-0.99088422,  0.13917705])"
201,202,4,2,"array([-1.09616007,  0.20962212])"
202,203,4,3,"array([-1.11296294,  0.06485291])"
203,204,4,3,"array([-1.17265709,  0.11528335])"
204,205,4,2,"array([-1.2151187 ,  0.24884044])"
205,206,4,2,"array([-1.02423531,  0.03666893])"
206,207,4,2,"array([-1.12047589,  0.19848858])"
207,208,5,2,"array([-0.95595402,  0.25071335])"
208,209,4,2,"array([-1.2012444 , -0.00373597])"
209,210,4,2,"array([-1.18760166,  0.05953401])"
210,211,4,2,"array([-1.11515885,  0.35083949])"
211,212,4,3,"array([-0.85943421,  0.10509003])"
212,213,4,2,"array([-0.89541874,  0.16972481])"
213,214,4,2,"array([-0.88777013,  0.1492095 ])"
214,215,4,2,"array([-0.99064536,  0.35847153])"
215,216,6,2,"array([-1.07261999,  0.19550488])"
216,217,5,2,"array([-1.12930407,  0.11975384])"
217,218,5,2,"array([-1.11185547,  0.11295657])"
218,219,4,-1,"array([-1.21932836,  0.0871551 ])"
219,220,5,2,"array([-1.18331178,  0.29106697])"
220,221,4,2,"array([-1.05379759,  0.13377206])"
221,222,4,2,"array([-1.06833197,  0.08013547])"
222,223,4,2,"array([-1.06619916,  0.09835014])"
223,224,4,2,"array([-1.09530555,  0.04095425])"
224,225,4,2,"array([-1.09458633,  0.40030987])"
225,226,4,2,"array([-1.06780967,  0.40446094])"
226,227,4,2,"array([-1.19082259,  0.247536  ])"
227,228,4,2,"array([-1.00447786,  0.09110189])"
228,229,4,2,"array([-0.99879416,  0.10899865])"
229,230,4,2,"array([-1.29703491,  0.14741916])"
230,231,5,2,"array([-1.17220968,  0.18976702])"
231,232,4,2,"array([-1.15829781,  0.14400447])"
232,233,4,2,"array([-1.03224322,  0.17921572])"
233,234,4,2,"array([-1.05705836,  0.18810545])"
234,235,4,2,"array([-1.13607768,  0.22551619])"
235,236,4,3,"array([-1.31043755,  0.20617753])"
236,237,4,3,"array([-1.02798237,  0.2847479 ])"
237,238,4,2,"array([-1.1376617 ,  0.05295816])"
238,239,4,2,"array([-1.21254675,  0.06275529])"
239,240,4,2,"array([-1.03987054,  0.1965755 ])"
240,241,4,3,"array([-1.07415233,  0.14828973])"
241,242,4,3,"array([-1.00954532,  0.14372916])"
242,243,4,-1,"array([-1.14816334,  0.18781306])"
243,244,4,2,"array([-1.02279377,  0.09265892])"
244,245,4,3,"array([-1.14612348,  0.03475097])"
245,246,3,2,"array([-1.031275 ,  0.1528462])"
246,247,4,2,"array([-1.10683029,  0.29239725])"
247,248,3,2,"array([-1.2248407,  0.1543823])"
248,249,4,2,"array([-1.19717769,  0.20921493])"
249,250,3,2,"array([-1.01769747,  0.30357976])"
250,251,3,2,"array([-0.93570691,  0.20426035])"
251,252,3,2,"array([-1.09036773,  0.19146955])"
252,253,3,2,"array([-1.05325891,  0.27822808])"
253,254,3,2,"array([-1.05277647,  0.29862315])"
254,255,4,2,"array([-1.16328192,  0.01723651])"
255,256,4,2,"array([-1.10491082, -0.00893543])"
256,257,3,2,"array([-1.1532842 ,  0.06818036])"
257,258,3,2,"array([-1.17008874,  0.04409313])"
258,259,6,-1,"array([-1.18307588,  0.22590424])"
259,260,4,3,"array([-0.92008293,  0.05711587])"
260,261,3,2,"array([-1.04998115,  0.01568643])"
261,262,4,2,"array([-1.02062628,  0.06992607])"
262,263,3,-1,"array([-1.14479736,  0.2103534 ])"
263,264,4,2,"array([-1.17326908,  0.26515874])"
264,265,6,2,"array([-1.03862459,  0.26157417])"
265,266,4,2,"array([-1.06564329,  0.03310211])"
266,267,4,2,"array([-1.25402486,  0.071669  ])"
267,268,3,3,"array([-0.97165771,  0.40771813])"
268,269,3,3,"array([-0.94058092,  0.38452157])"
269,270,4,2,"array([-1.07139894,  0.26567907])"
270,271,4,3,"array([-1.23750612,  0.19575117])"
271,272,4,2,"array([-1.16464766,  0.30334464])"
272,273,4,2,"array([-1.19472994,  0.08595527])"
273,274,4,3,"array([-1.02737201,  0.53850406])"
274,275,4,3,"array([-1.06440931,  0.56227109])"
275,276,4,3,"array([-1.10286633,  0.54413206])"
276,277,4,2,"array([-1.34476963,  0.01898377])"
277,278,4,2,"array([-1.23189673,  0.22650934])"
278,279,4,2,"array([-1.15262365,  0.12671541])"
279,280,4,2,"array([-0.92075021,  0.24988446])"
280,281,4,2,"array([-1.37464017,  0.4409669 ])"
281,282,4,2,"array([-1.08891233,  0.01750685])"
282,283,4,2,"array([-1.11397469,  0.01665995])"
283,284,4,2,"array([-1.10530336,  0.18336383])"
284,285,4,2,"array([-1.15701872, -1.07791137])"
285,286,4,2,"array([-1.05332541,  0.22794853])"
286,287,4,2,"array([-1.19986353,  0.11443602])"
287,288,6,2,"array([-1.02466134,  0.01086622])"
288,289,4,3,"array([-1.05578672,  0.20869625])"
289,290,4,2,"array([-1.24985415,  0.09618701])"
290,291,4,2,"array([-1.10625192,  0.23664614])"
291,292,4,2,"array([-1.13064116,  0.2461828 ])"
292,293,4,2,"array([-1.08257522,  0.09284091])"
293,294,4,2,"array([-0.97672168,  0.11777818])"
294,295,4,2,"array([-1.04634469,  0.08615969])"
295,296,4,2,"array([-1.03317142,  0.10913941])"
296,297,4,2,"array([-1.08888333,  0.30490577])"
297,298,4,2,"array([-1.05683439,  0.25031333])"
298,299,4,-1,"array([-1.07570907,  0.29354161])"
299,300,4,2,"array([-1.03527077,  0.1300428 ])"
300,301,4,3,"array([-1.05543106,  0.15343829])"
301,302,4,2,"array([-0.93778641,  0.13772524])"
302,303,4,2,"array([-1.02422984,  0.21528837])"
303,304,4,2,"array([-1.03336037,  0.23652329])"
304,305,4,2,"array([-0.91208669,  0.13025255])"
305,306,4,2,"array([-1.15413236,  0.38175074])"
306,307,4,2,"array([-1.12605092,  0.32562597])"
